Gene = Bri3bp
index = 188
Annotated 5SS: [  325 10205]
Annotated 3SS: [10101 12757]
SMsplice 5SS: [  325 10205 11988]
SMsplice 3SS: [10101 11870 18200]
top_k =  500
Partition function (log Z): -9.060417268507917

Sorted 5' Splice Sites (High to Low Probability):
Position 325: 0.943452251859355
Position 10205: 0.8600209947406883
Position 11988: 0.6888523289667996
Position 10678: 0.4180903473110242
Position 1818: 0.373520166707905
Position 3653: 0.19910756256600534
Position 4794: 0.17566674097911025
Position 10209: 0.1372897470632935
Position 13120: 0.13411672969625857
Position 3648: 0.08494563490344448
Position 4178: 0.08172808623037768
Position 8371: 0.08060771272707072
Position 2189: 0.07595793489403156
Position 8441: 0.07080206991866675
Position 4527: 0.07063357458334882
Position 11978: 0.05705593539617099
Position 1589: 0.04884818406777286
Position 307: 0.031025015835674043
Position 14562: 0.026289840357035132
Position 4167: 0.02431467907916709
Position 12826: 0.024312473501919656
Position 990: 0.0162670301202708
Position 13188: 0.01593772220824668
Position 1170: 0.011794881408338469
Position 11101: 0.010784963039506832
Position 280: 0.009842777628428499
Position 3466: 0.00898109337635518
Position 13964: 0.00757225262421595
Position 11329: 0.0075453771134735845
Position 4541: 0.0065891544476548965
Position 11068: 0.005936597403381928
Position 442: 0.004800194304166335
Position 3491: 0.004246225904437006
Position 3377: 0.003839853467591042
Position 3701: 0.0035838530288590477
Position 10467: 0.0033199178620255563
Position 130: 0.0027138733233156363
Position 3414: 0.0019037521976683004
Position 13: 0.0016461152755209288
Position 960: 0.0015242958516728424
Position 13307: 0.0015109003049744731
Position 11118: 0.0013448508663632508
Position 1302: 0.0010698406095391783
Position 11259: 0.0009614263936197795
Position 4222: 0.0008630440979388122
Position 11093: 0.0008620431438597478
Position 937: 0.0007979612607008633
Position 4185: 0.0006857684416449894
Position 1124: 0.0005273659888300486
Position 148: 0.0005090961911291186
Position 1153: 0.0004072251963001581
Position 12163: 0.00035598184062026833
Position 1584: 0.0002881765523781788
Position 941: 0.00024878333339118974
Position 2072: 0.00021913085640161715
Position 343: 0.0001834897798239186
Position 512: 0.00017421668380824268
Position 2436: 0.00017101221906511274
Position 650: 0.00016167385107055082
Position 772: 0.00015105842422334637
Position 1362: 0.00014352562509088683
Position 3123: 0.00012017713473575261
Position 1840: 0.00011367098286691859
Position 374: 0.00011091967747665609
Position 1306: 0.0001081774748107515
Position 160: 9.848721309428509e-05
Position 482: 9.287404554014826e-05
Position 12922: 9.238997235071599e-05
Position 824: 9.19671303555525e-05
Position 518: 8.294029897560751e-05
Position 1082: 7.375544175625425e-05
Position 792: 5.822883969864521e-05
Position 1634: 5.500808601862746e-05
Position 1133: 4.8972608640922084e-05
Position 1221: 4.0980565580952525e-05
Position 614: 3.961029883065009e-05
Position 956: 3.7038998747021324e-05
Position 964: 3.2025283189865525e-05
Position 1581: 3.131302288254537e-05
Position 1838: 2.960284992677304e-05
Position 1726: 2.5033793405800886e-05
Position 1889: 2.4890630482621627e-05
Position 108: 1.4266821765559926e-05
Position 141: 8.5920070396021e-06
Position 473: 4.431213394983826e-06
Position 661: 4.114227916169222e-06
Position 606: 2.5184274198364323e-06
Position 193: 2.256362860822158e-06
Position 667: 1.4375163617149688e-06
Position 589: 1.3191644686870355e-06
Position 843: 1.2254366518171441e-06
Position 855: 1.1069768999880585e-06
Position 862: 9.101364664903652e-07
Position 785: 7.539058120080143e-07
Position 2317: 6.284484407927622e-07
Position 809: 3.6779801566042163e-07
Position 41: 2.465995340078022e-07
Position 39: 1.8389749711193948e-07
Position 2015: 3.195623045405233e-08
Position 1822: 2.1888851577925912e-08
Position 1820: 2.1762514325868628e-08
Position 1686: 2.0866138637839213e-08
Position 870: 1.1161951021852062e-08
Position 367: 3.148717365897557e-09
Position 448: 2.248592797810183e-09
Position 402: 5.682049000102436e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10101: 0.9978533087742415
Position 11870: 0.750193063279444
Position 10579: 0.4052147972522012
Position 1729: 0.332477665996614
Position 14445: 0.1765194803641261
Position 4664: 0.13892961051476624
Position 15396: 0.127298792671904
Position 12757: 0.12515963894571544
Position 8285: 0.12515150690103177
Position 3347: 0.12156169043005188
Position 18200: 0.12131228159809472
Position 13079: 0.10101027796740125
Position 3558: 0.09660530184575851
Position 4469: 0.09155860578396963
Position 3955: 0.07721264653493311
Position 2103: 0.06675079441466424
Position 3409: 0.06034833506561623
Position 18169: 0.05277748732052063
Position 13148: 0.05138585075027814
Position 1580: 0.04974885856321678
Position 10935: 0.047046491959203685
Position 15323: 0.04548930576770965
Position 18060: 0.041626795485784567
Position 17495: 0.04064866767550865
Position 11892: 0.03971348233300942
Position 12884: 0.03429052698428088
Position 16695: 0.033287817631899086
Position 13885: 0.03125700451001739
Position 11866: 0.028276459252809506
Position 3465: 0.027772473741689875
Position 8331: 0.0262582757447058
Position 1481: 0.025796831548176444
Position 4630: 0.021109089445511278
Position 15865: 0.017014241112191082
Position 4010: 0.01648722413746649
Position 14718: 0.015074464003037455
Position 14636: 0.014448262803524793
Position 1052: 0.012300154595418935
Position 10363: 0.01061130476531554
Position 17077: 0.010402995154072732
Position 925: 0.009367466566869652
Position 16150: 0.009356969629690567
Position 1920: 0.009095270885886284
Position 14333: 0.00835607144628294
Position 11025: 0.008260465564413856
Position 10296: 0.008060880441583011
Position 3835: 0.007613968145726734
Position 12714: 0.007369003472305153
Position 16224: 0.006590084360285157
Position 14817: 0.005451310498202223
Position 12683: 0.005184076123912998
Position 13834: 0.003972021382027651
Position 11089: 0.003896295995669488
Position 3963: 0.0038660584057809222
Position 922: 0.0032091068370032837
Position 11196: 0.00288326932253419
Position 12314: 0.0027952448130947414
Position 3865: 0.0026438540275607824
Position 1749: 0.0026405622246463284
Position 14148: 0.002481275515067448
Position 1543: 0.002331652223713074
Position 1664: 0.002301274696720779
Position 1735: 0.0022539366624044397
Position 12270: 0.002011231488081953
Position 700: 0.0019656873720539413
Position 12204: 0.0017440025453271057
Position 13494: 0.001571855349647339
Position 4779: 0.0014829610595240355
Position 1463: 0.001456725773844309
Position 1028: 0.001198112612327334
Position 12486: 0.0011508926028716995
Position 418: 0.0007151999976440033
Position 13333: 0.0006588559501720439
Position 1710: 0.0006016491556492367
Position 12774: 0.0005308400949517446
Position 2121: 0.0005188667561905793
Position 12071: 0.0004720033161013376
Position 1151: 0.00046260695170555877
Position 1215: 0.0004327249117995996
Position 3423: 0.00040958299435822073
Position 210: 0.00037613147576863
Position 1449: 0.0003286828569704348
Position 747: 0.0002958526757187054
Position 1754: 0.0002764279659320012
Position 4846: 0.00023813854410041592
Position 750: 0.00022494398700670487
Position 1033: 0.00012672447422459258
Position 2925: 0.00012327320674105328
Position 1059: 0.00011669956704095463
Position 3286: 0.00010730131741505796
Position 3695: 9.890162506617083e-05
Position 1950: 9.639668231237213e-05
Position 900: 8.413183299967932e-05
Position 2044: 7.227121648615298e-05
Position 1773: 6.698273812814891e-05
Position 2106: 5.372567322501333e-05
Position 3580: 5.1048389239587166e-05
Position 602: 4.702014670721937e-05
Position 3439: 4.248949809833387e-05
Position 1776: 4.108204347896149e-05
Position 1344: 3.717747276745719e-05
Position 1117: 3.341743054345433e-05
Position 114: 3.2381604853004746e-05
Position 713: 3.148795196362608e-05
Position 1235: 2.8495235854741676e-05
Position 2885: 2.727795060080122e-05
Position 1003: 2.25732249955215e-05
Position 883: 2.0213401466421963e-05
Position 1405: 1.8338933517227806e-05
Position 1314: 1.2278591276510626e-05
Position 266: 1.1352460886583759e-05
Position 1560: 9.72972539755701e-06
Position 205: 9.313332537105583e-06
Position 240: 7.822437913056834e-06
Position 931: 7.579047087191657e-06
Position 1612: 6.41048764950573e-06
Position 1631: 5.873938281689467e-06
Position 989: 5.834677270878989e-06
Position 878: 4.077874153909998e-06
Position 1064: 3.969628516241703e-06
Position 734: 3.6896333137193214e-06
Position 276: 2.3262835806659985e-06
Position 1169: 3.6882880236220436e-07
Position 885: 3.220443514070774e-07
Position 804: 3.011030765010478e-07
Position 402: 2.036865141439431e-07
Position 245: 1.846027455034495e-07
Position 936: 1.3163284388175987e-08
Position 429: 6.862418366490229e-09
Position 809: 5.766410542263745e-09
Position 575: 5.21333193120956e-09
Position 632: 3.2197256931229576e-09
Position 971: 2.7274453297628066e-09
Position 117: 1.8245551797966711e-09
Position 806: 1.3948511482410196e-09
Position 814: 1.0438185614032e-09
Position 263: 2.040266606275754e-13
