Gene = Zg16
index = 1203
Annotated 5SS: [  43  757 1049]
Annotated 3SS: [ 694  915 2075]
SMsplice 5SS: [  43 1049]
SMsplice 3SS: [ 915 1552]
top_k =  500
Partition function (log Z): -4.72729741331833

Sorted 5' Splice Sites (High to Low Probability):
Position 1049: 0.9105861737056298
Position 43: 0.8333344019741621
Position 757: 0.27345261179027464
Position 1824: 0.19960930403443436
Position 464: 0.13824213738716923
Position 1018: 0.05577511008395403
Position 127: 0.04627178710391291
Position 2083: 0.03938059174539798
Position 1441: 0.014492078569496273
Position 1069: 0.012935673769222085
Position 1432: 0.003973560138150142
Position 840: 0.003955283892278243
Position 359: 0.003173383956089999
Position 855: 0.0021714313277485615
Position 1044: 0.0016970603255762227
Position 111: 0.0016888177249515034
Position 1891: 0.001262046259654427
Position 1854: 0.0012538872729464061
Position 301: 0.0009683395870496153
Position 955: 0.0008240991788690915
Position 607: 0.0007046390941623195
Position 799: 0.0005329602221374117
Position 1026: 0.0005251802447370743
Position 837: 0.0005005349330974944
Position 205: 0.00036854226136631886
Position 216: 0.00034440755466271774
Position 1865: 0.00030045997072515335
Position 1436: 0.0002653011280574804
Position 639: 0.00025514256209988387
Position 157: 0.00020993595662113147
Position 234: 0.00020914259915453913
Position 1470: 0.00019961460849505773
Position 559: 0.00019755912574470624
Position 2113: 0.00017923704561797758
Position 196: 0.00016450814286347211
Position 820: 0.00014644782137631962
Position 1936: 0.00014404890338163493
Position 711: 0.00011386266579139574
Position 1622: 8.875601955232546e-05
Position 93: 8.715785856927989e-05
Position 1610: 7.878364834499071e-05
Position 761: 7.093535121020927e-05
Position 427: 6.472881050584092e-05
Position 152: 6.250456449098057e-05
Position 704: 5.501639111021093e-05
Position 404: 5.334889062030267e-05
Position 142: 3.800559466644502e-05
Position 468: 3.707104171850736e-05
Position 251: 3.541930145886673e-05
Position 1323: 3.5253017615984175e-05
Position 723: 2.2986161624044687e-05
Position 1360: 1.8664545232678745e-05
Position 47: 3.239347844110781e-06
Position 1960: 2.5640378630239187e-06
Position 329: 2.2543529627171987e-06
Position 1738: 1.9136791140130175e-06
Position 1404: 1.5921218165400978e-06
Position 331: 1.5353569695130248e-06
Position 338: 9.538140284317007e-07
Position 1055: 4.67607140634176e-07
Position 1063: 3.4220479811289125e-07
Position 1153: 4.6907010687462714e-08
Position 1189: 4.3006048324232834e-08
Position 317: 1.9361739746268443e-08
Position 320: 1.422949638005444e-08
Position 1461: 7.63886915307024e-09
Position 1434: 6.1706456741358695e-09
Position 1371: 5.091983387175918e-09
Position 1342: 4.187921627313541e-09
Position 429: 1.6019941189222278e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 915: 0.925263236452724
Position 1697: 0.35129605582308143
Position 1552: 0.25061786764195026
Position 694: 0.17092752183766455
Position 2075: 0.13704647843525586
Position 2175: 0.10675216927396161
Position 1273: 0.07859940379936965
Position 1946: 0.07791373858487964
Position 1648: 0.07337393651650842
Position 358: 0.060809107904743046
Position 1291: 0.048959346094309165
Position 940: 0.03593629598925956
Position 540: 0.02434540548635457
Position 2315: 0.02079054668891108
Position 920: 0.01856868663230294
Position 2082: 0.018372791556642103
Position 329: 0.015466887562667257
Position 2417: 0.010239095737041706
Position 896: 0.009787107944275467
Position 1773: 0.008634074471608317
Position 1432: 0.00692167977868897
Position 632: 0.006837427380248195
Position 1823: 0.0067007938360772006
Position 300: 0.0064073847629393605
Position 2009: 0.006131825376895034
Position 2338: 0.005689209365693349
Position 508: 0.0047332742508448735
Position 281: 0.004732891163509983
Position 2208: 0.004270621121406534
Position 700: 0.004083085743514689
Position 2229: 0.00387542296772096
Position 2254: 0.0038305316371295265
Position 1992: 0.0032586467706152804
Position 723: 0.0021586024485304193
Position 1396: 0.002123518426080627
Position 2116: 0.0021217173251188025
Position 2127: 0.002003933268398469
Position 992: 0.0017885541340254016
Position 1502: 0.0016112467472324187
Position 1170: 0.0015970734149701002
Position 1719: 0.0014507529756692375
Position 1980: 0.00142685119578529
Position 402: 0.0013663648396530733
Position 634: 0.001304191495794931
Position 310: 0.0012580276891079574
Position 2098: 0.0012471303463745557
Position 291: 0.001211586579166809
Position 1236: 0.0011893816613509443
Position 2187: 0.0011402547021469236
Position 1967: 0.0008867468795286792
Position 1976: 0.0008645580072007776
Position 1563: 0.0008428041701790777
Position 757: 0.0008102479966763443
Position 1088: 0.000775993441521861
Position 544: 0.000745019294268255
Position 1470: 0.0007283268063325498
Position 1997: 0.0007062539530968304
Position 1706: 0.0006573905166549891
Position 1592: 0.0006573552696833162
Position 1521: 0.0005210428905319233
Position 576: 0.0005137587769353587
Position 1709: 0.0004915015069777923
Position 572: 0.00047998408384176283
Position 2470: 0.00042145378153293274
Position 214: 0.0004150246096134345
Position 1959: 0.00040142619157372756
Position 879: 0.00036554115298018715
Position 2260: 0.00033476667534974045
Position 2372: 0.0003311184654612386
Position 925: 0.00030212628407760985
Position 611: 0.0002972789549506459
Position 945: 0.00023185788342302893
Position 1314: 0.0002091281656788376
Position 467: 0.00019439899571823993
Position 478: 0.00019001217725506662
Position 665: 0.0001295148549907943
Position 1531: 0.0001220796670845189
Position 1360: 0.00011795461459971001
Position 595: 0.00010990960553747125
Position 448: 0.00010098850077026887
Position 587: 9.404829186328775e-05
Position 954: 8.881720815799604e-05
Position 463: 8.429564791009044e-05
Position 437: 8.316782395898581e-05
Position 603: 7.586669370401748e-05
Position 117: 6.962039077052152e-05
Position 815: 6.905530305047342e-05
Position 168: 5.693473567150499e-05
Position 229: 5.27335542734062e-05
Position 648: 4.972242429251276e-05
Position 639: 4.3885834899581115e-05
Position 407: 2.7348473908658098e-05
Position 947: 2.560349891067246e-05
Position 453: 2.526021804128222e-05
Position 258: 2.3161999595290442e-05
Position 131: 2.284640387535408e-05
Position 1033: 2.1736380328711145e-05
Position 196: 1.405952022906675e-05
Position 642: 1.3998439907965199e-05
Position 960: 1.3642277937791842e-05
Position 607: 1.3577465108315103e-05
Position 850: 1.1956037213103366e-05
Position 404: 1.1572517840206868e-05
Position 774: 9.666460549604235e-06
Position 867: 8.610242675965617e-06
Position 1677: 7.875928095682297e-06
Position 149: 7.589820344328109e-06
Position 518: 6.649413048599206e-06
Position 1356: 2.5576405227096287e-06
Position 369: 2.506906254845371e-06
Position 234: 2.3638307978147758e-06
Position 761: 1.963082086442151e-06
Position 1599: 1.4753454428678104e-06
Position 142: 6.186607503449848e-07
Position 210: 3.6169248781515e-07
Position 418: 2.484972391481649e-07
Position 427: 1.2516731662449474e-07
Position 420: 1.2274074226395722e-07
