Gene = Lat
index = 623
Annotated 5SS: [ 387  593  733 1040 1236 1349 1489 1659 4976 5137 5339]
Annotated 3SS: [ 564  697  951 1170 1318 1427 1563 4912 5073 5233 5492]
SMsplice 5SS: [ 387 1040 1236 1489 1659 4976 5137 5339]
SMsplice 3SS: [ 951 1131 1427 1563 4862 5073 5233 5492]
top_k =  500
Partition function (log Z): 9.694722783535209

Sorted 5' Splice Sites (High to Low Probability):
Position 1489: 0.927405282850436
Position 5137: 0.9232893273365772
Position 1659: 0.8621160262639465
Position 5339: 0.8539318634306496
Position 1236: 0.7926379372131065
Position 4976: 0.7871558594518455
Position 1040: 0.7000817998603978
Position 387: 0.555413011203488
Position 593: 0.531034654416965
Position 733: 0.49315780971679885
Position 4789: 0.4538620320408009
Position 1349: 0.31741790390606245
Position 375: 0.15525753057835492
Position 3934: 0.1344915275863498
Position 4980: 0.10919347224723641
Position 776: 0.08766916169358778
Position 26: 0.07062480447506439
Position 4085: 0.05093411916923693
Position 4517: 0.04716032172967561
Position 5151: 0.031159364507786346
Position 1508: 0.022317705336047135
Position 1497: 0.017271776329364462
Position 5149: 0.016781845058940075
Position 361: 0.010423154689226903
Position 308: 0.008294475492114152
Position 1493: 0.007780165222968005
Position 1044: 0.006596343872860864
Position 273: 0.0064900090229612
Position 1353: 0.004034955642944697
Position 420: 0.0029294460954674625
Position 780: 0.002874973046280931
Position 774: 0.0027634450003255193
Position 4949: 0.0026695929489314535
Position 5410: 0.0018495620754231364
Position 1094: 0.001742251897027568
Position 1903: 0.0017272647962238792
Position 1901: 0.0014285602107184075
Position 764: 0.001316180890747962
Position 2251: 0.00100654885335485
Position 56: 0.0010018140092297781
Position 5141: 0.0009904058066365809
Position 5087: 0.0008984348654634631
Position 497: 0.0008669100741875624
Position 3982: 0.0007298999932300464
Position 365: 0.0006753511094439312
Position 840: 0.0005218973367961285
Position 3800: 0.0005039470392748947
Position 1360: 0.0004965897425644521
Position 236: 0.00038955049458634433
Position 737: 0.00038723256166938835
Position 3000: 0.0003500100537185008
Position 5346: 0.0002953566575975998
Position 5118: 0.0002826943320506202
