Gene = Srsf11
index = 1031
Annotated 5SS: [  124  5188  9915 13799 14680 15264 17328 18830 20318 22688 23860 24330]
Annotated 3SS: [ 4990  9780 13688 14586 15213 17199 18747 20185 22597 23763 24190 24435]
SMsplice 5SS: [  124  4649  9915 13397 13799 14680 17328 17553 18830 20318 22688 23860
 24330]
SMsplice 3SS: [ 4572  9780 13279 13688 14586 17199 17440 18747 20185 22597 23763 24190
 24438]
top_k =  500
Partition function (log Z): 21.697629221907494

Sorted 5' Splice Sites (High to Low Probability):
Position 24330: 0.9985454794418097
Position 124: 0.9972788256836296
Position 22688: 0.9795329051528814
Position 20318: 0.9682972480759547
Position 18830: 0.9677252398568675
Position 13397: 0.9596179409633251
Position 17328: 0.9508980508262718
Position 14680: 0.9050523617543426
Position 4649: 0.8093601705712599
Position 23860: 0.7914120729305565
Position 13799: 0.6449303183378142
Position 9915: 0.6266570316177901
Position 17553: 0.5339400878404419
Position 12517: 0.48365664215704496
Position 1868: 0.3609239061354771
Position 17135: 0.32470605308975775
Position 6857: 0.19413679546405435
Position 21717: 0.18312150572777328
Position 5225: 0.12157083568706081
Position 8873: 0.12000215508541631
Position 21531: 0.10139217369454227
Position 12342: 0.08044346668962833
Position 10860: 0.07974617115155663
Position 15264: 0.0745351178424452
Position 4000: 0.07145108956553012
Position 17620: 0.04952498343787339
Position 21758: 0.048706917096098284
Position 13825: 0.04097931217505779
Position 17098: 0.03730010898823802
Position 20395: 0.035937196733052866
Position 3477: 0.03547374047878589
Position 18348: 0.035056089510583706
Position 22354: 0.03496631563774842
Position 9983: 0.03422495339205679
Position 23866: 0.03081569606248064
Position 12571: 0.030654842812574704
Position 17596: 0.027879621973547777
Position 2022: 0.02606133913408939
Position 24559: 0.024730243583095498
Position 15779: 0.024021792482048065
Position 17991: 0.023502264555219973
Position 15349: 0.022043325143839384
Position 24623: 0.021478043891163232
Position 2419: 0.02084811623246245
Position 17650: 0.020437079883802667
Position 5188: 0.017366401233064394
Position 22812: 0.016434700940315076
Position 3613: 0.016338720479174253
Position 18876: 0.015845751657089516
Position 24479: 0.015727144987546664
Position 2270: 0.01569061953972147
Position 10109: 0.0145482338384341
Position 14390: 0.011911066342129389
Position 1915: 0.01055449123031068
Position 10208: 0.008753525322473515
Position 24922: 0.008547152182552807
Position 12883: 0.007504095411075368
Position 10977: 0.0074434485412358375
Position 11376: 0.007079101508672737
Position 17374: 0.00650122832887929
Position 22259: 0.006430799523840001
Position 11169: 0.005448526256141638
Position 17365: 0.005145148633259439
Position 11153: 0.004404104726230337
Position 17711: 0.00440039354647085
Position 22346: 0.004381045090208242
Position 21621: 0.003705122336565604
Position 17285: 0.003371856587374914
Position 24583: 0.003069169822289034
Position 2318: 0.0027977107357118223
Position 23818: 0.002557755790549801
Position 128: 0.0025521783276514793
Position 298: 0.002471650863321855
Position 17506: 0.0024689155432651975
Position 23568: 0.002405134899635674
Position 17997: 0.0023990002628695105
Position 13843: 0.0021470501341354724
Position 1952: 0.001621492772378328
Position 361: 0.001522187840549379
Position 24652: 0.0014433693109355261
Position 23071: 0.0013162671643635342
Position 21701: 0.0013138336849225442
Position 18881: 0.0012989318516101844
Position 24520: 0.0012145381892303272
Position 17624: 0.0009239786461406449
Position 19135: 0.0008937608677346365
Position 18853: 0.0008110716431736887
Position 24334: 0.0006804364144579551
Position 17639: 0.0006316481515443922
Position 14722: 0.000574997241200611
Position 14703: 0.000574590347948595
Position 23881: 0.0004210671171598
