Gene = Ccpg1
index = 231
Annotated 5SS: [  245 12042 13716 14111 16447 20464 24984 27564]
Annotated 3SS: [11972 13594 14033 16247 20211 24867 26500 29902]
SMsplice 5SS: [  245 12042 13716 14111 16447 18508 24984]
SMsplice 3SS: [11972 13594 14033 16247 18397 24867 29902]
top_k =  500
Partition function (log Z): 0.16545626998982943

Sorted 5' Splice Sites (High to Low Probability):
Position 24984: 0.9997972731971212
Position 245: 0.9983202946518845
Position 14111: 0.9006014383414017
Position 13716: 0.8760061145415229
Position 16447: 0.8749126805501949
Position 12042: 0.852100506631619
Position 18508: 0.7333906704385655
Position 30001: 0.7315574847199433
Position 7195: 0.5188465594100274
Position 8231: 0.3717646827095913
Position 20464: 0.3475695507106701
Position 16792: 0.21255945762661632
Position 7178: 0.20207116074340636
Position 28832: 0.15927216233819402
Position 20377: 0.1589421958690397
Position 27898: 0.13822714811729464
Position 6302: 0.13149607142859637
Position 7399: 0.10143776605860103
Position 21964: 0.09025974182116672
Position 20536: 0.0888685320090854
Position 12091: 0.08498808709341697
Position 4589: 0.07166537775043709
Position 18533: 0.07087391888788692
Position 15861: 0.07028836176568365
Position 20408: 0.06749987881557049
Position 22227: 0.05170120638233036
Position 12584: 0.04140808940646856
Position 25214: 0.0396615793252671
Position 17613: 0.03916572311670103
Position 28617: 0.0378414069277942
Position 22709: 0.029356243148337378
Position 16421: 0.028654372364690785
Position 25695: 0.02813831211585702
Position 22281: 0.027453920612043718
Position 21396: 0.026421697480297494
Position 24594: 0.025002826196748883
Position 13116: 0.01827242719302857
Position 13710: 0.01542503096824878
Position 3447: 0.013627892318528815
Position 15998: 0.0131551737648422
Position 18773: 0.012985241663003237
Position 19924: 0.012930868662321305
Position 12841: 0.010078891342890176
Position 14642: 0.009697858951558919
Position 7182: 0.009315787190942386
Position 8555: 0.008131115435909535
Position 27564: 0.007813096974545602
Position 26710: 0.007219871310599745
Position 19240: 0.0071213567990897845
Position 28654: 0.006730652830035031
Position 21835: 0.00541752608041618
Position 7404: 0.005347883814035627
Position 21735: 0.005115578130838898
Position 28639: 0.004113209311186473
Position 3686: 0.0030148328668965323
Position 1236: 0.0029905480341090624
Position 25279: 0.0029088756443494753
Position 4287: 0.002848516636237107
