Gene = Gtf2a2
index = 524
Annotated 5SS: [ 112 2861 4374 6966]
Annotated 3SS: [2741 4268 6838 9886]
SMsplice 5SS: [ 112 2861 4374 6966]
SMsplice 3SS: [2741 4237 6838 9886]
top_k =  500
Partition function (log Z): -4.805359435546395

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9508676273141994
Position 6966: 0.8867186231566945
Position 2861: 0.7674671679226348
Position 4374: 0.6402948128575987
Position 4642: 0.4962269473363597
Position 2466: 0.3500219193270105
Position 4424: 0.23932239690419946
Position 3388: 0.19908017420185664
Position 6269: 0.11350199535027321
Position 681: 0.10071047194456244
Position 7994: 0.08790132873803695
Position 1420: 0.0597201525547619
Position 8798: 0.04571172170996857
Position 4457: 0.04124659738474872
Position 2473: 0.023566156848016
Position 6960: 0.02019244321410645
Position 774: 0.01959910912278396
Position 579: 0.01620660132799411
Position 8780: 0.01608895562859021
Position 9241: 0.014845627360205876
Position 1569: 0.013005857131952804
Position 2456: 0.011138855426726078
Position 160: 0.009927676039342819
Position 6563: 0.006746917857440504
Position 403: 0.005242572157613664
Position 8052: 0.005025000895137663
Position 5136: 0.004950751050996241
Position 7148: 0.004766252990352477
Position 310: 0.004550130703624593
Position 599: 0.004501402588131494
Position 4702: 0.004323688511852049
Position 6911: 0.004015020150464749
Position 5974: 0.003619725285186022
Position 3293: 0.0032726317325517504
Position 2583: 0.00246676182951941
Position 397: 0.0022193396649799867
Position 3776: 0.002206902375867152
Position 3239: 0.0021102999483921863
Position 3361: 0.0018578759795885955
Position 1330: 0.0012375219306848364
Position 50: 0.001028125211228206
Position 2428: 0.0008922049815099184
Position 9245: 0.0008727658042256477
Position 7729: 0.0008644381555422398
Position 3194: 0.0005670107017835915
Position 1043: 0.0002933105878020026
Position 699: 0.0002728102200420553
Position 1942: 0.00027164379446646794
Position 391: 0.0002684925485348953
Position 2889: 0.00025689063672329064
Position 3189: 0.00011084177572047618
Position 572: 9.514889313066288e-05
Position 609: 8.562136984159222e-05
Position 923: 3.995961358647842e-05
Position 676: 3.2671929484224925e-05
Position 730: 3.256733351436581e-05
Position 784: 2.5877426027926488e-05
