Gene = Fuz
index = 417
Annotated 5SS: [ 284  590  921 1251 1546 2622 2793 3013 3160 3308]
Annotated 3SS: [ 467  835 1181 1440 2423 2696 2905 3094 3232 4053]
SMsplice 5SS: [ 284  590 1266 1546 2622 2793 3013]
SMsplice 3SS: [ 467 1181 1440 2423 2696 2905 4053]
top_k =  500
Partition function (log Z): 0.039180809006559514

Sorted 5' Splice Sites (High to Low Probability):
Position 1546: 0.954704733368988
Position 2793: 0.946615607862242
Position 2622: 0.8580365173900714
Position 1266: 0.6812825544434852
Position 3013: 0.6046543161282454
Position 590: 0.5170137758443604
Position 3308: 0.5062972688690425
Position 284: 0.49413856321352173
Position 921: 0.43902183271700584
Position 159: 0.3299061607455087
Position 3160: 0.2600490375574825
Position 1251: 0.19882432200733105
Position 642: 0.1219870957137808
Position 147: 0.09351935719601291
Position 1982: 0.05373182975978222
Position 3175: 0.05128306697195193
Position 3432: 0.04056813589309742
Position 564: 0.03973734416838027
Position 4298: 0.03689278033971426
Position 1986: 0.012845493633381892
Position 135: 0.012154677825947572
Position 200: 0.010048437225911616
Position 3699: 0.009993320513828254
Position 3904: 0.008456108806946932
Position 4278: 0.004748894940891354
Position 835: 0.004709523612792276
Position 438: 0.003981262458575721
Position 1275: 0.003696001668042304
Position 3805: 0.0034482752927839488
Position 3739: 0.0033198786794736155
Position 3190: 0.003074939151741971
Position 665: 0.0030119118136947586
Position 3215: 0.00262639439114607
Position 4398: 0.0025243680954500957
Position 318: 0.002325615459925858
Position 629: 0.0021769338226913255
Position 3417: 0.001864491641031965
Position 352: 0.0014243896307810594
Position 3840: 0.001089627774047762
Position 3857: 0.0009173280518417205
Position 732: 0.0008037263319524694
Position 3778: 0.0007672021549923989
Position 626: 0.0006879570798590971
Position 343: 0.0005830676528356155
Position 781: 0.0004892134784218251
Position 443: 0.0004812822564205249
Position 3315: 0.00043416488137041986
Position 3900: 0.0003959480558365882
Position 1533: 0.00038647284414499247
Position 252: 0.00038281674576905894
Position 1503: 0.00031637287042148016
Position 154: 0.00030445690498964907
Position 528: 0.00027664872725244067
Position 1270: 0.00026823451293412194
Position 653: 0.0002581643951597041
Position 1169: 0.00024559429671998823
Position 2556: 0.00023588688430888107
Position 569: 0.00022649442960510048
Position 984: 0.00022562181331744585
Position 233: 0.00022398255869204072
Position 2096: 0.00020500959451659354
Position 2595: 0.0001949281097642297
Position 2597: 0.0001794006289199164
Position 1182: 0.00013246684218850408
Position 430: 0.00011462333946121004
Position 241: 8.029733593987894e-05
Position 414: 6.482579616820712e-05
Position 1289: 6.169112514262764e-05
