Gene = Hykk
index = 551
Annotated 5SS: [  576  3542  5052 20040]
Annotated 3SS: [ 3190  4911 19855 28782]
SMsplice 5SS: [  576 13546 20040]
SMsplice 3SS: [13411 19855 29627]
top_k =  500
Partition function (log Z): -16.423724485776976

Sorted 5' Splice Sites (High to Low Probability):
Position 5052: 0.8355317567037165
Position 20040: 0.7283141571620549
Position 576: 0.7197943840065695
Position 13546: 0.6125018426188963
Position 371: 0.46193122328714975
Position 7641: 0.44471906279330925
Position 3542: 0.23327986037877713
Position 13549: 0.20970147831783564
Position 5873: 0.18391333882552235
Position 181: 0.14984252635964482
Position 1050: 0.1372469340168931
Position 21385: 0.1023089075235398
Position 20061: 0.09625241789420111
Position 2805: 0.09086150202027132
Position 426: 0.04824433065733687
Position 5274: 0.040735952800134805
Position 1107: 0.03841523306351874
Position 2939: 0.030641015480700397
Position 419: 0.011617024347032491
Position 54: 0.00802577289367843
Position 2539: 0.006114848450720835
Position 215: 0.005507878611710606
Position 2449: 0.004609264883460738
Position 3033: 0.004142081931647394
Position 2508: 0.003088237492288888
Position 1100: 0.0030197839072684677
Position 1089: 0.00256432268384784
Position 58: 0.0021409251609664404
Position 256: 0.0018311499986460571
Position 68: 0.001562079456954061
Position 1886: 0.001465851687494635
Position 1066: 0.0012245559092164224
Position 4941: 0.0012017068886598637
Position 1134: 0.0010639506883614318
Position 1141: 0.000816412134919672
Position 94: 0.000497991974487509
Position 3280: 0.0004221175433943955
Position 2845: 0.0004079581941188586
Position 738: 0.0003997204973222041
Position 231: 0.0003626692724903958
Position 2997: 0.00035602823233472534
Position 401: 0.00028588971399428953
Position 1041: 0.00023942353176408245
Position 1745: 0.0002390577000996283
Position 1400: 0.00019925196797224715
Position 48: 0.00016258260525903534
Position 166: 0.0001565227163846351
Position 375: 0.00015157371960976772
Position 43: 0.0001507173364657896
Position 87: 0.00010250192002192999
Position 1639: 0.00010175747696079643
Position 1115: 9.263345705073952e-05
Position 530: 8.606455375143842e-05
Position 313: 8.166525478600115e-05
Position 645: 4.3003996324050634e-05
Position 5216: 3.672424603199274e-05
Position 558: 3.421189030709655e-05
Position 264: 2.977860732286237e-05
Position 406: 2.9424433625440867e-05
Position 222: 2.1902054549867964e-05
Position 521: 1.3817447953271324e-05
Position 701: 1.2286196915794343e-05
Position 879: 1.0365547421445683e-05
Position 873: 9.126117827732502e-06
Position 598: 7.5522359708227495e-06
Position 316: 5.888107911064843e-06
Position 4325: 5.79841483693334e-06
Position 3496: 5.668074105069927e-06
Position 4264: 5.545885410400763e-06
Position 544: 5.323125862795833e-06
Position 797: 4.296356271047991e-06
Position 722: 3.519567089309361e-06
Position 505: 2.821065917224468e-06
Position 399: 2.2851738317643306e-06
Position 882: 2.247625877953327e-06
Position 731: 2.169508309875948e-06
Position 767: 1.2651145622164642e-06
Position 430: 1.1026487270997556e-06
