Gene = Iscu
index = 595
Annotated 5SS: [ 197 1629 2581 4102]
Annotated 3SS: [1514 2469 4022 5084]
SMsplice 5SS: [ 197 1629 2581 4102]
SMsplice 3SS: [1514 2469 4022 5084]
top_k =  500
Partition function (log Z): 0.9148462653453859

Sorted 5' Splice Sites (High to Low Probability):
Position 1629: 0.9629189100205353
Position 4102: 0.9380708176687411
Position 2581: 0.9212576837548003
Position 197: 0.6004879027550243
Position 349: 0.35714074860404493
Position 1217: 0.24736903086065642
Position 4520: 0.13110484253621527
Position 2068: 0.12485683772624318
Position 1885: 0.06465109312884576
Position 4331: 0.06256512886886545
Position 2044: 0.05596951568149751
Position 548: 0.05090109187317602
Position 4475: 0.045396941782418924
Position 2566: 0.03595194918028145
Position 896: 0.02333249561906058
Position 1390: 0.02242779546579374
Position 684: 0.02183198784805558
Position 5167: 0.016993708956985248
Position 2656: 0.012757526595733589
Position 4690: 0.010031536470431054
Position 343: 0.00868648340108408
Position 1296: 0.0067687351802117116
Position 4411: 0.006517308948202766
Position 2682: 0.006325211880378864
Position 4673: 0.00609718815428082
Position 2337: 0.0058395701047856815
Position 4968: 0.005786436975486225
Position 3956: 0.00572919737461452
Position 2562: 0.00457037335945413
Position 3587: 0.004446380564639255
Position 1287: 0.004301585203560267
Position 3809: 0.004274788934420411
Position 5008: 0.004179208478156521
Position 3633: 0.003768866509193336
Position 1856: 0.0035157504942305543
Position 3128: 0.003330418672106595
Position 1251: 0.0031291743228249306
Position 215: 0.0030845341454529677
Position 2243: 0.0029906833946617617
Position 1609: 0.002946395601912187
Position 3877: 0.0022772195469374116
Position 1640: 0.0019155867962168855
Position 1091: 0.0019097393006601707
Position 1590: 0.0018176191842805666
Position 56: 0.0014387667014416103
Position 1947: 0.0013669676616050765
Position 3610: 0.0011697336781401598
Position 3073: 0.001044878740606121
Position 669: 0.0010069903238081926
Position 1708: 0.0008971811250274464
Position 4528: 0.0008763735681561148
Position 312: 0.0008312038242970003
Position 1012: 0.0008249970570840465
Position 662: 0.0007798612871006648
Position 1128: 0.000687283796899183
Position 4718: 0.0006525075622317199
Position 795: 0.0005974549026712823
Position 4578: 0.0005540046327965309
Position 3554: 0.0005460210531696429
Position 918: 0.0005159103736738626
Position 1744: 0.0004904637270726304
Position 1373: 0.0004679494400963617
Position 3064: 0.00046552151554224197
Position 121: 0.00044933344518743813
Position 698: 0.00037383905135305006
Position 3641: 0.000265156907011123
Position 1904: 0.00021233774659600707
Position 1614: 0.000211517685699892
Position 564: 0.00019559890389635165
Position 2799: 0.00016931694158791395
Position 1606: 0.00016872955423940012
Position 672: 0.00015216329735004164
Position 1839: 0.00014116073427298165
Position 1292: 0.00013453886460378531
Position 314: 0.00013080982503515276
Position 1700: 0.0001003668298992325
Position 4814: 9.709310675014663e-05
Position 1239: 8.958232092555651e-05
Position 886: 7.973228306666645e-05
Position 1845: 7.801500311425556e-05
Position 1221: 7.79226225021345e-05
Position 15: 7.68286451817258e-05
Position 1515: 7.20714305235362e-05
Position 47: 6.785862531319252e-05
Position 302: 6.72569289320355e-05
Position 166: 2.8552999707237416e-05
Position 826: 1.8879427362111265e-05
Position 1689: 1.8581739461034025e-05
Position 1694: 1.1688593386423657e-05
Position 105: 5.1759345773385136e-06
Position 1575: 3.915144422991489e-06
Position 353: 3.1837199457418704e-06
Position 4165: 2.4417489021790894e-06
Position 4106: 1.031669693324247e-06
Position 365: 6.839043396006828e-07
Position 497: 6.528453762220955e-07
Position 490: 5.448171846135537e-07
Position 20: 4.656434099639911e-07
Position 676: 3.598057542177342e-07
Position 245: 3.0965832808269594e-07
Position 674: 1.8930519030257074e-07
Position 356: 1.3461688362247784e-07
Position 934: 1.0582009661190229e-07
Position 532: 9.203046786500349e-08
Position 932: 9.13344196993429e-08
Position 444: 2.9465557366335098e-08
Position 542: 2.650538188165882e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2469: 0.9725684232730111
Position 1514: 0.9231967878169884
Position 5084: 0.8417382936257082
Position 4022: 0.823377724174589
Position 1772: 0.17840115776223342
Position 1114: 0.17013072764831902
Position 3976: 0.11526590286010328
Position 4399: 0.1020701256478654
Position 4374: 0.09761769082313783
Position 4216: 0.05268692167393635
Position 1454: 0.046074014849541975
Position 1032: 0.045856522579937095
Position 5050: 0.03823272920871704
Position 4717: 0.037648550408763644
Position 520: 0.03644741696557444
Position 1922: 0.031029030153726853
Position 1801: 0.02866441459979153
Position 4248: 0.027495087593157917
Position 1089: 0.024723558390037075
Position 5307: 0.020338677320629422
Position 760: 0.01485573756621857
Position 1325: 0.012227257131979696
Position 1147: 0.01121623224435177
Position 4558: 0.010247516989568847
Position 3470: 0.008593263001988611
Position 3735: 0.008109797274569286
Position 4422: 0.006502675403409737
Position 609: 0.006373246413820789
Position 1006: 0.005967126518471975
Position 2275: 0.005484687575340362
Position 4321: 0.005151231887461313
Position 2475: 0.004983247825779282
Position 454: 0.004806980289449784
Position 737: 0.004513573424098941
Position 4356: 0.004449111083641798
Position 3980: 0.004397118763296647
Position 1281: 0.004325636710190568
Position 3618: 0.004319338020472833
Position 475: 0.004243409814834321
Position 4604: 0.0038018783237608114
Position 2155: 0.0034651089859430015
Position 990: 0.0034219988334313676
Position 4176: 0.003299010332740281
Position 5324: 0.0032832087877085834
Position 952: 0.003074046328835239
Position 3836: 0.003066880623556579
Position 4592: 0.0030534474989986206
Position 1856: 0.0028858788732015464
Position 4886: 0.002774992027201102
Position 1806: 0.002630918630891799
Position 4862: 0.0024534337918922958
Position 2948: 0.002148795296433864
Position 4028: 0.002105211512693085
Position 2983: 0.001925810576153242
Position 5346: 0.001805719338142348
Position 5093: 0.001740127578654504
Position 4311: 0.0016907439724702644
Position 4511: 0.0016624578948546882
Position 2005: 0.0016607533606389873
Position 1712: 0.0015140256355932343
Position 3928: 0.0013623552778180322
Position 4237: 0.0013078989671823325
