Gene = Slx1b
index = 987
Annotated 5SS: [ 360 3032 3464 3857 4046]
Annotated 3SS: [2979 3124 3728 3960 4128]
SMsplice 5SS: [ 360 2640 3032 3464 3857 4046]
SMsplice 3SS: [2423 2979 3124 3728 3960 4128]
top_k =  500
Partition function (log Z): -3.5839729488077827

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9832385788906838
Position 3032: 0.7897949674383832
Position 3857: 0.7735695790311714
Position 3464: 0.773053085083098
Position 4046: 0.6938790950764002
Position 2640: 0.5336620272394125
Position 4349: 0.37263402023094316
Position 3254: 0.04847145933401256
Position 3598: 0.04723525672604464
Position 2789: 0.04056376988817203
Position 92: 0.02106763637203899
Position 1098: 0.015759211481031696
Position 2603: 0.015740492194885613
Position 2939: 0.01383715420333995
Position 126: 0.012434425516955241
Position 4246: 0.011998132393510576
Position 3250: 0.011290865069468626
Position 326: 0.009859392511380845
Position 6011: 0.007342831009625927
Position 631: 0.005820031769645046
Position 2868: 0.005327603573428516
Position 4199: 0.004722486009435475
Position 3423: 0.0037381164633237315
Position 2858: 0.003484286221114725
Position 1976: 0.0032400827186505787
Position 2553: 0.00304104726742795
Position 2616: 0.0029820599013985196
Position 599: 0.002804140289864683
Position 396: 0.002675996602662268
Position 3613: 0.002642373500286805
Position 2500: 0.0025906967564181278
Position 3892: 0.0024307404627817632
Position 133: 0.0020693730359186467
Position 295: 0.002061179562994691
Position 3043: 0.0016606202435764722
Position 3386: 0.0016414863942430895
Position 2282: 0.0013288450332725936
Position 3642: 0.0012589906909349052
Position 3041: 0.0010149401813867682
Position 3686: 0.0009466379212884213
Position 1684: 0.0008355539152913338
Position 3640: 0.000729448203297488
Position 928: 0.0006549389329655709
Position 5756: 0.0006394894628891562
Position 6222: 0.0006342970885147596
Position 2495: 0.0006293277567509948
Position 614: 0.0006047195430158835
Position 29: 0.0005956805286125109
Position 381: 0.0005854223388310937
Position 569: 0.0004638114976944713
Position 1859: 0.0004439786975605283
Position 1605: 0.00036720171966571867
Position 72: 0.00031224154554608074
Position 591: 0.0002725187047625566
Position 175: 0.0002639603313711028
Position 4165: 0.00023737191148978944
Position 2223: 0.0002262066296239483
