Gene = Mei4
index = 669
Annotated 5SS: [   248  26698  63964 115588]
Annotated 3SS: [ 26451  63427 115455 161848]
SMsplice 5SS: [   248   5975  28003  35701  71823  86908  90806 101676 115588 133356
 144540 145496 153283]
SMsplice 3SS: [  5842  27908  35565  71733  86733  90647 101451 115482 133259 144407
 145331 153117 161848]
top_k =  500
Partition function (log Z): -76.83474702622513

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9274064030196992
Position 5975: 0.7572003664987311
Position 9706: 0.2480135156321026
Position 1882: 0.2315359404346511
Position 6202: 0.2075856445470077
Position 6216: 0.12019034425323816
Position 6186: 0.0902116223852486
Position 11802: 0.0631746913204883
Position 8396: 0.05509878203597094
Position 6440: 0.05441163330021342
Position 208: 0.042080615985308635
Position 4261: 0.039136173215017965
Position 12361: 0.035890766287274486
Position 1736: 0.022794844277400743
Position 4277: 0.021545931504518966
Position 8552: 0.01992596551876013
Position 6048: 0.019557354451212757
Position 9259: 0.014339833189956346
Position 1055: 0.012372228567406081
Position 8356: 0.011230059253994687
Position 572: 0.007053381276000266
Position 1732: 0.006272866734118085
Position 2415: 0.006238080330214584
Position 528: 0.005714427286315949
Position 3426: 0.005690105867290776
Position 677: 0.005109724792135308
Position 293: 0.00461172035682651
Position 688: 0.004420321837305534
Position 5516: 0.004362729374555786
Position 8457: 0.0024820046700436693
Position 3256: 0.0024694241978937236
Position 5308: 0.0021506739773352332
Position 563: 0.0011358355528363027
Position 347: 0.001037271180664826
Position 610: 0.001016258741046562
Position 4754: 0.000962131192403759
Position 2977: 0.0008627964800670881
Position 7039: 0.00010769052752019266
Position 683: 3.1143067599161894e-05
Position 395: 2.989080157936617e-05
Position 440: 2.1273254331966828e-05
Position 708: 1.448891662867972e-05
Position 252: 1.2061068928812108e-05
Position 64: 1.0733013190570808e-05
Position 407: 1.0603840730257995e-05
Position 335: 1.0238943822984356e-05
Position 823: 9.97894993315123e-06
Position 475: 6.684699828933991e-06
Position 297: 5.790982981681474e-06
