Gene = Cenpl
index = 246
Annotated 5SS: [  590  4164  7714 12684]
Annotated 3SS: [ 3989  7461 12140 15220]
SMsplice 5SS: [ 590 4164 7714]
SMsplice 3SS: [ 3989  7461 12140]
top_k =  500
Partition function (log Z): -8.838263376870353

Sorted 5' Splice Sites (High to Low Probability):
Position 590: 0.9876364595162361
Position 4164: 0.8962706481723106
Position 7714: 0.7414097802488672
Position 2666: 0.288098243373433
Position 4523: 0.2551255781740036
Position 2925: 0.1803151860491434
Position 12684: 0.1149802151620612
Position 9244: 0.10155374935565775
Position 6580: 0.06848283633691944
Position 3005: 0.06764429838701391
Position 9408: 0.0487942681325729
Position 7118: 0.04825683655707653
Position 369: 0.04729574887844878
Position 11476: 0.04389669808519886
Position 707: 0.035108789652819154
Position 5334: 0.030273929612347712
Position 12199: 0.0296945950017697
Position 9116: 0.02842833407968337
Position 1635: 0.023750964575809674
Position 7144: 0.017084690685850376
Position 3230: 0.01590067105803932
Position 2112: 0.014808153981304677
Position 3359: 0.014495019083261814
Position 2198: 0.013675802850085558
Position 3655: 0.013596128866988409
Position 3669: 0.012526661564610126
Position 7093: 0.011890641313116908
Position 728: 0.00659479884796623
Position 713: 0.005789993652508552
Position 153: 0.00558133848417774
Position 12361: 0.005251107297084041
Position 4169: 0.004310200113946729
Position 1066: 0.004168066124088346
Position 7648: 0.004102479406279903
Position 6628: 0.0031454470632502037
Position 11588: 0.0024629962044069925
Position 2874: 0.002026721646894685
Position 1743: 0.001667619360106169
Position 4960: 0.0013902943805636694
Position 1664: 0.0011936456756279725
Position 2346: 0.0009287487151497973
Position 9839: 0.0008966707445080463
Position 137: 0.0008335963854108428
Position 98: 0.0007891960930061994
Position 1381: 0.0006001633729195405
Position 756: 0.0005663326775526809
Position 362: 0.0005654159472462984
Position 186: 0.0005461418861262648
Position 396: 0.0005179711022028642
Position 258: 0.0004696879592299237
Position 70: 0.00043605618910707097
Position 223: 0.00043532328088583796
Position 2476: 0.0004176842821428108
Position 1313: 0.0003648619802336541
Position 717: 0.0002793199204706814
Position 814: 0.00027922208420853644
Position 4095: 0.0002540607665138353
Position 103: 0.00023064784155982012
Position 88: 0.00020874171400552755
Position 346: 0.0001959750775749815
Position 188: 0.0001605818860721593
Position 4063: 0.00013081908629427095
Position 4059: 0.00012122221933190791
Position 448: 0.00011548555322958315
Position 282: 9.690763475993493e-05
Position 2043: 6.146781011400927e-05
Position 181: 4.9669496924675035e-05
Position 620: 4.955548284861589e-05
Position 1350: 4.82159825198627e-05
Position 2673: 4.5244804874781945e-05
Position 417: 4.432607984630375e-05
Position 817: 4.2705805572528645e-05
Position 1627: 4.246528307023388e-05
Position 1428: 3.919503587031759e-05
Position 2218: 3.0950847826193074e-05
Position 981: 2.8028278406095456e-05
Position 732: 2.363378498627231e-05
Position 275: 1.4117134756218881e-05
Position 190: 1.0085315797485698e-05
Position 604: 4.086287995161162e-06
Position 547: 2.1959102253922594e-06
Position 568: 1.291098497267008e-06
Position 584: 9.056914556942431e-07
Position 507: 7.685053081736328e-07
Position 3420: 7.240010205830689e-07
Position 515: 6.556614257238723e-07
Position 570: 3.5721724362139377e-07
Position 833: 3.252438090541508e-07
Position 1192: 2.419186023602588e-07
Position 463: 2.2970223416984792e-07
Position 558: 1.880450496920127e-07
Position 518: 3.900163621748346e-08
Position 637: 1.619561921774443e-08
Position 808: 1.4247098521730159e-08
Position 642: 5.074649362628798e-13
Position 670: 4.2980736179369424e-13
Position 681: 3.214670661275233e-13
Position 648: 3.1324765727108097e-13
Position 683: 2.0315703629405735e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 7461: 0.6975261383277115
Position 3989: 0.6898729291802919
Position 12140: 0.36121722139699397
Position 2534: 0.2700238981835405
Position 11406: 0.26596163085604185
Position 15220: 0.2563761019102506
Position 4298: 0.25149214626937555
Position 2764: 0.2424572198477342
Position 12598: 0.11201118650398731
Position 9100: 0.10297882303849996
Position 4079: 0.09642542158608519
Position 4062: 0.07374071817933842
Position 7019: 0.06946886423875534
Position 9291: 0.05168244051796475
Position 6528: 0.05050781507270332
Position 678: 0.04675889652305144
Position 7561: 0.04631442901770129
Position 9635: 0.03838616499109718
Position 11438: 0.0343108958558162
Position 8998: 0.030755299950365793
Position 4014: 0.024561829336997184
Position 460: 0.023494172224774994
Position 3125: 0.02218845302620507
Position 5259: 0.021090159179392377
Position 3541: 0.020697993974260025
Position 12804: 0.020375535820142995
Position 7602: 0.01652403773750222
Position 1554: 0.015421546475269218
Position 463: 0.015168665610998812
Position 1986: 0.01397854343243964
Position 518: 0.01363855566286399
Position 5110: 0.011353837822335492
Position 7571: 0.01108799790524533
Position 2094: 0.011061328098203937
Position 6301: 0.010071405847842059
Position 4027: 0.010030362913141426
Position 8623: 0.009075201328222987
Position 4485: 0.00884430230500047
Position 9466: 0.008601378126636881
Position 6479: 0.007727094493980341
Position 7965: 0.0073797586325880585
Position 12457: 0.00662331225860572
Position 8335: 0.006238158404178382
Position 2611: 0.0061959622538889075
Position 2774: 0.005873802380531969
Position 3947: 0.0056474286732080365
Position 3229: 0.005508615006003866
Position 6259: 0.005023851787420425
Position 9696: 0.004972000916918792
Position 3407: 0.004486077276481991
Position 7055: 0.004272513813988165
Position 2500: 0.004250731690544824
Position 6930: 0.003783147301745335
Position 2575: 0.0035965131603788443
Position 4766: 0.0035205076900967844
Position 7914: 0.0034709441161197333
Position 4302: 0.0032263203528389815
Position 3252: 0.0030788897101801734
Position 11377: 0.0030029406672600002
Position 2795: 0.0026748550285153358
Position 9873: 0.002374679244168376
Position 1933: 0.002322199745949353
Position 1495: 0.0020299026262000533
Position 1626: 0.001948180023505011
Position 8097: 0.0019029162502679552
Position 1283: 0.0018379301455868592
Position 2345: 0.001522114274189614
Position 8141: 0.0011430685703839208
Position 2480: 0.0010992099106371647
Position 2490: 0.0010877823649834799
Position 2111: 0.0009815757654948205
Position 3589: 0.0009656754052556074
Position 1350: 0.0009297810159200662
Position 1531: 0.0009019005161133325
Position 8093: 0.0008902742695168797
Position 2509: 0.000884179602686549
Position 3293: 0.0006904978247682738
Position 1256: 0.000633175253977814
Position 8626: 0.0006197962741027757
Position 1345: 0.0006090725884073326
Position 3931: 0.0005835605076082862
Position 5970: 0.0005808261522929732
Position 1534: 0.000568011423027323
Position 1999: 0.0005210621978795242
Position 960: 0.00046760152938820243
Position 2129: 0.00044500146762347064
Position 1456: 0.00043498295889167075
Position 5509: 0.0004032711742296488
Position 1520: 0.00038163306032780724
Position 1418: 0.00035875095646491613
Position 2282: 0.0003472349149078151
Position 5601: 0.00032086352697457146
Position 1451: 0.0003091878806308266
Position 1376: 0.0003021426844590718
Position 1501: 0.0002465646552615446
Position 1514: 0.00020853345777957665
Position 3881: 0.00020326309667949275
