Gene = Ubl3
index = 1160
Annotated 5SS: [  710 40769 43394 46217]
Annotated 3SS: [40659 43306 46138 46474]
SMsplice 5SS: [  710 40769 43394 46217]
SMsplice 3SS: [40659 43306 46138 46474]
top_k =  500
Partition function (log Z): -28.921622520761492

Sorted 5' Splice Sites (High to Low Probability):
Position 710: 0.6794289859203047
Position 4743: 0.5978948613924597
Position 2450: 0.3457376256066697
Position 1158: 0.307232390369203
Position 506: 0.2989516154279374
Position 818: 0.13287275105728388
Position 111: 0.08763045881076498
Position 3376: 0.08515089076215084
Position 6465: 0.06310842237243476
Position 6491: 0.061680926068311805
Position 4307: 0.04550179884682751
Position 5774: 0.042334408571262507
Position 2389: 0.038661276877502225
Position 6692: 0.035255076847643355
Position 798: 0.03282832075987272
Position 158: 0.030731906457176873
Position 1204: 0.027766648480333757
Position 195: 0.008299998390162818
Position 393: 0.007710839549243985
Position 329: 0.005179976395805188
Position 3212: 0.004645253367551698
Position 397: 0.003962929617589254
Position 4125: 0.002901886482170621
Position 262: 0.002357596905667604
Position 432: 0.002064098359366566
Position 126: 0.0015836591739785122
Position 589: 0.0011437144881414165
Position 316: 0.0010541961095982837
Position 496: 0.0009065913677961988
Position 289: 0.0009005263379340185
Position 260: 0.0004917840092538749
Position 2461: 0.000312282867748835
Position 733: 0.0003110715436215247
Position 1383: 0.00030890354133853625
Position 923: 0.00030642412423274455
Position 2564: 0.00028671286463465364
Position 327: 0.00018449795010493127
Position 414: 0.00014776188586652756
Position 742: 0.00013213770837873832
Position 750: 0.00010801439296509362
Position 786: 8.995333313998623e-05
Position 725: 7.425379015794023e-05
Position 280: 6.353275248570276e-05
Position 990: 6.0093936792848123e-05
Position 652: 4.315337334819733e-05
Position 399: 3.7501843209787515e-05
Position 273: 2.7687277902345444e-05
Position 870: 1.89076331928908e-05
Position 916: 1.407270604399406e-05
Position 995: 1.0921052713668546e-05
Position 583: 7.678632625559412e-06
Position 608: 6.770682536580836e-06
Position 714: 6.167208289325166e-06
Position 401: 6.1229403476871125e-06
Position 747: 2.229059176572019e-06
Position 611: 4.878191786544224e-07
Position 1265: 1.795226617477106e-07
Position 1105: 1.2465272701947788e-07
Position 638: 1.1806471597729866e-07
Position 643: 1.1702379793879086e-07
Position 685: 8.402969649292701e-08
Position 1208: 7.562733219046196e-08
Position 695: 5.072532971423902e-08
Position 690: 2.6948919908855224e-08
Position 745: 1.095992553760813e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4651: 0.6236774447660317
Position 2344: 0.3441687058409926
Position 611: 0.31452285191880663
Position 14051: 0.1604680366186525
Position 9712: 0.14693620448295447
Position 6291: 0.13357789474517545
Position 1065: 0.11630200759251008
Position 8985: 0.11385280927280887
Position 3259: 0.10889945652146989
Position 6606: 0.10436251304457404
Position 5671: 0.10061221335202637
Position 1009: 0.10040198948869873
Position 9421: 0.09399473787808643
Position 5722: 0.09334863787552279
Position 906: 0.07271210036754938
Position 12639: 0.02863035928735222
Position 4240: 0.02706479827471987
Position 3630: 0.025169980082594974
Position 2238: 0.024502320052302066
Position 5354: 0.019808878493185
Position 4176: 0.017587072983768357
Position 3812: 0.0170758307206828
Position 936: 0.015733765576352168
