Gene = Cacybp
index = 199
Annotated 5SS: [ 229 4497 6263 6780 7908]
Annotated 3SS: [4279 6165 6679 7809 9151]
SMsplice 5SS: [ 229 6263 6780 7908]
SMsplice 3SS: [6165 6679 7809 9151]
top_k =  500
Partition function (log Z): -4.21395042307782

Sorted 5' Splice Sites (High to Low Probability):
Position 6263: 0.9694774274680382
Position 7908: 0.9453454967176605
Position 6780: 0.7703300820708806
Position 229: 0.6499865870640082
Position 7387: 0.3347108255753316
Position 6441: 0.265493126566627
Position 4497: 0.25988888984407427
Position 9359: 0.178419332014925
Position 377: 0.12267052871419992
Position 8176: 0.10713773590105949
Position 787: 0.10080011236883345
Position 7309: 0.08865586524044575
Position 412: 0.05480827702403118
Position 96: 0.046914165674834606
Position 130: 0.034289233490542984
Position 9400: 0.03065623563198203
Position 8555: 0.027542639083981257
Position 724: 0.027415220288580733
Position 3963: 0.02654237255429439
Position 7279: 0.02205156699609926
Position 7650: 0.02129560449317199
Position 419: 0.0207129353747692
Position 8689: 0.01580720149039777
Position 3222: 0.01435533027637753
Position 5244: 0.014103601099943136
Position 3390: 0.012947536843757476
Position 384: 0.012813434214966696
Position 8452: 0.011946379303214577
Position 3451: 0.010560748405396923
Position 3765: 0.01053323272965115
Position 191: 0.009889474300073805
Position 7518: 0.009111116899122812
Position 6246: 0.00831267394782734
Position 7882: 0.00818521733559154
Position 4488: 0.007998881961243546
Position 165: 0.007967854878645167
Position 3214: 0.007838307529156659
Position 7275: 0.0072728327420362145
Position 783: 0.007194391972391234
Position 9320: 0.00640643715102231
Position 9260: 0.006193852370491258
Position 4106: 0.0051407356762376965
Position 6914: 0.00467361424392278
Position 7426: 0.004452331672920237
Position 9324: 0.002377249315888907
Position 6436: 0.0023415937615853728
Position 235: 0.0017170244749792633
Position 8963: 0.0016150470706773699
Position 9396: 0.0013561345139978544
Position 6577: 0.0013295112748432103
Position 9005: 0.0012366860736201938
Position 3161: 0.0008492787348462771
Position 916: 0.0007377591797386785
Position 7363: 0.0006912430269305996
Position 7741: 0.0003566012841689229
Position 49: 0.000331357154189633
Position 6696: 0.00027416905967039785
Position 8170: 0.00015391500870385303
Position 7328: 0.0001382253086029429
Position 571: 0.0001322920351371564
Position 592: 0.00012874255336404767
Position 6225: 0.00012046079463532745
Position 141: 0.0001113338111510488
Position 460: 9.769420123782937e-05
Position 134: 9.505746557709747e-05
Position 8048: 8.15246032549913e-05
Position 3066: 7.719360972594301e-05
Position 3422: 6.541217739409246e-05
Position 3408: 6.26146705375539e-05
Position 86: 5.4204309325680086e-05
Position 8541: 4.6748801179960876e-05
Position 565: 4.5003004898940814e-05
Position 8201: 4.135605957258127e-05
Position 217: 4.0510237205098476e-05
Position 1566: 3.691424436855311e-05
Position 3141: 3.3139581500097e-05
Position 8160: 3.231120781266102e-05
Position 3227: 2.7812909540977206e-05
Position 7912: 2.7763291856264134e-05
Position 355: 2.7046643169884195e-05
Position 65: 2.4806325460272792e-05
Position 33: 1.772043222044725e-05
Position 437: 1.6475322620415704e-05
Position 431: 1.641639238190204e-05
Position 476: 9.965660909549907e-06
Position 155: 9.464878475953637e-06
Position 357: 7.413339563939482e-06
Position 7940: 6.147778919729904e-06
Position 7919: 6.059038360683659e-06
Position 60: 6.048562477803012e-06
