Gene = Endod1
index = 379
Annotated 5SS: [572]
Annotated 3SS: [23354]
SMsplice 5SS: [ 572 7335]
SMsplice 3SS: [ 7192 23354]
top_k =  500
Partition function (log Z): -13.701384400751241

Sorted 5' Splice Sites (High to Low Probability):
Position 572: 0.9944491545009694
Position 7335: 0.9142908553995936
Position 954: 0.22873236186750795
Position 13392: 0.12509576233091355
Position 9139: 0.10599523864928667
Position 1849: 0.09896864476343155
Position 10331: 0.07948834029598142
Position 10832: 0.03154926843484027
Position 1472: 0.021182100340494302
Position 1240: 0.019054492162203694
Position 7348: 0.00732438483119413
Position 428: 0.0031846925320343613
Position 963: 0.001079659936229417
Position 118: 0.0008604418936382906
Position 101: 0.0007990561954309486
Position 6: 0.0005536855283630802
Position 1364: 0.00020826692711746944
Position 750: 0.0001969220880129647
Position 1231: 0.0001838816166846391
Position 874: 0.00017013310425280246
Position 8078: 0.000164799062454603
Position 279: 0.00010934840839976676
Position 1348: 9.186670886670559e-05
Position 661: 7.189383753250426e-05
Position 1412: 5.263058152191856e-05
Position 604: 4.8910794188383485e-05
Position 667: 2.6980429208753187e-05
Position 624: 2.3833057208137492e-05
Position 122: 2.1088173631136563e-05
Position 108: 1.886632777625082e-05
Position 2737: 1.480446079616162e-05
Position 763: 8.070436217716285e-06
Position 168: 7.276912382776432e-06
Position 695: 5.5935870639540965e-06
Position 532: 4.481251227219349e-06
Position 475: 3.0143174534262043e-06
Position 103: 2.872693949688352e-06
Position 1052: 2.8193129673010702e-06
Position 1149: 2.7598783677655548e-06
Position 1097: 2.152097048628865e-06
Position 378: 2.0430794898177447e-06
Position 511: 1.9188877296256247e-06
Position 923: 1.186306431729519e-06
Position 55: 1.1326023921309693e-06
Position 480: 7.199592846285113e-07
Position 971: 1.0409235286920383e-07
Position 325: 6.171114076044611e-08
Position 438: 4.931782195018753e-08
Position 1129: 4.117609088244186e-08
Position 882: 9.551981806430209e-09
Position 797: 3.728843113808885e-09
Position 540: 4.1163733132583325e-10
Position 502: 4.010584861040289e-10
Position 1252: 9.211500749488888e-12
Position 500: 4.5060153798097407e-13

Sorted 3' Splice Sites (High to Low Probability):
