Gene = Eloc
index = 372
Annotated 5SS: [   63  8930 11199]
Annotated 3SS: [ 8876 11054 13405]
SMsplice 5SS: [   23 11199]
SMsplice 3SS: [11054 13405]
top_k =  500
Partition function (log Z): -11.326407077372853

Sorted 5' Splice Sites (High to Low Probability):
Position 11199: 0.8055666994620497
Position 9558: 0.5569476008738218
Position 23: 0.5072454287157634
Position 63: 0.3084475509541963
Position 8930: 0.14583465765817324
Position 10360: 0.09666825474333546
Position 269: 0.06788108815648819
Position 589: 0.058187557305453164
Position 11203: 0.05300279344874907
Position 8945: 0.030141348471604122
Position 2585: 0.022167505691407616
Position 503: 0.020643765360267026
Position 298: 0.02009392208694822
Position 111: 0.01994647023306475
Position 13498: 0.019746110822150397
Position 9286: 0.018054142476381842
Position 2646: 0.017865634713843562
Position 6290: 0.01339091674164913
Position 3533: 0.011780726520907423
Position 2650: 0.009003693569933456
Position 3232: 0.008476362554969832
Position 3287: 0.008468235968011668
Position 8811: 0.007911274094686243
Position 5472: 0.007693760336288993
Position 2533: 0.007612895016510828
Position 3870: 0.007404964792623235
Position 3856: 0.007262962653115403
Position 11929: 0.005677243736407552
Position 80: 0.0018662659740662768
Position 9634: 0.0006394217113298445
Position 44: 0.00032618387344210517
Position 9571: 0.00023097548604868068
Position 392: 0.00022923301796490308
Position 792: 0.00022100710597581206
Position 1222: 0.00016445316556007973
Position 522: 0.00015245316495802512
Position 115: 3.549678991863856e-05
Position 869: 3.109126910313166e-05
Position 1466: 2.521100492716623e-05
Position 1553: 2.266147558267561e-05
Position 194: 2.040334958943538e-05
Position 273: 1.9866961415156558e-05
Position 1880: 1.8561237574632646e-05
Position 2492: 1.850794655826593e-05
Position 69: 1.573725363416237e-05
Position 2758: 1.571184714484938e-05
Position 913: 1.5496052893134265e-05
Position 3236: 1.4568573490958261e-05
Position 2073: 1.4148414079438675e-05
Position 3254: 1.409455790812228e-05
Position 636: 1.3086922664233388e-05
Position 340: 1.991856816981032e-06
Position 345: 1.9793270060697372e-06
Position 32: 1.0368525727147193e-06
Position 2577: 4.769540580942609e-07
Position 376: 4.7310088248608785e-07
Position 67: 2.7952792704327434e-07
Position 27: 1.5664212259784893e-07
Position 239: 5.990747395277038e-08
Position 139: 1.6874263721701125e-08
Position 481: 1.339729621461648e-08
Position 414: 1.1355978128625792e-08
Position 424: 8.454981493845145e-09
Position 164: 3.945942109939036e-10
Position 17: 2.766527479946754e-10
Position 400: 5.878774700385485e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 11054: 0.8644004875152013
Position 13405: 0.8003544032454813
Position 9473: 0.5659007962757643
Position 8718: 0.1318870647235887
Position 10275: 0.10543792674065144
Position 8876: 0.05451591849650757
Position 2388: 0.05332763760153336
Position 14433: 0.04287151225890384
Position 11741: 0.025752598311955373
Position 9830: 0.02018934033095081
Position 8991: 0.019045733764471925
Position 3719: 0.014895778149671303
Position 3485: 0.012531736746100931
Position 6200: 0.012240061079936639
Position 12130: 0.011978259855520245
Position 3171: 0.009879849382367321
Position 13497: 0.009591374970975104
Position 11605: 0.009336549073739299
Position 13676: 0.009300120464927317
Position 3146: 0.009199177895647599
Position 13047: 0.0077858670865032596
Position 13218: 0.007151088023365436
Position 5309: 0.00597413929148989
Position 9991: 0.005758314526121563
Position 11772: 0.005647036609223793
Position 11980: 0.0049987035259436
Position 2491: 0.004963441058208427
Position 13410: 0.004656847264412086
Position 11542: 0.00366981835818846
Position 11877: 0.002423738072877296
Position 13944: 0.0023867440615339686
Position 9633: 0.0020926828023973974
Position 424: 0.002027927512137582
Position 12781: 0.001953900519400486
Position 11952: 0.0019495948535124407
Position 13915: 0.001911431600284218
Position 13744: 0.001801071967634672
Position 3502: 0.001494888238759598
Position 6204: 0.0013262592016062165
Position 460: 0.0012954266232478515
Position 2574: 0.0012734853515576352
Position 5369: 0.001131693148570041
Position 466: 0.0010787882932844525
Position 2851: 0.0007957560174143046
Position 323: 0.0007910785634143257
Position 5312: 0.0007871023589305483
Position 12528: 0.0007414963741993873
Position 8159: 0.0006482659825128727
Position 3499: 0.0006431667075721859
Position 9665: 0.0006122539177321109
Position 11909: 0.0005266571715654009
Position 11824: 0.0005242856006422503
Position 7633: 0.00031427397687349177
Position 212: 0.00025424992048903565
Position 2393: 0.00025043003895763795
Position 1833: 0.00024634311876035696
Position 431: 0.00020585317078507316
Position 2520: 0.00019170115602089056
Position 8475: 0.00015502687374529278
Position 9026: 0.00014426279680328406
Position 2865: 0.00012908194813631286
Position 571: 0.0001235433557001548
Position 4550: 0.0001227439107200738
Position 5130: 0.00011795107416414085
Position 8126: 0.00010389295931216015
Position 4446: 9.936104085514537e-05
Position 1620: 9.647678763131202e-05
Position 4893: 9.53109611661415e-05
Position 4408: 8.856217437798876e-05
Position 7297: 7.900482388893663e-05
Position 4787: 7.744947612510787e-05
Position 2691: 7.516905772851989e-05
Position 1707: 7.244570800075785e-05
Position 4897: 7.079869318801722e-05
Position 106: 6.304483161034279e-05
Position 4004: 6.117446462599867e-05
Position 690: 5.8889783815157505e-05
Position 2934: 5.752823947242274e-05
Position 6748: 5.677471208820031e-05
Position 779: 4.555649189819634e-05
Position 2931: 3.607254318580428e-05
Position 1365: 3.558986799491393e-05
Position 1781: 2.9587981706445393e-05
Position 4941: 2.8388885778648824e-05
Position 2983: 2.7103649023624592e-05
Position 829: 2.483976483231129e-05
Position 4096: 2.065312183542454e-05
Position 1018: 1.746758805730513e-05
Position 1726: 1.7229261575971787e-05
Position 913: 1.7085957832801263e-05
Position 1212: 1.671942019083809e-05
Position 1357: 1.5107765277785157e-05
Position 1255: 1.2665019292361333e-05
Position 661: 1.0284650741102512e-05
Position 1031: 1.0030233293034914e-05
Position 1428: 5.594639691284192e-06
Position 1046: 4.0158384470735e-06
Position 178: 2.412713652431047e-06
Position 139: 1.7167551283599211e-06
Position 1799: 1.1424378770082382e-06
Position 1793: 8.894740904675156e-07
Position 437: 7.218729598327233e-07
Position 259: 6.055507505493481e-07
Position 695: 4.5685601230059824e-07
Position 2003: 4.074741512708925e-07
Position 1842: 3.835919112012347e-07
Position 236: 3.6400199384772286e-07
Position 1277: 2.6483709250360055e-07
Position 620: 2.1555406050273997e-07
Position 737: 1.4979135666628873e-07
Position 444: 1.2626165785813844e-07
Position 481: 1.2454991550192088e-07
Position 109: 1.1226959449063237e-07
