Gene = Mns1
index = 686
Annotated 5SS: [  145   927  6436  7775 10224 10833 11025 14304 18369]
Annotated 3SS: [  704  6307  7671  9993 10615 10916 14045 18242 19777]
SMsplice 5SS: [  145   927  6422  7775  8297  9328 10833 11025 17443 18369]
SMsplice 3SS: [  704  6307  7671  8160  9159 10615 10916 17325 18242 22564]
top_k =  500
Partition function (log Z): 12.476078362491803

Sorted 5' Splice Sites (High to Low Probability):
Position 11025: 0.995833795034818
Position 927: 0.9903342679718251
Position 7775: 0.9816400940240286
Position 18369: 0.980017715296891
Position 145: 0.9734607170875613
Position 9328: 0.8617855449315388
Position 6422: 0.7211079034258844
Position 10833: 0.7182135084795571
Position 17443: 0.6253789429503392
Position 8297: 0.5897030805144011
Position 14304: 0.46438935450061625
Position 10224: 0.4466114942557343
Position 5396: 0.38321175233640276
Position 12635: 0.20391387385166648
Position 3948: 0.14995941434881954
Position 15185: 0.1063280612335305
Position 6436: 0.10473256508821575
Position 20164: 0.07292320456856469
Position 5908: 0.07007944351097124
Position 10708: 0.06605207223099856
Position 4125: 0.05897929220537847
Position 8602: 0.05726145317369227
Position 18054: 0.04648801635557826
Position 3688: 0.041886200980264424
Position 4095: 0.04043934089853532
Position 9422: 0.04027479462671781
Position 20168: 0.03863941010563616
Position 8091: 0.028362189705525984
Position 18996: 0.027670741577405122
Position 6505: 0.02588282874371114
Position 22427: 0.02256936438514367
Position 16562: 0.021953703112380707
Position 9028: 0.021241056062369416
Position 10822: 0.019007372959966545
Position 10815: 0.01761076883161292
Position 17894: 0.016832627432273078
Position 10265: 0.01647010802945563
Position 10222: 0.014960817402009892
Position 5477: 0.011394991724088805
Position 172: 0.011343048444936735
Position 414: 0.010994855768167203
Position 19925: 0.010929198054258335
Position 7762: 0.010799864948049045
Position 5254: 0.010708313055751822
Position 5896: 0.010431307082454471
Position 4931: 0.009654125157325683
Position 6682: 0.009142063487350624
Position 5305: 0.009014713136778924
Position 5741: 0.008680648940285505
Position 10508: 0.008612380843824423
Position 15069: 0.00790471095928682
Position 1479: 0.007833248923147393
Position 525: 0.007823422900504246
Position 5250: 0.007647522883885459
Position 1609: 0.007612276023685607
