Gene = Hrk
index = 547
Annotated 5SS: [381]
Annotated 3SS: [14729]
SMsplice 5SS: [ 381 6272]
SMsplice 3SS: [ 6131 18978]
top_k =  500
Partition function (log Z): -16.034056332257617

Sorted 5' Splice Sites (High to Low Probability):
Position 6272: 0.6434373655657446
Position 381: 0.6359376715972704
Position 128: 0.28492602390157334
Position 3013: 0.2841064218733919
Position 3354: 0.218070922800181
Position 5261: 0.2040308608428901
Position 1512: 0.1689682244092152
Position 2662: 0.1587605913267638
Position 1767: 0.12688836250712948
Position 1722: 0.10796043814061386
Position 4561: 0.10083689596973465
Position 1913: 0.09225030160638134
Position 2657: 0.07262428103538544
Position 13130: 0.06751360512460568
Position 269: 0.04189653036128998
Position 5235: 0.032699339666563076
Position 2941: 0.02905000078060912
Position 1647: 0.02606217282297712
Position 1376: 0.023375972133242363
Position 1342: 0.019267931376695465
Position 310: 0.017978395898730168
Position 7545: 0.01663159612653596
Position 1249: 0.012989163996381172
Position 6255: 0.007523803498669333
Position 1394: 0.00687483777499231
Position 504: 0.005242330752348439
Position 1433: 0.0040756612810946315
Position 3020: 0.0039076328023375535
Position 456: 0.0035665991214795228
Position 9602: 0.0035378854008671777
Position 1447: 0.002846301457231089
Position 186: 0.0016797801165185711
Position 253: 0.0008157283970080882
Position 1733: 0.0007462129184698673
Position 2182: 0.0006284086299111659
Position 1318: 0.0005573511855534515
Position 1566: 0.0005567910942105404
Position 1421: 0.0004660374495920477
Position 1552: 0.0004004182847582161
Position 337: 0.000367489701848714
Position 1684: 0.00027630029986183664
Position 79: 0.00013606831371198059
Position 1278: 0.0001330449365897631
Position 1440: 0.00012264028991643993
Position 481: 0.00011467527278192865
Position 1350: 0.00010222849917322207
Position 6489: 8.010125334785607e-05
Position 1516: 3.146966203056837e-05
Position 1305: 3.088589867297002e-05
Position 1501: 3.0522666068378936e-05
Position 84: 2.9986148648216414e-05
Position 43: 4.908936924613235e-06
Position 37: 4.791310443200023e-06
Position 77: 4.752132582617486e-06
Position 1043: 4.495526107301487e-06
Position 1026: 4.0864523351333215e-06
Position 45: 3.296806472128839e-06
Position 10: 2.8655477024341653e-06
Position 1121: 2.666742185751084e-06
Position 1123: 1.8518926405523421e-06
Position 921: 1.1697800406234256e-06
Position 989: 5.527245262239175e-07
Position 926: 4.957664229251716e-07
Position 915: 4.879198012055309e-07
Position 1074: 4.6614419687994673e-07
Position 1090: 8.05388999538668e-08
Position 987: 6.633533488043271e-08
Position 1291: 5.176032249613449e-08
Position 1041: 3.197019646752267e-08
Position 613: 1.4469333102886902e-08
Position 1444: 5.688524960999009e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6131: 0.7040437529036352
Position 7406: 0.3819892312395105
Position 5143: 0.2516269814897751
Position 3223: 0.22821386252091289
Position 2890: 0.1937138785682716
Position 14729: 0.19245476035127485
Position 1228: 0.1774845942831338
Position 1634: 0.1207210434320182
Position 1609: 0.10550226409206243
Position 2508: 0.09998112644619586
