Gene = Angptl8
index = 118
Annotated 5SS: [ 305  568 1443]
Annotated 3SS: [ 405 1332 1549]
SMsplice 5SS: [ 305  568 1443]
SMsplice 3SS: [ 405 1332 1549]
top_k =  500
Partition function (log Z): -2.3111736551955775

Sorted 5' Splice Sites (High to Low Probability):
Position 1443: 0.9536972555250431
Position 568: 0.9079627321959761
Position 305: 0.591779648783382
Position 335: 0.3556604358653683
Position 1452: 0.010889693698960194
Position 877: 0.008875797719148716
Position 703: 0.005359834614434444
Position 583: 0.005233362426442637
Position 496: 0.00378980731316675
Position 1058: 0.0023330746260101383
Position 354: 0.0018620923276297596
Position 1254: 0.0015507929797124325
Position 1468: 0.0012065033359533967
Position 536: 0.0007204257419623113
Position 53: 0.00047718749383780996
Position 1042: 0.0003457149022110793
Position 1290: 0.00026143760718960556
Position 163: 0.00023581445713572762
Position 770: 0.00021436776412602304
Position 511: 0.00015057926215263884
Position 594: 9.800598049645076e-05
Position 68: 5.653365192676245e-05
Position 84: 5.485943580160455e-05
Position 794: 5.13887047985189e-05
Position 81: 4.826375736373587e-05
Position 248: 4.77245028698517e-05
Position 1604: 4.4628297155220454e-05
Position 815: 3.5939256217708816e-05
Position 324: 3.310223046962793e-05
Position 463: 3.048628838008007e-05
Position 1151: 2.5942497972587665e-05
Position 406: 2.2337864686968816e-05
Position 1480: 1.951432083339486e-05
Position 1026: 1.9215341964827262e-05
Position 1045: 1.7785265472124274e-05
Position 1114: 1.590294885339231e-05
Position 322: 1.4296414956137409e-05
Position 292: 1.4010155254102634e-05
Position 1419: 1.196639269729202e-05
Position 328: 6.395337179092851e-06
Position 14: 6.0672123881810115e-06
Position 341: 5.10407680033181e-06
Position 34: 3.04606185336508e-06
Position 1489: 2.746224194089007e-06
Position 1607: 2.059435296136894e-06
Position 161: 2.709060322159648e-07
Position 1313: 4.0646053168438775e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1332: 0.95937056971178
Position 1549: 0.8502398205800308
Position 405: 0.6737382031539981
Position 433: 0.10930994162146579
Position 1710: 0.051181868415514004
Position 480: 0.039396329481474104
Position 445: 0.025791613442524706
Position 1560: 0.02084886432641866
Position 1386: 0.018285220757146534
Position 1563: 0.010241778852852356
Position 1604: 0.01008957565588047
Position 1650: 0.009144342131082001
Position 670: 0.007825780958242103
Position 1676: 0.007213468217256611
Position 439: 0.006795861838514247
Position 1638: 0.0042101369328284505
Position 477: 0.0041892925909772175
Position 1712: 0.003217470263980418
Position 1312: 0.0031619504051153364
Position 959: 0.0028226790084943916
Position 1572: 0.0027986766963296107
Position 1339: 0.002774521005575643
Position 402: 0.0025012192883605852
Position 370: 0.0020758903182868564
Position 463: 0.0020084676755895555
Position 1598: 0.0016926630419501698
Position 412: 0.00162440634296891
Position 1205: 0.001555135540879381
Position 737: 0.0014820175425725097
Position 414: 0.0013542586395868714
Position 368: 0.0013469508228922404
Position 1260: 0.00121385824506649
Position 1097: 0.0011991255807021956
Position 1616: 0.0011288036143877534
Position 1659: 0.001112014952643425
Position 1578: 0.0010848124320667846
Position 640: 0.0008811917593621321
Position 1514: 0.0008697806839101393
Position 1350: 0.0008019372502488034
Position 652: 0.0007831777910049558
Position 1188: 0.0006593219223349128
Position 1272: 0.0004517301171579455
Position 139: 0.0004324409709184933
Position 1307: 0.0004138861241017101
Position 642: 0.00033221663563762904
Position 676: 0.0002763666934331314
Position 707: 0.00023607460205515211
Position 745: 0.00023487585201943577
Position 1392: 0.00022449865409468367
Position 1690: 0.00018595222474060676
Position 1627: 0.00016545187953693251
Position 690: 0.00014820541909569808
Position 1717: 0.00014676324048037206
Position 1395: 0.0001375038833699626
Position 168: 0.00012461650489975466
Position 503: 0.00011220365576096367
Position 1128: 9.730099990258839e-05
Position 1171: 9.306413555493413e-05
Position 611: 9.129405524691358e-05
Position 757: 8.245059503161554e-05
Position 1298: 7.641239881813833e-05
Position 245: 7.099745852648348e-05
Position 1108: 7.009378801221231e-05
Position 511: 6.278023719628225e-05
Position 944: 5.899542078331679e-05
Position 617: 5.090826011717144e-05
Position 794: 4.887374428763997e-05
Position 798: 4.699271545894157e-05
Position 1347: 4.63955768414819e-05
