Gene = Lins1
index = 636
Annotated 5SS: [  130  6413 18660 18850 19542 20853 22151]
Annotated 3SS: [ 6281 18145 18744 19399 20264 21978 23906]
SMsplice 5SS: [  130  6413 18567 18835 19542 22151]
SMsplice 3SS: [ 6281 18479 18744 19399 22046 23906]
top_k =  500
Partition function (log Z): -8.05845766166772

Sorted 5' Splice Sites (High to Low Probability):
Position 6413: 0.9998001043682485
Position 130: 0.9947988207522106
Position 19542: 0.8896033916860245
Position 18835: 0.7644544280416539
Position 22151: 0.532996498598712
Position 16398: 0.4193412094771429
Position 18567: 0.31430916152196586
Position 12771: 0.2652297549925278
Position 15961: 0.25225381374213107
Position 18850: 0.183043840621945
Position 2964: 0.1289025510921827
Position 5996: 0.0995387696746629
Position 6000: 0.08052053871812517
Position 2211: 0.07306708448691517
Position 3157: 0.05669520003434663
Position 3966: 0.043534394523895556
Position 9588: 0.028495433016761898
Position 3107: 0.02604590508642152
Position 6154: 0.025048336625236325
Position 23843: 0.023002977787984435
Position 22313: 0.020235897316497765
Position 1346: 0.016522123160661307
Position 23288: 0.014988347708845544
Position 15702: 0.014078670271731219
Position 15920: 0.01212298567449758
Position 172: 0.003751671868123684
Position 2313: 0.0008460540242706224
Position 308: 0.0008286580437094656
Position 1505: 0.0004899959488757894
Position 19602: 0.0004088771244118012
Position 2481: 0.0003747896451988743
Position 2646: 0.0003676753884717601
Position 146: 0.0003005298384748388
Position 1022: 0.00024176775737067325
Position 252: 0.00010616644079972177
Position 1710: 8.103752993147016e-05
Position 9720: 5.362812864090654e-05
Position 11630: 4.512348578964534e-05
Position 1339: 4.4408399942986585e-05
Position 1112: 4.362314022938213e-05
Position 3153: 4.211588078661255e-05
Position 2636: 3.981847413662356e-05
Position 2608: 3.550820728412702e-05
Position 1831: 1.6115393145369067e-05
Position 2168: 1.5496674923684017e-05
Position 6350: 1.254630968256794e-05
Position 3325: 1.1689755241060923e-05
Position 1086: 1.1651875997896623e-05
Position 1293: 1.0582803163430296e-05
Position 2664: 1.0574643371275157e-05
Position 1203: 1.0173314075859933e-05
Position 2250: 9.695528330973603e-06
Position 6560: 9.48832336471767e-06
Position 2477: 9.414714187840686e-06
Position 290: 6.9084956167921945e-06
Position 2941: 6.251626437807474e-06
Position 52: 4.011837218958952e-06
Position 282: 3.7044354555993042e-06
