Gene = LTO1
index = 614
Annotated 5SS: [ 230 1434 2581]
Annotated 3SS: [ 1327  2509 13824]
SMsplice 5SS: [ 230 1434 2581 4242]
SMsplice 3SS: [ 1327  2509  4126 14993]
top_k =  500
Partition function (log Z): -8.403969327333858

Sorted 5' Splice Sites (High to Low Probability):
Position 4242: 0.9540498957073101
Position 1434: 0.9382238229183844
Position 230: 0.9213233633438138
Position 2581: 0.8453203092977077
Position 6605: 0.23554901034588727
Position 4770: 0.17163176121306806
Position 5222: 0.12630928080239776
Position 5229: 0.10468811932340284
Position 4546: 0.07513464908858979
Position 2287: 0.0627866111969918
Position 6154: 0.031074615472641603
Position 352: 0.02746812033687215
Position 4784: 0.02414532233907519
Position 443: 0.02201736765381275
Position 2832: 0.017144935189897455
Position 1957: 0.016126501515604758
Position 2064: 0.010083908812153689
Position 3814: 0.00991749869258003
Position 5736: 0.006916118514779049
Position 1397: 0.005934431201538095
Position 497: 0.005357046848367956
Position 2019: 0.004574974691395603
Position 735: 0.00408714602189406
Position 1407: 0.003891528721348275
Position 3395: 0.0038135153663402437
Position 3347: 0.0036690692817026743
Position 476: 0.0032997638708249432
Position 485: 0.002988642706554802
Position 2411: 0.002244149157298723
Position 1438: 0.0018146308000672508
Position 1984: 0.0017562353162258702
Position 213: 0.0017405000347872372
Position 1749: 0.0017387504926792308
Position 4298: 0.001542497145861721
Position 4620: 0.0015166949014449585
Position 779: 0.0014010722086604688
Position 2797: 0.0013986950677095692
Position 362: 0.0013089391380038812
Position 210: 0.0011843610495392964
Position 3310: 0.001113702719320777
Position 2944: 0.0009351607259508595
Position 2128: 0.0007219956547230716
Position 1131: 0.000707231948077858
Position 434: 0.0006205969343924255
Position 2275: 0.000613503594080735
Position 2010: 0.0005591359027411391
Position 2324: 0.00048069594147804104
Position 1920: 0.00046662560011657105
Position 2315: 0.0004040118584863471
Position 4232: 0.00038971404174763014
Position 2160: 0.0003126489783660676
Position 797: 0.00030459783872214283
Position 3402: 0.00027902466691619426
Position 480: 0.0002782524530925718
Position 1168: 0.0002487216957713402
Position 1700: 0.0002462603807693423
Position 514: 0.00019451542186026734
Position 737: 0.0001717414830152613
Position 109: 0.00016945793810541003
Position 97: 0.0001235367647210747
Position 839: 0.00010831975053050468
Position 751: 0.00010802343857921259
Position 2291: 0.00010760061817321619
Position 638: 0.00010039895652756078
Position 5331: 8.518207159906882e-05
Position 894: 8.167458668110481e-05
Position 277: 8.125585780265742e-05
Position 921: 7.439900912618298e-05
Position 4403: 7.259012546400034e-05
Position 4934: 7.098304313666998e-05
Position 101: 7.098297559843048e-05
Position 4612: 5.673401979581126e-05
Position 4270: 5.632250989644692e-05
Position 118: 5.5570642160136384e-05
Position 4599: 5.424943634715311e-05
Position 378: 4.649819366736628e-05
Position 407: 4.302438153511542e-05
Position 4481: 3.699212693765177e-05
Position 326: 3.5776924950648026e-05
Position 186: 3.499750545698843e-05
Position 875: 2.6064598212385223e-05
Position 2153: 2.2492707358571098e-05
Position 1427: 1.9212947721409378e-05
Position 1292: 1.7329651363492077e-05
Position 5135: 1.5960116372659223e-05
Position 1975: 1.2968099049744818e-05
Position 1811: 1.2187600535844244e-05
Position 2454: 9.154196392115587e-06
Position 2459: 6.504618085208952e-06
Position 4137: 5.135284317942021e-06
Position 1457: 2.2334787507790358e-06
Position 2450: 5.780110290877666e-07
Position 528: 3.035948268497131e-07
Position 1207: 1.2794514054421253e-07
Position 850: 1.2637282701551068e-07
Position 1792: 9.596179968224717e-08
Position 1761: 6.59851839517841e-08
Position 69: 6.171747302943212e-08
Position 1536: 4.349415736727179e-08
Position 71: 2.055385962983624e-08
Position 630: 1.3624490894513028e-08
Position 32: 4.810573485515693e-09
Position 523: 1.528137199622169e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1327: 0.9055321036257885
Position 2509: 0.585491194597318
Position 4126: 0.36904552156021914
Position 4166: 0.31698984342239056
Position 5112: 0.22084786870295453
Position 4123: 0.21305571495218661
Position 2382: 0.18354420134011984
Position 6536: 0.17948797256219245
Position 10852: 0.16858435834363605
Position 4698: 0.14991061395298863
Position 6243: 0.12367901946301423
Position 9479: 0.10360800355546068
Position 4509: 0.09161751181358685
Position 4391: 0.09013579663954883
Position 7410: 0.08254711426730563
Position 6986: 0.08187940202426588
Position 9102: 0.06861570600465898
Position 5017: 0.06797991911143474
Position 2245: 0.06475840790169729
Position 7186: 0.05021607289893619
Position 6387: 0.03945208877125754
Position 4064: 0.0330087263152244
Position 2194: 0.0295601027152525
Position 6065: 0.02407447889316444
Position 4533: 0.023566309426988123
Position 2359: 0.022136545487356107
Position 9283: 0.022129902008251164
Position 6557: 0.021736004254667672
Position 1880: 0.02110600129251865
Position 5221: 0.020736590480212987
Position 1247: 0.019665249205482266
Position 4102: 0.018118154106744097
Position 5904: 0.015357440756726891
Position 4731: 0.013848641248426144
Position 5473: 0.01200916815379742
Position 9280: 0.011767673585385503
Position 2127: 0.01174555073706501
Position 6347: 0.010774507369275014
Position 1349: 0.010326839426183763
Position 1893: 0.009939974997816629
Position 3207: 0.00958224519736432
Position 4130: 0.00944189248795885
Position 2682: 0.007655156881160629
Position 8019: 0.007128062583356304
Position 4925: 0.006820996870169934
Position 3711: 0.006708236509682293
Position 6032: 0.00602833958015419
Position 7838: 0.0056310346935339595
Position 6667: 0.004638437827963705
Position 2616: 0.004601393189486307
Position 5506: 0.0038599395116380264
Position 6752: 0.0037762688203822
Position 5154: 0.0030787252015857013
Position 1230: 0.003074626432920734
Position 3573: 0.0029945165398269392
Position 4669: 0.0029754849957901327
Position 9509: 0.0029742200864927453
Position 9150: 0.0028896354207300534
Position 1840: 0.002787825444147119
Position 2545: 0.0027320315646336664
Position 1667: 0.002670482984187634
Position 2450: 0.0026579873506849864
Position 2440: 0.002273886490420515
Position 2763: 0.0022295931973953034
Position 8552: 0.0020879801439423772
Position 8447: 0.002055556763553841
Position 5926: 0.001973217223889044
Position 2198: 0.0018077773564237787
Position 2559: 0.001781363493519193
Position 6403: 0.0016912634333230002
Position 4352: 0.0014700016163484257
Position 4453: 0.001327879343384502
Position 4005: 0.0013197591178277204
Position 4070: 0.001282185156145792
Position 2712: 0.0012412712568468723
Position 6266: 0.0011895884170725777
Position 2699: 0.0011840711123088246
Position 1261: 0.0011652869603367962
Position 1914: 0.001079533015763055
Position 2010: 0.001032610635206046
Position 1389: 0.0010215669981573196
Position 1560: 0.0009858331587990243
Position 4663: 0.0009595889960946559
Position 5625: 0.0009495349086129458
Position 6035: 0.0009437887891665585
Position 7272: 0.00091929691805477
Position 2426: 0.0008455935428161759
Position 6004: 0.0007946377447952645
Position 4136: 0.0007725530675014772
Position 1223: 0.000758003144251399
Position 6153: 0.0007568661066486855
Position 2149: 0.0007072403078993172
Position 5442: 0.0006699431840458149
Position 2785: 0.0006618726813568405
Position 1692: 0.0005791478975060321
Position 386: 0.0005727031807036503
Position 591: 0.0005394120938790122
Position 607: 0.0005283013747569821
Position 2389: 0.0005149512363141672
Position 5294: 0.0005087063912607395
Position 4579: 0.0004804713514757447
Position 6071: 0.0004573567077849832
Position 2319: 0.00040322113129940174
Position 2650: 0.0003953195610374576
Position 1281: 0.0003920086008197752
Position 4314: 0.000372948544428851
Position 2725: 0.0003717190459590998
Position 1788: 0.0003344884254448047
Position 2831: 0.0003266501090550005
Position 4687: 0.00030827170583260476
Position 3625: 0.0003052007570379979
Position 4537: 0.00030268322854970156
Position 973: 0.00029277473232827586
Position 461: 0.00028215815169386837
Position 4588: 0.0002809412103804809
Position 3141: 0.0002773434195025212
Position 2796: 0.000277153553369602
Position 2256: 0.0002457252731203503
Position 732: 0.0002080442431236037
Position 4002: 0.00019910131382046013
Position 5119: 0.00018545522577952459
Position 1503: 0.00017669403090317588
Position 1285: 0.00017312763636411548
Position 3954: 0.00017029237454567798
Position 3267: 0.00016897835091517292
Position 310: 0.00013771137711557937
Position 3223: 0.0001301974357256866
Position 414: 0.0001205193027770022
Position 3761: 0.00011751633342246201
Position 1956: 0.0001077388362167068
Position 1075: 0.00010279214920699453
Position 1035: 9.994772608149373e-05
Position 2627: 8.750026839976941e-05
Position 537: 7.5789200464568e-05
Position 1394: 7.2166884380286e-05
Position 407: 6.602119743512516e-05
Position 3716: 6.251622695516191e-05
Position 1624: 6.128406680791603e-05
Position 1291: 5.887564258562695e-05
Position 1340: 5.5345150028784e-05
Position 2063: 5.424388864906147e-05
Position 630: 5.342431952006437e-05
Position 674: 5.237887025080588e-05
Position 1353: 5.144443633234254e-05
Position 4459: 4.984160410735016e-05
Position 508: 4.5413098824900425e-05
Position 5042: 4.333183856693028e-05
Position 1117: 3.979406722177703e-05
Position 4768: 3.784859428597174e-05
Position 2017: 3.642513459568219e-05
Position 616: 3.3498456493191985e-05
Position 1131: 3.3306658155251337e-05
Position 4545: 3.328079151453044e-05
Position 1966: 3.086447482234361e-05
Position 519: 2.802981872499e-05
Position 650: 2.3387725942687377e-05
Position 1014: 1.9970458594085216e-05
Position 2888: 1.9225455256489245e-05
Position 2156: 1.3706843714704153e-05
Position 3857: 1.2849213597857253e-05
Position 2153: 1.2227743134310282e-05
Position 1049: 1.0452408315657152e-05
Position 5032: 1.0404071702930962e-05
Position 442: 9.748280446408865e-06
Position 4358: 8.304898172337576e-06
Position 1021: 8.196216172398864e-06
Position 4421: 7.76636154571728e-06
Position 1365: 6.889072757883775e-06
Position 1112: 6.8316164204372035e-06
Position 842: 4.88993972688017e-06
Position 1808: 4.117252671599381e-06
Position 3601: 3.30866530505824e-06
Position 1639: 3.2760031721307867e-06
Position 947: 2.8860014977287717e-06
Position 1362: 2.4617758275688978e-06
Position 194: 2.363114032101818e-06
Position 768: 2.218160299791903e-06
Position 936: 1.8676376430433948e-06
Position 734: 1.5845132797358e-06
Position 800: 9.897601271141389e-07
Position 2093: 8.953609868261016e-07
Position 1179: 8.756198790266885e-07
Position 266: 7.756710753742844e-07
Position 4555: 4.94122088639007e-07
Position 1168: 2.3383511588809948e-07
Position 1186: 2.219628560661991e-07
Position 1083: 1.8569642190688248e-07
Position 1792: 5.4890116912061335e-08
Position 1849: 5.1939014842310756e-08
Position 988: 4.824863018605545e-08
Position 993: 3.8179296121970464e-08
Position 684: 3.013323771031236e-08
Position 523: 1.5578259610602582e-08
Position 636: 1.2722726780319949e-08
Position 1421: 7.0931670273420164e-09
