Gene = Aagab
index = 90
Annotated 5SS: [  112 14217 14425 14938 16572 32728 33824 36485 36983]
Annotated 3SS: [14025 14327 14847 16487 32644 33723 36379 36932 37546]
SMsplice 5SS: [  112  8737 14217 14425 14938 16572 31448 32728 33824 35281 36485 37639
 38092]
SMsplice 3SS: [ 8649 14025 14327 14847 16487 31353 32644 33613 35111 36379 37546 38023
 40023]
top_k =  500
Partition function (log Z): 9.329709374684947

Sorted 5' Splice Sites (High to Low Probability):
Position 24641: 0.9999982705772881
Position 31448: 0.9999982705772863
Position 14938: 0.9999492944888166
Position 33824: 0.9989842357626719
Position 16572: 0.9982561790748528
Position 112: 0.9906013749132672
Position 36485: 0.9641247421226112
Position 14217: 0.933920498726254
Position 8737: 0.7845491724310696
Position 38092: 0.708250781607474
Position 14425: 0.5874361087366523
Position 37639: 0.51944506120627
Position 35281: 0.4322059586098455
Position 24207: 0.376712639747103
Position 40250: 0.3755830034189442
Position 3791: 0.360549011435165
Position 15744: 0.35696941956052863
Position 14693: 0.3381796944276994
Position 35081: 0.31494469965632454
Position 36999: 0.24395432736145367
Position 19929: 0.19522784243790475
Position 39440: 0.1691753899423277
Position 19634: 0.1490376521348847
Position 21728: 0.11426801108746865
Position 36983: 0.11042800339110047
Position 15373: 0.10740069352031605
Position 37366: 0.08883092144170798
Position 40137: 0.08719414239919429
Position 3715: 0.08637926310442862
Position 21252: 0.0847427091942369
Position 10021: 0.08310632383163363
Position 18432: 0.07485700966475613
Position 40224: 0.07079671016454675
Position 20490: 0.06878383064016294
Position 37877: 0.06770209200903837
Position 15683: 0.06271515530522101
Position 36826: 0.05749307963685694
Position 38234: 0.049518224149541296
Position 14388: 0.044654514720999385
Position 37676: 0.04066169304882733
Position 40101: 0.03590733919118379
Position 14177: 0.03546606337942858
Position 37012: 0.03216511581784211
Position 40686: 0.03020349073040549
Position 38126: 0.029540834084703645
Position 14132: 0.020225312752191898
Position 38178: 0.01914305476174202
Position 362: 0.01850615338335304
Position 16412: 0.01777035608104353
Position 2587: 0.01555397101404732
Position 38102: 0.014457562862512246
Position 3014: 0.010041379248004785
Position 14400: 0.009831434056434815
Position 38155: 0.00899427392382442
Position 19472: 0.008933981320220923
Position 15395: 0.007046022089503821
Position 19081: 0.006875570817013915
Position 36717: 0.006511444636918133
Position 40735: 0.006336331076365204
Position 650: 0.005201483937502559
Position 38189: 0.0047482932821605395
Position 38257: 0.00417544787166458
Position 14412: 0.003954903829006983
Position 19702: 0.003835950071328518
Position 2679: 0.00311962751231593
Position 1373: 0.0026785391755983663
Position 14454: 0.0024429542153868566
Position 268: 0.0023675595857639803
Position 2619: 0.002290265579666536
Position 16628: 0.0017317711858316988
Position 15785: 0.0017219738185957783
Position 16164: 0.0016932290166706888
Position 1377: 0.0014746080660627756
Position 230: 0.0014227070792412002
Position 19712: 0.001420877983239829
Position 40117: 0.0014180124431897984
Position 17869: 0.001394121890337819
Position 19497: 0.0013634843524129789
Position 16091: 0.0012390644114809906
Position 3251: 0.001141475755154942
