Gene = Pstk
index = 872
Annotated 5SS: [  249  2690  3123 12860 13453]
Annotated 3SS: [ 2394  2923 12783 13358 16476]
SMsplice 5SS: [  296  9068 12860 13453]
SMsplice 3SS: [ 8978 12783 13358 14399]
top_k =  500
Partition function (log Z): -11.746631681633481

Sorted 5' Splice Sites (High to Low Probability):
Position 9068: 0.893103526850656
Position 12860: 0.85107322439177
Position 13453: 0.7816631992937901
Position 296: 0.7293620610705231
Position 3123: 0.20320164284185865
Position 249: 0.2000780475470972
Position 2125: 0.18838459424493845
Position 13724: 0.09085378014892002
Position 6479: 0.08772532761737781
Position 260: 0.028276783929943268
Position 92: 0.012967053360225527
Position 444: 0.01105254426792771
Position 139: 0.005894941197706135
Position 274: 0.00534615479933348
Position 602: 0.005090706736609323
Position 1285: 0.002306239813334484
Position 2274: 0.0013538963990609634
Position 1719: 0.0011355920180356304
Position 5233: 0.0007042730793376876
Position 1274: 0.0006169378226385325
Position 2654: 0.0006040450071589747
Position 304: 0.0003979563144978269
Position 2289: 0.0003240284700992911
Position 893: 0.0003160990546915372
Position 2690: 0.0002986650776390796
Position 5745: 0.0002689118250945441
Position 7625: 0.0002547470240437425
Position 2458: 0.00023554866122210496
Position 1410: 0.0002194939859737985
Position 409: 0.000219437731402478
Position 510: 0.00019264753840974566
Position 2987: 0.00010230305292685956
Position 1959: 9.896907799338465e-05
Position 1723: 8.993282834441858e-05
Position 1281: 6.91148704416802e-05
Position 1904: 4.786120020966833e-05
Position 2763: 4.777226415209473e-05
Position 2537: 4.719810384646982e-05
Position 2165: 3.0331615542028323e-05
Position 2181: 1.9566090446458762e-05
Position 1672: 1.3870328875707684e-05
Position 1899: 1.1121054915571133e-05
Position 426: 3.8003632550286084e-06
Position 204: 2.5057126586009504e-06
Position 328: 2.5012291438409417e-06
Position 172: 2.1145236676222497e-06
Position 186: 1.1563816223964962e-06
Position 180: 6.914513210818683e-07
Position 914: 6.040659176355571e-07
Position 9: 5.366026635476739e-07
Position 1084: 3.6342037897143784e-07
Position 355: 2.8245545169782965e-07
Position 964: 1.7743592503528596e-07
Position 1419: 1.5716509249724384e-07
Position 870: 1.5648920972099252e-07
Position 125: 1.5615696950715468e-07
Position 1266: 8.677679028558077e-08
Position 2246: 7.976867507476024e-08
Position 2157: 4.654739606410285e-08
Position 308: 2.546317464441932e-08
Position 96: 2.2544135437603856e-08
Position 1769: 2.0017061850825623e-08
Position 844: 1.0712644259462726e-08
Position 52: 3.5543025729654695e-09
Position 420: 2.9123009552291474e-09
Position 1991: 2.4911736720602726e-09
Position 1006: 2.443576938150703e-09
Position 385: 2.4055781435217155e-09
Position 320: 1.060716518168221e-09
Position 448: 6.907670010537734e-10
Position 785: 3.390228087790262e-11
Position 706: 2.3523919729261166e-11
Position 867: 2.1293917592431182e-11
Position 855: 1.2216800829843638e-12
Position 643: 1.1930797763339694e-12
Position 595: 1.0331990103321247e-12
Position 808: 1.0223671199473477e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 8978: 0.8745449498871549
Position 12783: 0.8562196522013392
Position 13358: 0.787093778199528
Position 14399: 0.5155154928108266
Position 16476: 0.2380750209131745
Position 2923: 0.12139686764302075
Position 2065: 0.11643630053287606
Position 13594: 0.08502038644546969
Position 2953: 0.07939857522768239
Position 6345: 0.06782126947826288
Position 15510: 0.047547427190842595
Position 2090: 0.046400360867379746
Position 13657: 0.035131647520039215
Position 9012: 0.0233157039802129
Position 2394: 0.018559368699397633
Position 1891: 0.017029082020958992
Position 14546: 0.01478649029878652
Position 8558: 0.013921089325630236
Position 6231: 0.013004879948086884
Position 14502: 0.011448883038102639
Position 14085: 0.010332504196983814
Position 6251: 0.00890276337518097
Position 1995: 0.00810410934574494
Position 9425: 0.007330471118685695
Position 15071: 0.0064858494955722466
Position 14812: 0.005426712078928792
Position 5420: 0.005011065094950817
Position 3212: 0.004683272720867198
Position 7113: 0.004357280048079066
Position 2943: 0.004281283361030951
Position 2495: 0.0039015714797462062
Position 9320: 0.0037728447294463094
Position 12355: 0.003746806779440454
Position 2000: 0.0035701515609261126
Position 12321: 0.003287296942160205
Position 8606: 0.0032021788394661493
Position 9899: 0.002780098908570259
Position 6598: 0.0027396855520228783
Position 3997: 0.0022045475035642375
Position 1540: 0.002106835710885647
Position 6115: 0.0019053653833109307
Position 5399: 0.0015784272858514838
Position 5933: 0.0015583516560906097
Position 8524: 0.001409637558063409
Position 9767: 0.0013499490382108742
Position 4920: 0.0012941791134384122
Position 7507: 0.001157310578291753
Position 6628: 0.0011464004806100766
Position 1222: 0.001132222896138636
Position 3160: 0.0010889545445704504
Position 9530: 0.001062118971857136
Position 2563: 0.0010271802759711434
Position 959: 0.0009110868884418444
Position 4351: 0.0006809016732496804
Position 5469: 0.000589009299613719
Position 3673: 0.0005605511946383583
Position 5595: 0.0005206933313656573
Position 5203: 0.0004939768234686647
Position 2632: 0.0004671407443148229
Position 1604: 0.0003722672665936645
Position 5349: 0.00030593188173373036
Position 1284: 0.0002775935698351076
Position 3353: 0.00026510484939193293
Position 1225: 0.0002245071025627052
Position 3735: 0.00022093753154781907
Position 7565: 0.00020765245164449297
Position 2612: 0.00019454256159635327
Position 4244: 0.00019321770977659162
Position 7201: 0.00019117705545526625
Position 6924: 0.00018358547973184794
Position 3756: 0.00016424396113210184
Position 1109: 0.00016283957251981768
Position 4152: 0.0001583432684250178
Position 4948: 0.00015775807599677184
Position 1076: 0.00015306711560695774
Position 1492: 0.00013861401062678188
Position 5578: 0.0001295094063911022
Position 1552: 0.00012809950254803385
Position 1399: 0.00012200145130579939
Position 5018: 0.00010540735956981492
Position 5232: 8.860960079886228e-05
Position 473: 8.37947388412784e-05
Position 1184: 8.218910867887483e-05
Position 2932: 8.16208123071738e-05
Position 1250: 7.137137200790247e-05
Position 4859: 6.206317424010542e-05
Position 514: 6.192088449470781e-05
Position 705: 5.898255375270253e-05
Position 1083: 5.7036340825654646e-05
Position 4643: 5.5222242750386986e-05
Position 1136: 5.302546178449541e-05
Position 1823: 4.7381439974927584e-05
Position 4283: 4.1280677914220986e-05
Position 388: 3.828938527865946e-05
Position 807: 3.710155365296481e-05
Position 1692: 3.426486267748837e-05
Position 2268: 3.1703979339492305e-05
Position 3557: 2.9252923750243843e-05
Position 1944: 2.7608851642737652e-05
Position 888: 2.5681199994996777e-05
Position 2654: 2.4466166021007433e-05
Position 1145: 2.041468437331218e-05
Position 4975: 1.9686158670336087e-05
Position 1162: 1.6687930333953414e-05
Position 320: 1.5488254986425452e-05
Position 2098: 1.2385194603182502e-05
Position 657: 8.985753712044638e-06
Position 1783: 8.867679297033583e-06
Position 1786: 8.785858905357927e-06
Position 1117: 6.333592766389814e-06
Position 817: 3.07610866146751e-06
Position 362: 3.0264933965324126e-06
Position 1742: 2.881083208010725e-06
Position 1903: 2.800475900098193e-06
Position 1178: 2.773935617262192e-06
Position 963: 2.0666661389229875e-06
Position 478: 1.2418580441261107e-06
Position 1307: 1.0189364982218137e-06
Position 725: 5.171319884303501e-07
Position 535: 4.1464942520924086e-07
Position 167: 2.8024092258342537e-07
Position 837: 2.563928362267572e-07
Position 1288: 9.362721134683198e-08
Position 1167: 8.204333473141504e-08
Position 1036: 5.178373040935834e-08
Position 413: 3.532852068626059e-08
Position 485: 3.1348126484301614e-08
Position 855: 2.2176947305267677e-08
Position 242: 1.494519518491904e-08
Position 281: 1.3681363401816375e-08
Position 777: 8.116979704144307e-09
Position 529: 6.231257247244266e-09
Position 1147: 6.015460983765006e-09
Position 981: 5.926086978628467e-09
Position 1089: 5.650133569154958e-09
Position 770: 4.816849032698896e-09
Position 340: 3.753029287037072e-09
Position 561: 3.6860217501474687e-09
