Gene = Hcst
index = 535
Annotated 5SS: [ 151 1236 1767]
Annotated 3SS: [1211 1634 2007]
SMsplice 5SS: [151]
SMsplice 3SS: [1211]
top_k =  500
Partition function (log Z): -10.159283714782468

Sorted 5' Splice Sites (High to Low Probability):
Position 151: 0.8330625211308192
Position 1236: 0.1932577646846677
Position 488: 0.09351301561610126
Position 1767: 0.0472608529709431
Position 95: 0.04655163486274588
Position 653: 0.018424898852176106
Position 218: 0.017851107414043145
Position 577: 0.01441422523714656
Position 1351: 0.010871023712539432
Position 450: 0.003156913657152736
Position 250: 0.0031005804829908785
Position 222: 0.0021532915113547124
Position 12: 0.0017590926731101794
Position 318: 0.0014429059117518303
Position 385: 0.0013309863211927785
Position 1293: 0.001203769056603955
Position 1520: 0.0010477785225273398
Position 168: 0.000947998982035539
Position 240: 0.0006257725802485005
Position 1383: 0.000591285481765152
Position 21: 0.0003879891706558906
Position 198: 0.0003363648479326135
Position 1528: 0.00028797157857550064
Position 303: 0.0002750531164876564
Position 719: 0.0002659641027574929
Position 1635: 0.00017461687620161343
Position 1264: 0.00017316717886523562
Position 611: 0.00015015455288440793
Position 629: 0.00012172447965896934
Position 520: 0.000120936849381098
Position 160: 0.00010226575111346678
Position 1718: 5.30691917541305e-05
Position 373: 3.5134004925245615e-05
Position 230: 3.4542548993623276e-05
Position 280: 3.15217835312464e-05
Position 74: 2.9564910393054803e-05
Position 949: 2.948854237408148e-05
Position 722: 2.9419446230962724e-05
Position 709: 2.3399955847559764e-05
Position 49: 2.0960294764488696e-05
Position 618: 1.9470944511419477e-05
Position 412: 1.0359737816558887e-05
Position 777: 8.486195419866497e-06
Position 343: 8.189263625353944e-06
Position 522: 7.840180342256563e-06
Position 1012: 7.461815577782667e-06
Position 415: 6.92700543064402e-06
Position 363: 5.895961084667917e-06
Position 425: 4.526700078244814e-06
Position 1422: 4.302308747001399e-06
Position 368: 4.212786850122764e-06
Position 821: 4.156386997153055e-06
Position 131: 4.108429949688651e-06
Position 1407: 3.3685524387411897e-06
Position 501: 3.138956118433747e-06
Position 309: 2.826361843809014e-06
Position 358: 2.770647922301533e-06
Position 816: 2.0694849324225655e-06
Position 803: 1.8856494531810759e-06
Position 931: 1.7969839855716313e-06
Position 544: 1.5265381756065467e-06
Position 1065: 1.456570890358159e-06
Position 398: 1.4336287874151428e-06
Position 766: 1.298140139050095e-06
Position 1297: 5.386395404795486e-07
Position 1221: 1.5127637129308609e-07
Position 437: 2.9158841266311032e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1211: 0.5558009563203902
Position 449: 0.15216615702729025
Position 2007: 0.10947008766069138
Position 1634: 0.10139794597584624
Position 1377: 0.08396794444597508
Position 1535: 0.051007743612536474
Position 517: 0.04581489017137879
Position 1101: 0.04231977397347829
Position 1413: 0.04107519691143612
Position 1338: 0.014921035876548333
Position 1679: 0.013030126977927011
Position 2010: 0.012814816260656104
Position 1305: 0.0075931448132961704
Position 772: 0.007484019563437904
Position 1721: 0.006733785617551329
Position 1104: 0.00447325553753274
Position 846: 0.003896215693338833
Position 1422: 0.003805847622156445
Position 487: 0.003549288627518169
Position 415: 0.003540406846631322
Position 920: 0.003376823176097682
Position 1350: 0.003308569518666213
Position 1145: 0.00269983254991826
Position 1431: 0.002236127194506055
Position 2118: 0.002201044428851425
Position 2123: 0.0021735810758051004
Position 2041: 0.001886952141242543
Position 1841: 0.0012838862836495474
Position 343: 0.0012776363147691844
Position 534: 0.0008013269421856354
Position 1755: 0.0007531635897309355
Position 1383: 0.0007198821581640943
Position 368: 0.0006962840224238212
Position 1273: 0.0006225988816531893
Position 854: 0.0006150726841787858
Position 1042: 0.0005615976297938503
Position 987: 0.0004796007815089259
Position 1977: 0.0004403669827546848
Position 682: 0.0003998187536603571
Position 1945: 0.0003531038302965988
Position 1276: 0.00033419358544019897
Position 705: 0.0003271619022883991
Position 1340: 0.00031298646720035914
Position 1809: 0.0002910100047759929
Position 150: 0.0002899858531653608
Position 1293: 0.00018453602810359073
Position 540: 0.00017757349371160547
Position 938: 0.00015307806782336968
Position 657: 0.0001361411031827834
Position 946: 0.0001161225167794111
Position 240: 0.00011316438263410024
