Gene = Sclt1
index = 952
Annotated 5SS: [   520   8347  11654  12224  15422  24786  31432  33046  39129  60233
  60819  67187  71130  75404  78563  80943  85311  95070 110862 112997]
Annotated 3SS: [  8278  11594  12150  15365  24649  31308  32979  39057  60141  60726
  67008  71030  75331  78487  80796  85117  94872 110782 112900 115279]
SMsplice 5SS: [   296    520   8347  12224  24786  31432  33046  42009  60233  60819
  62300  67187  71130  75404  78638  80636  80943  85311  86184  95070
 100287 109753 110862 112997]
SMsplice 3SS: [   372   8278  12150  24711  31308  32979  41868  60141  60726  62217
  67008  71030  75331  78487  80456  80796  85207  86107  94872 100163
 109552 110782 112900 115279]
top_k =  500
Partition function (log Z): -34.3289837812091

Sorted 5' Splice Sites (High to Low Probability):
Position 15422: 0.9999997572193933
Position 24786: 0.9999994176487419
Position 33046: 0.9872566514183445
Position 12224: 0.9860220024134271
Position 296: 0.9764040770769914
Position 31432: 0.9748941007602507
Position 8347: 0.9587469517019753
Position 520: 0.8601293278896034
Position 42009: 0.8336560483712153
Position 14731: 0.5926393506486706
Position 39129: 0.5233454967472283
Position 5304: 0.4913330326537144
Position 3625: 0.2941004430587529
Position 15035: 0.28233240538679144
Position 43380: 0.2739074724223007
Position 7796: 0.25796346544166027
Position 10542: 0.24425397870894455
Position 37801: 0.23460001418270804
Position 5060: 0.1419200133467882
Position 42932: 0.1190307858939769
Position 9527: 0.08956355484776837
Position 36068: 0.08583485929044687
Position 28355: 0.07146660541470583
Position 42641: 0.06885843938963693
Position 43431: 0.06781963076418064
Position 27575: 0.06297833960207896
Position 25307: 0.06121011721382778
Position 27549: 0.05565828559819769
Position 561: 0.05201573292532511
Position 44487: 0.03379452386808446
Position 36207: 0.03121776724547598
Position 6575: 0.031047969259676365
Position 38302: 0.026479212822399994
Position 33833: 0.025692138909240474
Position 849: 0.023074914951631834
Position 6162: 0.022319167924389063
Position 43332: 0.021045759359585504
Position 43728: 0.01798973552715934
Position 43376: 0.017845884039862956
Position 11654: 0.017447730157694758
Position 1894: 0.01654842457845598
Position 556: 0.016445554897724073
Position 6367: 0.01639885371853423
Position 2032: 0.015683358833511945
Position 8824: 0.011153778799818916
Position 38325: 0.00994626125742998
Position 8555: 0.008619077912002438
