Gene = Psmg3
index = 870
Annotated 5SS: [164 758]
Annotated 3SS: [ 520 2811]
SMsplice 5SS: [164 758]
SMsplice 3SS: [ 607 2811]
top_k =  500
Partition function (log Z): -9.239377678653934

Sorted 5' Splice Sites (High to Low Probability):
Position 164: 0.8623586627544912
Position 758: 0.6819340981321081
Position 77: 0.06750243454553075
Position 669: 0.01577099043136005
Position 2956: 0.014124107754078751
Position 2493: 0.010951413455216897
Position 608: 0.010770953576822659
Position 3006: 0.00991328827720522
Position 1477: 0.008546518334866521
Position 1094: 0.008019131588270183
Position 465: 0.006202545440547751
Position 1104: 0.005002150196785747
Position 594: 0.004492384136816421
Position 314: 0.0035360660043597843
Position 72: 0.0014445454851866068
Position 1947: 0.0008958128771865372
Position 560: 0.0006169278351550379
Position 115: 0.0005769192118216598
Position 303: 0.0004465908159096753
Position 243: 0.0003231606880393029
Position 119: 0.0002191924362452897
Position 215: 0.00012746881905885722
Position 587: 0.00010827851026451533
Position 230: 0.00010690106602751786
Position 203: 9.799609377565727e-05
Position 470: 7.534626223089594e-05
Position 39: 6.689627344106496e-05
Position 103: 6.348777206788134e-05
Position 453: 5.2695257066727174e-05
Position 468: 4.6449727268012294e-05
Position 97: 4.333783093680298e-05
Position 122: 3.129973945672222e-05
Position 150: 2.951466264348807e-05
Position 611: 2.433343898583048e-05
Position 140: 2.414764522977981e-05
Position 418: 1.2631812506452986e-05
Position 311: 7.433786595477764e-06
Position 647: 6.313160859924047e-06
Position 328: 5.663911177424435e-06
Position 767: 5.165667111739066e-06
Position 339: 4.955710225947256e-06
Position 858: 4.952526891817474e-06
Position 1218: 3.787806186355645e-06
Position 909: 1.4114917078174756e-06
Position 928: 8.587821600335452e-07
Position 737: 7.680730165049892e-07
Position 87: 7.662421213776657e-07
Position 698: 6.590691892799244e-07
Position 176: 5.925569667320898e-07
Position 655: 3.487646375724455e-07
Position 641: 3.1069791298291465e-07
Position 441: 3.0844073914743414e-07
Position 389: 5.201801341481286e-08
Position 408: 4.820944410276814e-08
Position 382: 1.9798985621088965e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 607: 0.4095247340700593
Position 2811: 0.3020595371755137
Position 520: 0.16800382762199292
Position 1308: 0.12584177480059155
Position 2835: 0.06474339542809592
Position 1076: 0.06366727554049972
Position 1057: 0.04351608370426959
Position 630: 0.03583843182511763
Position 627: 0.03385633075860249
Position 2315: 0.03064876086061503
Position 805: 0.028975769905783825
Position 1862: 0.027277684721057318
Position 2382: 0.023283985032839797
Position 1278: 0.022828212234573243
