Gene = E130309D02Rik
index = 353
Annotated 5SS: [ 458 1183 3650 7745 8595]
Annotated 3SS: [  960  3483  7219  8554 13356]
SMsplice 5SS: [ 458 1183 3650 7745 9279]
SMsplice 3SS: [ 1067  3483  7665  9204 13356]
top_k =  500
Partition function (log Z): -1.4016493907917278

Sorted 5' Splice Sites (High to Low Probability):
Position 7745: 0.9767490671847562
Position 3650: 0.9687972454369501
Position 1183: 0.9576853585785443
Position 9279: 0.8826704194798485
Position 458: 0.6384042979386978
Position 9586: 0.296696857019714
Position 7377: 0.2645463284519414
Position 4097: 0.24169459097187293
Position 4103: 0.20513467882899866
Position 8499: 0.1913174205978517
Position 11502: 0.18277173701572394
Position 8595: 0.17164282335791775
Position 323: 0.14477071075618522
Position 145: 0.11505334930450321
Position 6155: 0.10547386995107907
Position 5424: 0.091613983809216
Position 5536: 0.043755205167857664
Position 12380: 0.037047315820907235
Position 12665: 0.03512614474007472
Position 1265: 0.026771378659420208
Position 13197: 0.025540489568083233
Position 8518: 0.02025934430004501
Position 7566: 0.01987538639679757
Position 1885: 0.019777773683576052
Position 155: 0.016988880736662156
Position 13527: 0.01638687830619936
Position 2430: 0.01575160161535901
Position 1163: 0.012950640712787237
Position 12027: 0.012769581416588427
Position 8138: 0.011934572616370296
Position 486: 0.011803276629963097
Position 415: 0.011338010822897721
Position 7447: 0.010920339433496405
Position 428: 0.010561879506513387
Position 7988: 0.009786468145471178
Position 7525: 0.009627536480197827
Position 3967: 0.009149787216090905
Position 507: 0.008786102224941288
Position 32: 0.007816246851790434
Position 9768: 0.0072676404982341585
Position 4182: 0.007137223051150731
Position 3401: 0.0066984639393364905
Position 854: 0.0063054692164308855
Position 10507: 0.005888464587773762
Position 3505: 0.005826363613001567
Position 12240: 0.005706077731824117
Position 5084: 0.005621099445039427
Position 1635: 0.005383816887058773
Position 614: 0.005296854507577102
Position 1602: 0.004776596314377406
Position 12327: 0.004266985695073755
Position 8232: 0.004115343391954818
Position 9097: 0.0038520659518188676
Position 947: 0.0035915786844440494
Position 914: 0.003465484511486
Position 896: 0.0033330746127855954
Position 625: 0.0032509017475664216
Position 656: 0.0031926210761359696
Position 5335: 0.0028884314737600393
Position 617: 0.002726045586827359
Position 205: 0.002367883550191955
Position 2338: 0.0023673963378800255
Position 232: 0.0023642175297390712
Position 132: 0.0023219534393643837
Position 4485: 0.002313646702540179
Position 7999: 0.0022073747993320964
