Gene = Nelfa
index = 742
Annotated 5SS: [  388 14568 15922 33043 34669 34826 35223 36001 37132 37402]
Annotated 3SS: [14395 15759 32952 34537 34755 35133 35888 36859 37301 37503]
SMsplice 5SS: [  388  9779 14568 15922 33043 34669 34844 35223 36001 37132 37402]
SMsplice 3SS: [ 9575 14395 15759 32952 34537 34755 35133 35888 36859 37301 37503]
top_k =  500
Partition function (log Z): -16.747271202997403

Sorted 5' Splice Sites (High to Low Probability):
Position 14568: 0.9947983402119098
Position 15922: 0.9259267983200272
Position 388: 0.7644342168936774
Position 9779: 0.6057269660942746
Position 6523: 0.34032102411237125
Position 8115: 0.25533809557060244
Position 16386: 0.22674352435727993
Position 142: 0.21483296469831537
Position 12271: 0.0899992330271135
Position 9815: 0.07098462574528874
Position 3919: 0.058704811351424704
Position 1982: 0.05228231125809412
Position 12329: 0.050804896735129765
Position 23463: 0.049782859085427414
Position 16466: 0.03692899696519446
Position 14918: 0.03648369566464114
Position 4849: 0.03219110533525808
Position 12300: 0.03085419130057072
Position 15626: 0.02566196049443737
Position 12281: 0.025445408470401464
Position 4022: 0.023351640985318393
Position 10173: 0.02136694865295234
Position 9576: 0.020821307126310987
Position 18078: 0.01975652982600283
Position 5331: 0.017850610207784244
Position 130: 0.010128580660875786
Position 5937: 0.009428717358917137
Position 4100: 0.009050595944825051
Position 642: 0.008360204616429254
Position 15049: 0.007889694188011564
Position 14807: 0.006930448819049249
Position 5371: 0.005865536889661889
Position 15237: 0.0025544448886960958
Position 14603: 0.0019361437739812124
Position 15034: 0.0015296929004528703
Position 632: 0.0010187942011217954
Position 15759: 0.0006805932229280619
Position 286: 0.000669348153789788
Position 18474: 0.0006473908548289273
Position 15708: 0.0004462479945575751
Position 14792: 0.000335770537652221
Position 15009: 0.0003333625139136658
Position 16272: 0.0003226482090849027
Position 11539: 0.00027627241653410396
Position 1743: 0.0001574907048610481
Position 15763: 0.00010198401016207306
Position 96: 9.992520154530635e-05
Position 1752: 7.07125046790541e-05
Position 660: 4.148524183361683e-05
Position 136: 3.459870575262747e-05
Position 1449: 3.401346052253762e-05
Position 197: 3.2253636657169114e-05
Position 113: 2.983415903525397e-05
Position 1698: 2.551684715092086e-05
Position 3983: 2.407182624740351e-05
Position 1677: 2.359021165202506e-05
Position 2312: 1.9783518298738553e-05
Position 246: 1.875823588830294e-05
