Gene = Rps15a
index = 929
Annotated 5SS: [  53 1080 1404 6256]
Annotated 3SS: [ 941 1323 6169 6994]
SMsplice 5SS: [  53 1080 1404 6256]
SMsplice 3SS: [ 941 1323 6169 6994]
top_k =  500
Partition function (log Z): 0.43384547873989554

Sorted 5' Splice Sites (High to Low Probability):
Position 1080: 0.9942484622287429
Position 1404: 0.9776524025662975
Position 53: 0.9122151626216977
Position 6256: 0.6436254204184099
Position 2404: 0.1900702431151598
Position 4864: 0.18971543960298476
Position 7091: 0.18114004405060835
Position 717: 0.13316366393959247
Position 3866: 0.08805930626953125
Position 6494: 0.08776353813778355
Position 7131: 0.07254475522448124
Position 761: 0.06443492984744162
Position 4954: 0.05135542284775746
Position 2212: 0.04788994853368533
Position 768: 0.04759367871314292
Position 7325: 0.042398751923529744
Position 449: 0.039401082520589416
Position 1815: 0.03597611502327584
Position 57: 0.035676085082925496
Position 681: 0.02318423123854143
Position 6246: 0.01358380550815989
Position 4380: 0.012314850010413693
Position 6328: 0.010740719393822906
Position 4653: 0.010619929736601563
Position 6425: 0.01045331488101138
Position 6284: 0.008185371943674922
Position 7608: 0.005043003428764451
Position 92: 0.003987100306901273
Position 1019: 0.00387504927502503
Position 338: 0.003827671924772865
Position 8: 0.0022543289286947855
Position 7707: 0.0018209332867989488
Position 524: 0.0018179094336500307
Position 6112: 0.0011527322517583438
Position 2217: 0.0010457635986172186
Position 848: 0.000872433952323239
Position 474: 0.0007934419590307949
Position 499: 0.0006773017191674848
Position 4749: 0.0005607053282731659
Position 831: 0.00054581357887067
Position 136: 0.0005337609762764906
Position 287: 0.0004988097116991647
Position 196: 0.0004682831134911449
Position 2203: 0.0004492882227572208
Position 1064: 0.00043092532866237176
Position 1255: 0.0004208416572950567
Position 834: 0.00039251423509088914
Position 182: 0.00031925074930191986
Position 268: 0.0003107039921866576
Position 314: 0.00027109037163231773
Position 1084: 0.0002642356460270424
Position 1592: 0.0002639029299727784
Position 118: 0.0002579074297443133
Position 5563: 0.0002469268301727091
Position 1134: 0.00023866542598823304
Position 685: 0.00022579128132585498
Position 166: 0.00021919466448978254
Position 1054: 0.00020843597854215768
Position 5922: 0.0002055626207124921
Position 1157: 0.0001945942801980671
Position 259: 0.00019258749288631887
Position 860: 0.00017078129113854156
Position 163: 0.00013916063817601712
Position 469: 0.00013861490919430642
Position 765: 0.00013490153968752613
Position 7191: 0.00013098784292464087
Position 351: 0.000130674104750845
Position 131: 0.00012803310207699256
Position 307: 0.00012772733496276258
Position 1560: 0.00010892822058181567
Position 6474: 0.00010259349764893336
Position 2115: 8.579074522604014e-05
Position 1043: 8.534395526117231e-05
Position 376: 7.727794438351513e-05
Position 1035: 7.420124159365611e-05
Position 63: 6.403609022699868e-05
Position 622: 6.378349765616622e-05
Position 460: 6.0467580762271426e-05
Position 758: 5.066797684254518e-05
Position 820: 4.7328267643324365e-05
Position 1394: 4.598342055459409e-05
Position 1049: 4.548227325728139e-05
Position 1992: 4.530470041966775e-05
Position 1781: 4.366928722902513e-05
Position 329: 4.327649436709997e-05
Position 714: 3.585695012316759e-05
Position 316: 3.3072891931917854e-05
Position 7291: 2.690973561282411e-05
Position 79: 2.6301959106960496e-05
Position 1836: 2.4641452354931057e-05
Position 526: 2.4048816102018874e-05
Position 1673: 2.3972839331102033e-05
Position 810: 2.382862311799524e-05
Position 528: 2.268961224396615e-05
Position 410: 2.100868515530817e-05
Position 712: 2.0881177054221052e-05
Position 532: 1.9326667240262277e-05
Position 530: 1.9147646435412345e-05
Position 463: 1.774612233928889e-05
Position 389: 1.7184673146925188e-05
Position 559: 1.4630032219731248e-05
Position 950: 1.3638638518161574e-05
Position 1090: 1.205628407340444e-05
Position 1099: 1.1484080751113753e-05
Position 89: 1.1091990553281178e-05
Position 1140: 1.0547610452907791e-05
Position 1846: 1.030776088455479e-05
Position 172: 7.575700764622014e-06
Position 780: 7.0960755062250766e-06
Position 540: 7.0256891474220215e-06
Position 668: 6.941609523841496e-06
Position 756: 6.856361970922631e-06
Position 890: 6.830349374709008e-06
Position 116: 5.231908907910535e-06
Position 67: 4.915067365493216e-06
Position 1723: 4.827127145946888e-06
Position 87: 4.625898020400124e-06
Position 12: 4.6228935493192844e-06
Position 289: 4.474119077292089e-06
Position 1109: 4.4260872595392105e-06
Position 77: 4.370912924122358e-06
Position 61: 4.099271285746729e-06
Position 1092: 3.740499904607771e-06
Position 98: 3.7152046026783074e-06
Position 1189: 2.9040758434894796e-06
Position 2091: 2.6901724575824207e-06
Position 1273: 2.001339392841405e-06
Position 1513: 1.5518844872010425e-06
Position 1623: 1.4385715451816402e-06
Position 1267: 1.0162520615421728e-07
Position 1279: 8.044592599616207e-08
Position 1308: 7.930400771991562e-08
Position 567: 2.853270414015913e-08
Position 1333: 9.526126730439334e-09
Position 430: 1.030885549648876e-10
Position 536: 1.0098977363737674e-10
Position 1161: 4.386016078898221e-11
Position 1297: 1.0933216692035698e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 941: 0.9989209605151028
Position 1323: 0.9655741402616971
Position 6994: 0.7944012185448892
Position 6169: 0.652289773064
Position 618: 0.15636069688987292
Position 4706: 0.09822897199098993
Position 4815: 0.09532605587079876
Position 6342: 0.06780127533833756
Position 2301: 0.06572318897079012
Position 8258: 0.06367878968067857
Position 7874: 0.06340570141307184
Position 7154: 0.06312394078950725
Position 668: 0.06062196733411664
Position 9287: 0.05940828494044723
Position 10251: 0.05271434205691303
Position 2037: 0.04874675244437716
Position 7599: 0.04841468612253212
Position 3708: 0.04186857376026022
Position 9131: 0.03795498787445979
Position 6098: 0.03724025805905899
Position 1698: 0.03511527738506083
Position 2153: 0.02960838411096677
Position 4794: 0.028736237919856397
Position 6403: 0.028274213338300755
Position 647: 0.02810586458474434
Position 6493: 0.023528796105991033
Position 2085: 0.01676416683608329
Position 7258: 0.01600053698431712
Position 2304: 0.01582982074568582
Position 2265: 0.015341109172574167
Position 4636: 0.014335340511485401
Position 3744: 0.013147594054369785
Position 2161: 0.012484434842097587
Position 3547: 0.011197469640543465
Position 2248: 0.011149633741863764
Position 229: 0.011117130238657019
Position 3725: 0.011063550321538008
Position 2365: 0.010837303655595324
Position 7157: 0.010457698874269084
Position 7385: 0.010241133468844426
Position 4513: 0.010234662152533842
Position 2283: 0.010127355587590871
Position 4296: 0.008353641103858793
Position 748: 0.008315680079362035
Position 1389: 0.006381816627503735
Position 4733: 0.004995547518591764
Position 6424: 0.004434611706634666
Position 2188: 0.004388809194810744
Position 6595: 0.004150077372404766
Position 9033: 0.004046187162288722
Position 7923: 0.003802500626432439
Position 6360: 0.003626507449396737
Position 6903: 0.0034005090159977664
Position 280: 0.002979399680877656
Position 6827: 0.0028202949162456177
Position 3687: 0.002787896857315146
Position 6761: 0.002690085252284237
Position 3682: 0.0025503516470901334
Position 147: 0.002540207601974772
Position 3806: 0.0024110088871020043
Position 8981: 0.002321841734460959
Position 4543: 0.002296296507268363
Position 4100: 0.0022237688077864997
Position 1278: 0.0020971357292580103
Position 4224: 0.0018888713633827914
Position 3602: 0.0018855623164906082
Position 5790: 0.001796586800915075
Position 4775: 0.0017752296607359652
Position 8114: 0.0016926914701415193
Position 1206: 0.001680616217645895
Position 4737: 0.0012617582150292901
Position 520: 0.0012255444250240783
Position 572: 0.001123115102951244
Position 1360: 0.0009617208230237231
Position 1483: 0.0008875989532108639
Position 1564: 0.000867145679105607
Position 1343: 0.0007934120992208038
Position 628: 0.0007860055165964013
Position 166: 0.0007373792127551906
Position 7201: 0.0007130524648759457
Position 701: 0.0007039088434697791
Position 2314: 0.000679432728507305
Position 3635: 0.0006075209207010947
Position 1219: 0.0005540578324463862
Position 1513: 0.0005524924343767725
Position 2203: 0.0005488542648117822
Position 5921: 0.0005424471776928913
Position 1849: 0.0004232635124427816
Position 1272: 0.0004165487586971326
Position 1623: 0.00038893069929895387
Position 428: 0.00037157745347961556
Position 380: 0.0003625831620250013
Position 3536: 0.0003534628778708618
Position 2715: 0.00035313330305236017
Position 4546: 0.00034547206350840214
Position 3645: 0.00033977959654682573
Position 5740: 0.00029922770825688543
Position 3599: 0.0002707896431727146
Position 3830: 0.000264868107410165
Position 157: 0.00025413793073814073
Position 5446: 0.000246926830172709
Position 336: 0.00022958310891971513
Position 212: 0.00021638277031793736
Position 868: 0.00021032423487251265
Position 2394: 0.00018904875967943794
Position 1151: 0.00018804179589467548
Position 2477: 0.00018034188084050442
Position 1626: 0.00017281222855850315
Position 2949: 0.00014642990866156293
Position 1431: 0.00013631636023864348
Position 982: 0.0001261563118932719
Position 3083: 0.00011387535470365068
Position 1247: 9.70206299169245e-05
Position 3135: 9.32492311713665e-05
Position 2581: 9.133754066076687e-05
Position 3089: 8.969297538842058e-05
Position 199: 8.647253934638192e-05
Position 1937: 8.458701737245515e-05
Position 677: 7.455071984699042e-05
Position 1109: 7.13481335651384e-05
Position 1643: 7.092097841305201e-05
Position 1199: 6.963245302258743e-05
Position 355: 6.598893940137152e-05
Position 1996: 6.266981044877788e-05
Position 1718: 5.3807078664806936e-05
Position 567: 5.1442980078907164e-05
Position 131: 4.99633177333121e-05
Position 2208: 4.761390549020121e-05
Position 1940: 3.646146959389578e-05
Position 2039: 3.194393271478077e-05
Position 4360: 3.176190255838641e-05
Position 376: 3.0656447707717395e-05
Position 1899: 2.825808797491657e-05
Position 1659: 2.4689804620846188e-05
Position 3513: 2.383628849674864e-05
Position 299: 2.3080685591290163e-05
Position 1146: 2.1447764178769674e-05
Position 1757: 2.0212877724959367e-05
Position 2167: 1.968903186638794e-05
Position 2005: 1.8006286070978233e-05
Position 1393: 1.5326043119180476e-05
Position 1579: 1.2738699202646605e-05
Position 1227: 1.1053993418222598e-05
Position 1705: 7.161509352487362e-06
Position 2014: 6.962300121150002e-06
Position 1999: 6.882900735998167e-06
Position 1449: 6.191334933076237e-06
Position 898: 5.830813688166781e-06
Position 984: 4.966019302074086e-06
Position 874: 4.899163393654926e-06
Position 314: 4.884181627611676e-06
Position 2064: 4.837565112655245e-06
Position 1029: 4.781449727949806e-06
Position 1362: 4.681900265868107e-06
Position 1960: 4.676847351147109e-06
Position 777: 3.0701654118911967e-06
Position 1778: 2.9481694141574094e-06
Position 1603: 2.401644144668082e-06
Position 834: 2.3394582177703936e-06
Position 1003: 1.9038314319089094e-06
Position 1007: 1.6144651457435777e-06
Position 1018: 1.5404321113043409e-06
Position 893: 1.3358820081094262e-06
Position 1221: 1.1355434913920639e-06
Position 1871: 1.0389647587617414e-06
Position 796: 9.188248286217001e-07
Position 1075: 8.497336285756031e-07
Position 1043: 7.470673204829546e-07
Position 1722: 5.628020765834135e-07
Position 1130: 3.376278437612211e-07
Position 440: 2.626908252964638e-07
Position 810: 2.591776402902133e-07
Position 351: 2.02960467471349e-07
Position 361: 1.394458766594797e-07
Position 437: 1.1391399867594889e-07
Position 1255: 1.0601501903116359e-07
Position 307: 9.118603812450078e-08
Position 477: 6.226203865267307e-08
Position 474: 5.038823815222634e-08
Position 1495: 3.060167430294025e-08
Position 1370: 1.87693019063476e-08
Position 2391: 1.3867234726440165e-08
