Gene = Acbd6
index = 94
Annotated 5SS: [   738   6600   9560  43415  57851  66837 119113]
Annotated 3SS: [  6534   9462  43331  57744  66746 119081 128826]
SMsplice 5SS: [   372   6600   9560  37978  43415  57851  66837  68941  92289  93024
 118943 128922]
SMsplice 3SS: [  6534   9462  37909  43331  57777  66746  68831  92162  92823 118858
 128826 132584]
top_k =  500
Partition function (log Z): -56.85212412935897

Sorted 5' Splice Sites (High to Low Probability):
Position 9560: 0.9807480850892266
Position 6600: 0.9515955498665343
Position 372: 0.5484301574303085
Position 13068: 0.33096785412534846
Position 738: 0.3130112300285796
Position 2204: 0.29648374389411614
Position 1042: 0.24044728642204857
Position 690: 0.22583405239865936
Position 29: 0.1968397790343882
Position 7027: 0.1886918924097737
Position 185: 0.1665175668028301
Position 2154: 0.1550987236837207
Position 8038: 0.09585858414169979
Position 8782: 0.09500841794075451
Position 10098: 0.062039238809450906
Position 7624: 0.06089421413590969
Position 163: 0.05420342146822913
Position 6630: 0.04441384693389068
Position 10919: 0.03851411927716118
Position 2794: 0.03543677656177673
Position 2652: 0.0340278191965033
Position 14480: 0.027489198465384976
Position 8663: 0.021505205470643315
Position 14316: 0.01963489445284597
Position 11693: 0.01856825508630251
Position 3607: 0.015554037569883127
Position 8540: 0.015476375255009086
Position 14703: 0.012705378915804323
Position 2052: 0.01098436117424496
Position 3590: 0.009696746476722026
Position 11466: 0.009183271780687076
Position 104: 0.0066676463955793784
Position 9670: 0.006651901555430606
Position 4652: 0.005911340922514984
Position 9041: 0.0054451407182462405
Position 1214: 0.00461155870640294
Position 191: 0.0037116372629853868
Position 362: 0.003566174164851554
Position 6805: 0.002584055059235651
Position 3110: 0.0023960830492617026
Position 13693: 0.0023841797861108398
Position 719: 0.0019645371223496397
Position 2646: 0.0017791826986303092
Position 728: 0.001738627237438285
Position 11256: 0.0015757916722512978
Position 454: 0.0014887481305885526
Position 562: 0.001395056427490264
Position 2668: 0.0012873871415486457
Position 357: 0.0012340851000951177
Position 7848: 0.0011874423153646683
Position 7628: 0.0008305035532083862
Position 11011: 0.000772912360139642
Position 1377: 0.0007393946759203322
Position 829: 0.0006129318855702282
Position 7871: 0.0006012472788888998
Position 6670: 0.00027166493875278354
Position 177: 0.0001696983680108716
Position 817: 0.00014166067089249382
Position 592: 0.00010995923324518442
Position 510: 0.000109348682860572
Position 87: 5.7090665938731904e-05
Position 825: 5.638069863971818e-05
Position 10026: 5.626779024396471e-05
Position 80: 5.112314402126542e-05
Position 833: 4.9674331732843966e-05
Position 7101: 4.029748564167624e-05
Position 11918: 2.9685996155304422e-05
Position 33: 2.7551048269047387e-05
Position 235: 1.6080639536345656e-05
Position 41: 7.995872216488281e-06
Position 45: 5.6771643521359944e-06
Position 91: 5.3236316467965286e-06
Position 56: 3.676510943641607e-06
Position 306: 1.9972390161619787e-06
Position 381: 4.903316332738537e-10
Position 419: 1.1618361249698928e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6534: 0.9973820633557359
Position 9462: 0.9821704515305046
Position 14075: 0.4992872943683736
Position 12983: 0.35905008967962837
Position 280: 0.21159266156188875
Position 2079: 0.20194461774756434
Position 2051: 0.16830947873852858
Position 951: 0.16796740659183684
Position 552: 0.15471314341329206
Position 611: 0.12396215766902872
Position 6906: 0.12224560819469574
Position 8606: 0.11705492471460831
Position 15127: 0.08455752782746631
Position 11688: 0.07730643383637487
Position 15400: 0.07492615402974555
Position 10684: 0.06963667911134364
Position 7495: 0.06406757063000997
Position 7931: 0.05911130258437547
Position 1970: 0.05259649239525099
Position 6876: 0.048055612416952026
Position 17983: 0.0426774501135089
Position 2544: 0.040258161690614865
Position 15020: 0.037212170262294855
Position 10004: 0.036931431096953835
Position 9903: 0.033814169516607054
Position 925: 0.02958543944885741
Position 1929: 0.029390756434253356
Position 13251: 0.028517696719027773
Position 3469: 0.02212837810713988
Position 11301: 0.020610286860073906
Position 229: 0.01942497163115916
Position 14366: 0.01853031716600209
Position 7776: 0.01720256263273594
Position 867: 0.016311283395086067
Position 14605: 0.014187455477385294
