Gene = Jhy
index = 602
Annotated 5SS: [   70  3236 19778 41459 47120 53183 65911 66770]
Annotated 3SS: [ 2905 19257 41344 46472 52887 65829 66640 68381]
SMsplice 5SS: [   70  3236 41459 47120 65911 66770]
SMsplice 3SS: [ 2905 41344 46990 65829 66640 68381]
top_k =  500
Partition function (log Z): -36.52351726185324

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.922329736071531
Position 3236: 0.8445927639336799
Position 9702: 0.15690229489832253
Position 1466: 0.09197385982934059
Position 2356: 0.06387143277732167
Position 91: 0.045466193614852095
Position 5814: 0.038435403244223974
Position 3148: 0.02843419218036958
Position 3478: 0.024748661429442702
Position 3466: 0.022533966313538534
Position 1913: 0.017001536757543963
Position 7329: 0.016194630330307443
Position 9674: 0.012629625712989255
Position 13659: 0.012360904831341847
Position 10180: 0.011422033298095345
Position 9726: 0.008967734422999297
Position 6036: 0.0070391795171151055
Position 611: 0.005316299043476614
Position 117: 0.0047291135431516374
Position 6851: 0.004242116999410556
Position 2316: 0.003964142490266841
Position 726: 0.0038088800029310406
Position 134: 0.0032898254712468667
Position 1545: 0.0032160659128629694
Position 60: 0.0028345695938494357
Position 5856: 0.002811135226966805
Position 8726: 0.0023276228887583526
Position 1460: 0.0023275598400262693
Position 1425: 0.002218492164087868
Position 29: 0.0019252464343669463
Position 1100: 0.001659383911800637
Position 7353: 0.0008908388286503791
Position 1028: 0.0007608933344223728
Position 2182: 0.0006565143667048692
Position 537: 0.0005953674775965916
Position 2802: 0.0005735104707686687
Position 631: 0.0005419694352970225
Position 1375: 0.0005035914513065903
Position 1199: 0.00043316168685476913
Position 3278: 0.0004091831574174636
Position 475: 0.00039025849663641384
Position 80: 0.00035207125879107616
Position 2742: 0.0002834105878904425
Position 242: 0.0002077136399892862
Position 1095: 0.00018188919571693446
Position 382: 0.0001791547928139482
Position 2791: 0.00016702397329027376
Position 478: 0.0001666675797139512
Position 858: 0.00010649378814789275
Position 2123: 0.00010001157368817231
Position 164: 8.982845294107063e-05
Position 222: 8.488344717162419e-05
Position 1917: 8.205092921130045e-05
Position 1532: 7.791188480037924e-05
Position 2144: 6.627264329577875e-05
Position 2158: 6.258787402799236e-05
Position 157: 6.8296104530747485e-06
Position 1226: 3.5091617957818248e-06
Position 2310: 1.388850726342578e-06
Position 353: 1.2632166883051302e-07
Position 236: 5.197283419416079e-08
Position 161: 4.623412694190124e-08
Position 529: 4.41292284217015e-08
Position 486: 2.8506972656024635e-08
Position 989: 1.957549081492746e-08
Position 260: 1.938856544812571e-08
Position 635: 1.631772620040597e-09
Position 676: 1.3375400339248407e-09
Position 517: 7.251735199257079e-10
Position 405: 3.8546675914781734e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2905: 0.7949825733427356
Position 9603: 0.2728033172246666
Position 9859: 0.2044154337153293
Position 15948: 0.18343409895591406
Position 13523: 0.0955479689912365
Position 18576: 0.09455991268753566
Position 1374: 0.08812242594151662
Position 10086: 0.05822500958984399
Position 3092: 0.056712418613351925
Position 3361: 0.04035294459673104
Position 5679: 0.037958645597566336
Position 17675: 0.03210670898987969
Position 2226: 0.023392588308263105
Position 2229: 0.023391989099810072
Position 5229: 0.01969093710122623
Position 9016: 0.01944514131156963
Position 9625: 0.019204970132534197
Position 2026: 0.01863998394552631
Position 15434: 0.018247473108322077
Position 3030: 0.016672687519259877
Position 5916: 0.015761353937866335
Position 7163: 0.013581277113468616
Position 9906: 0.010994005002720953
Position 10661: 0.009936751879407043
Position 3104: 0.009692522920061333
Position 8326: 0.00949830744217061
Position 3405: 0.008926618145954267
Position 2941: 0.008555280773089174
Position 15166: 0.008551432221816518
Position 14055: 0.008481229343836773
Position 10315: 0.008121327771523466
Position 10168: 0.006998736318535774
Position 14537: 0.006964131335227212
Position 2933: 0.0062677060437280165
Position 7141: 0.005850053754273153
Position 7240: 0.005486543847951103
Position 2989: 0.005426480131774307
Position 1787: 0.005369414698410263
Position 5444: 0.004919033413274703
Position 5742: 0.004604194928190414
Position 1751: 0.0044485040044310925
Position 6744: 0.00435493126105944
Position 5251: 0.004221208769735519
Position 4848: 0.004160191365094211
Position 8494: 0.0034357978355183554
Position 7651: 0.0034177536163147557
Position 1338: 0.0030916956583623427
Position 5852: 0.0028514332533440575
Position 2310: 0.002685428462408974
Position 3320: 0.0025525836251315986
Position 418: 0.0023404340210817364
Position 2093: 0.0022729082736528783
Position 1058: 0.002211642580566069
Position 1417: 0.0020163802017190246
Position 5566: 0.0020090332602286654
Position 3582: 0.001992579052718054
Position 6650: 0.0019863763639545225
Position 10059: 0.0019374405578275965
Position 3039: 0.0018954805646884164
Position 1864: 0.001866811944037404
Position 2945: 0.0018282036733248516
Position 2681: 0.0018254859393651555
Position 7177: 0.0017018525976222527
Position 7297: 0.0016246493383753051
Position 3277: 0.0014747095623369275
Position 5323: 0.001446685320150032
Position 300: 0.0011871387195864643
Position 2030: 0.0011778682102874807
Position 284: 0.0011719689442807304
Position 9212: 0.0011592813107743837
Position 3560: 0.0010726186759037184
Position 725: 0.001053222848099898
Position 5254: 0.0010519333228926218
Position 1296: 0.0010327166341068882
Position 3006: 0.0009889729402397125
Position 3051: 0.0009569864749222576
Position 5188: 0.00093176897337449
Position 8832: 0.0009017375787577631
Position 1389: 0.0008633499017033845
Position 3567: 0.0007177410092261753
Position 2875: 0.0006807935308019648
Position 8676: 0.0006662900212607619
Position 3906: 0.0006026982916196703
Position 7042: 0.0005724627102594362
Position 1272: 0.0005499037771674528
Position 4120: 0.0005288339100903046
Position 7578: 0.000526079945864039
Position 3520: 0.0005013477359258147
Position 7926: 0.00047093218026827207
Position 4875: 0.00040515044956674956
Position 6323: 0.00040419232369816516
Position 1789: 0.0004008110172722893
Position 6260: 0.0003514905462454179
Position 7387: 0.00034411099040180425
Position 208: 0.0003198400741597887
Position 1446: 0.00030568608504590765
Position 2971: 0.0003035300857670332
Position 3999: 0.0002846308674256692
Position 6217: 0.0002845340853309932
Position 7273: 0.00026328079835616125
Position 7378: 0.00025951467463694534
