Gene = Ppcdc
index = 843
Annotated 5SS: [  46 2699 5213]
Annotated 3SS: [ 2632  5029 41269]
SMsplice 5SS: [   46  2699  5213 19953 25030]
SMsplice 3SS: [ 2632  5029 19823 24860 36605]
top_k =  500
Partition function (log Z): -17.505516084976943

Sorted 5' Splice Sites (High to Low Probability):
Position 5213: 0.936490766162048
Position 2699: 0.9097856970223925
Position 46: 0.6218022007006119
Position 3958: 0.46022275772559035
Position 2118: 0.42167414060946534
Position 5797: 0.3617829296230118
Position 4853: 0.25477801972061165
Position 6515: 0.24871671889426808
Position 2997: 0.1800496668925678
Position 443: 0.17636020938211458
Position 1342: 0.15395831429618864
Position 1002: 0.15332227884781133
Position 7118: 0.15049583341165798
Position 2123: 0.13082009296513677
Position 4010: 0.092399683697843
Position 298: 0.07632780966324412
Position 2096: 0.06667688478827496
Position 4234: 0.05980907617948076
Position 92: 0.05703745325327037
Position 6527: 0.04377989910455722
Position 7028: 0.03763928538478041
Position 4117: 0.03557720224405376
Position 951: 0.030947825983306726
Position 4800: 0.03070712281536086
Position 7516: 0.029621955967686575
Position 100: 0.029163871368284258
Position 5186: 0.02408613677311386
Position 7395: 0.021407678233458013
Position 2683: 0.02024593064463926
Position 4199: 0.01655440786505329
Position 3907: 0.015758222677821943
Position 4347: 0.015546771687172178
Position 32: 0.015140918422190985
Position 1610: 0.011888767523808607
Position 4270: 0.01085001904323296
Position 5337: 0.009853052090473742
Position 4005: 0.008636175652297153
Position 128: 0.008495994469967657
Position 140: 0.008078166490409964
Position 912: 0.007899893626388248
Position 3036: 0.00670763069054903
Position 124: 0.0065844616241117985
Position 4256: 0.006524658036416615
Position 3052: 0.006307405064134932
Position 857: 0.006240848531333098
Position 7673: 0.00616415452695278
Position 1006: 0.006086854779926837
Position 5826: 0.005944388675600666
Position 79: 0.005681212013006511
Position 2516: 0.005055685982276888
Position 118: 0.0048416377181723135
Position 3564: 0.004581841856533217
Position 174: 0.00443703814571568
Position 1547: 0.002740552299864685
Position 4017: 0.002230622082693783
Position 4579: 0.001645905719186845
Position 4262: 0.0013180092938829403
Position 4154: 0.0012558361670401402
Position 826: 0.000762541286536871
Position 807: 0.0007588711800577131
Position 148: 0.0005753775662538099
Position 5830: 0.0005709737826132136
Position 3140: 0.0005169061016165574
Position 5128: 0.0004907327462493406
Position 75: 0.0004668254055994004
Position 5879: 0.00035726997396815435
Position 5836: 0.0003439484468006336
Position 4211: 0.00030303084528666773
Position 82: 0.0002939408400733547
Position 4175: 0.00028557915864360975
Position 217: 0.00026821878278904775
Position 396: 0.0002455232419782697
Position 134: 0.0002018530490619759
Position 373: 0.00019019215645837094
Position 5217: 0.00015477510335493638
Position 779: 0.00011477635034113485
Position 162: 0.00011299488678717395
Position 711: 0.00010478888376923344
Position 2810: 0.00010341230018660742
Position 1570: 0.00010267672768890801
Position 1087: 8.177931121042655e-05
Position 3858: 4.582072808710663e-05
Position 503: 4.3697970395978015e-05
Position 556: 3.5650308692347115e-05
Position 2759: 3.220466576089136e-05
Position 153: 2.659728339003701e-05
Position 146: 2.3810776652644595e-05
Position 794: 2.3207786951652907e-05
Position 3865: 2.2853749828806443e-05
Position 408: 1.952439011462341e-05
Position 176: 1.3070840759405903e-05
Position 606: 1.0179847766257033e-05
Position 681: 7.623154824918537e-06
Position 155: 6.410201096061799e-06
Position 515: 6.337610983695719e-06
Position 73: 4.427119649195664e-06
Position 246: 5.405758309473637e-07
Position 185: 1.914514994214123e-07
Position 53: 1.8389052194374174e-07
Position 651: 1.546788512305959e-08
Position 402: 1.4332218477662113e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5029: 0.9701872496785414
Position 2632: 0.7592414375683234
Position 1964: 0.6001853353143952
Position 3768: 0.5127649590627793
Position 5715: 0.3777239173672982
Position 10072: 0.2830648943003722
Position 6300: 0.2620537644407362
Position 9262: 0.2484727788428726
Position 4731: 0.22892820919962847
Position 6882: 0.2086289878934923
Position 2918: 0.19033865646611212
Position 4046: 0.14422287543239173
Position 1194: 0.14243237707822112
Position 2485: 0.11810228794189002
Position 11405: 0.1063981987273436
Position 752: 0.09529111082609405
Position 6386: 0.08153518340587512
Position 7286: 0.057001212269591775
Position 755: 0.05257031607806387
Position 10008: 0.045747573995134024
Position 4714: 0.039976259332627245
Position 2574: 0.03635476726192374
Position 3952: 0.03495168006700766
Position 6283: 0.03195124004125145
Position 246: 0.02839718817773025
Position 10632: 0.027480276850030683
Position 10339: 0.024263963920802982
Position 7000: 0.023878845171875107
Position 8672: 0.017376619437099717
Position 14017: 0.01651988634240072
Position 8239: 0.012268428724614462
Position 4608: 0.011439293744135999
Position 226: 0.011107418657839898
Position 1473: 0.01099039365104323
Position 7515: 0.01085972170454269
Position 2592: 0.010603339391012687
Position 6759: 0.010193161178184132
Position 5117: 0.009487093014573069
Position 3957: 0.009463868224873122
Position 1785: 0.00938560533932785
Position 7240: 0.008902193309494459
Position 3863: 0.007251791567363166
Position 942: 0.007018090079748643
Position 804: 0.006641577302454019
Position 7152: 0.006052305820842842
Position 8631: 0.005718107606295951
Position 5551: 0.005262321630132602
Position 1251: 0.005119572828178484
Position 2598: 0.005110620067542503
Position 4197: 0.00498741828184985
Position 911: 0.004717098684871099
Position 8594: 0.004598462871406835
Position 5635: 0.004313128191236466
Position 2424: 0.004191761489512705
Position 8005: 0.004147745322812572
Position 3708: 0.004117741988694271
Position 4785: 0.0037364612474819134
Position 159: 0.0036951970622275286
Position 3906: 0.0034856292019562014
Position 1408: 0.002939824914323658
Position 806: 0.0027746757195216097
Position 1209: 0.002750410274722396
