Gene = Sdad1
index = 955
Annotated 5SS: [  233  4292  4821  5052  6141  6359  7386  8213  9963 11833 12905 14014
 16062 17372 18139 18318 19012 19767 20104 20285 21558]
Annotated 3SS: [ 4186  4721  4940  6068  6257  7327  8137  9860 11762 12800 13955 16002
 17294 18040 18240 18884 19671 19912 20199 21395 23153]
SMsplice 5SS: [  233  4292  4821  5052  6141  6359  7386  9963 11833 12905 14014 16062
 17372 18139 18318 18969 19767 20104 20285 21558]
SMsplice 3SS: [ 4186  4721  4940  6068  6257  7327  9860 11762 12800 13955 16002 17294
 18040 18240 18884 19671 19912 20199 21395 23153]
top_k =  500
Partition function (log Z): 50.84928585445087

Sorted 5' Splice Sites (High to Low Probability):
Position 9963: 0.9940695335051389
Position 20104: 0.9924571730924061
Position 6359: 0.9853256677031176
Position 6141: 0.98509716273396
Position 4292: 0.9850882800254309
Position 20285: 0.9839866779065695
Position 7386: 0.9653574815421205
Position 12905: 0.9262152652917375
Position 5052: 0.9246206591779981
Position 21558: 0.9214568984467295
Position 18318: 0.9063820447015936
Position 14014: 0.9017335891071225
Position 18139: 0.8504867537483379
Position 11833: 0.8493847587554841
Position 19767: 0.8344771314369631
Position 16062: 0.822432071354336
Position 17372: 0.6262794865911272
Position 18969: 0.5909393355989714
Position 4821: 0.5898189280256054
Position 14971: 0.5868851170104279
Position 233: 0.5571502627302753
Position 8213: 0.4965394006275857
Position 4853: 0.38511598890728105
Position 19012: 0.37138895255615184
Position 13266: 0.30207589528763074
Position 267: 0.24544189265660526
Position 408: 0.19948620253075292
Position 13777: 0.19000857082693018
Position 16297: 0.1808128623001534
Position 14734: 0.15329411320493333
Position 8060: 0.13665623448139674
Position 19717: 0.1273875037997999
Position 18160: 0.1185503972552274
Position 16640: 0.11243485708632471
Position 6735: 0.1071278107394387
Position 2114: 0.09906596988622338
Position 8273: 0.0955329975548464
Position 8310: 0.07297326706881642
Position 2997: 0.07121257408507309
Position 13863: 0.06875148371491474
Position 18749: 0.06276509237844151
Position 16087: 0.0587145549806836
Position 16407: 0.05797842679150987
