Gene = Rps3a1
index = 933
Annotated 5SS: [ 195 1005 1464 3663 4220]
Annotated 3SS: [ 900 1275 3453 4109 4591]
SMsplice 5SS: [ 195 1005 1464 3663 4266]
SMsplice 3SS: [ 900 1275 3453 4109 4591]
top_k =  500
Partition function (log Z): 0.11450788504600973

Sorted 5' Splice Sites (High to Low Probability):
Position 1005: 0.9331637086806129
Position 195: 0.8922257675364441
Position 1464: 0.6895539601430938
Position 3663: 0.6820141512182
Position 4266: 0.4919582620430647
Position 4220: 0.4221693424513408
Position 3625: 0.15857616998451754
Position 1485: 0.07923732057866988
Position 1231: 0.06682585710564523
Position 331: 0.03241920149787803
Position 167: 0.03221333170423596
Position 1414: 0.026204681745647586
Position 805: 0.013645755597748286
Position 280: 0.010821736746217628
Position 619: 0.01047687702914357
Position 1986: 0.01004530029199997
Position 3667: 0.008119922327955194
Position 3928: 0.007034114092687904
Position 1534: 0.006403424682262883
Position 1704: 0.006037252770059427
Position 215: 0.005705220129697404
Position 1212: 0.0049859292970352185
Position 756: 0.004206233374300084
Position 815: 0.0039054431627317606
Position 4500: 0.0031868610000632576
Position 628: 0.0031178535604084326
Position 3649: 0.0030399683778670355
Position 2335: 0.0027384089165581093
Position 193: 0.0026722792118889613
Position 245: 0.0025962320036502524
Position 2257: 0.0023348214008529888
Position 928: 0.0019641993152837867
Position 791: 0.0017498369558161348
Position 261: 0.0016753239064685524
Position 124: 0.0016346185575339225
Position 1009: 0.0015831859669878344
Position 3262: 0.0015527126183746518
Position 487: 0.0014630135120007341
Position 139: 0.0013448527575477091
Position 4514: 0.0009073806775844401
Position 4308: 0.0006021718418763966
Position 4189: 0.0005831788521662153
Position 765: 0.000577286604914226
Position 3652: 0.00046290489917281524
Position 841: 0.00042875797717921487
Position 199: 0.00041498622560013276
Position 4252: 0.00039710118954270756
Position 760: 0.00032650406802728306
Position 844: 0.00030760427599175083
Position 639: 0.00029266227816549943
Position 881: 0.00026558334896226404
Position 770: 0.0002610218641011744
Position 1014: 0.00022838346855332401
Position 4212: 0.00022442446343329963
Position 458: 0.00021441443122437173
Position 241: 0.00020565370426819224
Position 4520: 0.00018259450201398041
Position 833: 0.00014524111433002052
Position 509: 0.00013517024562122968
Position 4224: 0.0001282023488270554
Position 253: 0.0001246768454807016
Position 586: 0.00011570808803274027
Position 1257: 0.00011097906947153877
Position 4289: 0.00010890610138290189
Position 1203: 9.980618974579603e-05
Position 52: 8.787759206034312e-05
Position 1114: 8.358030507675125e-05
Position 1050: 8.096420915488087e-05
Position 79: 7.999439118050473e-05
Position 96: 7.203994927961073e-05
Position 1072: 6.57397431818862e-05
Position 308: 6.079699847817891e-05
Position 422: 5.0819767158175834e-05
Position 1102: 4.9977957287906015e-05
Position 595: 4.709980302806818e-05
Position 4270: 3.9833655216173536e-05
Position 1530: 3.891622025774103e-05
Position 385: 3.855882344848462e-05
Position 371: 3.803715443100934e-05
Position 225: 3.69013059118337e-05
Position 369: 3.655057061390485e-05
Position 736: 3.573568635617562e-05
Position 4314: 3.569744099144764e-05
Position 436: 3.005007651577566e-05
Position 530: 2.9120816243570112e-05
Position 4060: 2.7332805722996943e-05
Position 99: 2.424724293826208e-05
Position 575: 2.4106560750069407e-05
Position 4666: 2.1118698603196742e-05
Position 1522: 1.9266821252171416e-05
Position 3580: 1.7762235506152523e-05
Position 532: 1.6929945421222734e-05
Position 606: 1.5549188220770587e-05
Position 47: 1.4986938874392855e-05
Position 2493: 1.4927782993447609e-05
Position 643: 1.4396155189444876e-05
