Gene = Vcpip1
index = 1177
Annotated 5SS: [ 2933 11417]
Annotated 3SS: [11329 23031]
SMsplice 5SS: [112]
SMsplice 3SS: [11329]
top_k =  500
Partition function (log Z): -18.188818352712964

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.8193253223768765
Position 9168: 0.3868773447889944
Position 571: 0.14212103084686925
Position 577: 0.1134705477598112
Position 2933: 0.06712505179718094
Position 11417: 0.05452481887452136
Position 9274: 0.044712685151727105
Position 2855: 0.039032209581542174
Position 484: 0.03473074229060142
Position 9566: 0.03399018971369409
Position 8826: 0.032470340281022275
Position 1297: 0.02990588378336354
Position 6851: 0.029564199867032282
Position 8870: 0.028767016448658592
Position 1967: 0.025291053152870065
Position 4016: 0.02210997540540517
Position 3707: 0.018476008001765753
Position 9122: 0.015515766578015986
Position 8077: 0.011697125999420589
Position 4972: 0.011020471726776164
Position 3615: 0.007246793859663667
Position 8017: 0.005794943957215764
Position 3924: 0.0054230219991739615
Position 6860: 0.005108189309589985
Position 5059: 0.0031326513262803267
Position 1274: 0.0021632008669138117
Position 171: 0.000361865991501231
Position 55: 0.0002979051510178022
Position 1499: 0.0001233374537241828
Position 2129: 9.698600531458816e-05
Position 2969: 7.882625226184079e-05
Position 72: 7.829883188250598e-05
Position 1067: 5.259476602985147e-05
Position 499: 3.0012778788593747e-05
Position 413: 2.542237340336205e-05
Position 381: 1.834119255021875e-05
Position 438: 1.4917347244838589e-05
Position 156: 1.4280382691781748e-05
Position 713: 1.3397931269852228e-05
Position 294: 1.0410116265527828e-05
Position 789: 8.380985113966347e-06
Position 365: 8.10074014083259e-06
Position 833: 7.529868120799938e-06
Position 297: 7.131520083944781e-06
Position 538: 5.599273883688831e-06
Position 6: 4.453297777304416e-06
Position 1169: 4.315273389593602e-06
Position 1232: 3.9759423093623035e-06
Position 1040: 3.662846806880949e-06
Position 431: 3.290379318723206e-06
Position 693: 2.9028613567601695e-06
Position 859: 2.8844755919980557e-06
Position 2792: 2.8679470566733507e-06
Position 2468: 2.677610088978693e-06
