Gene = Sprr2k
index = 1023
Annotated 5SS: [40]
Annotated 3SS: [746]
SMsplice 5SS: [40]
SMsplice 3SS: [746]
top_k =  500
Partition function (log Z): -7.77913657537697

Sorted 5' Splice Sites (High to Low Probability):
Position 40: 0.9797015910648191
Position 540: 0.1023753659957376
Position 646: 0.025336712474974488
Position 785: 0.013431611556865257
Position 652: 0.0071653338061982656
Position 125: 0.0041642496944241545
Position 406: 0.0033354155103127946
Position 271: 0.0017777654348786046
Position 648: 0.001709451710938802
Position 966: 0.001120396530122092
Position 1214: 0.0006765951495318172
Position 161: 0.000541677801810851
Position 544: 0.0004406817916585207
Position 715: 0.0004103418772125675
Position 567: 0.00038910594622075306
Position 111: 0.00032701096801795776
Position 10: 0.0003252987209957906
Position 154: 0.00021266868126253332
Position 66: 0.0001982224169805019
Position 604: 0.0001266830698484337
Position 309: 0.00010764283284801187
Position 177: 8.022824651878499e-05
Position 331: 7.376582316424713e-05
Position 145: 6.978163576543426e-05
Position 169: 6.849236485226749e-05
Position 650: 6.615708933559603e-05
Position 846: 5.2852420064209045e-05
Position 412: 5.2410449018273146e-05
Position 217: 3.723122902091486e-05
Position 44: 3.55496148651142e-05
Position 59: 3.542116420470262e-05
Position 97: 2.7706280477355234e-05
Position 719: 2.259748655669938e-05
Position 525: 1.973641724282405e-05
Position 106: 1.3500510188010973e-05
Position 873: 9.548218047516616e-06
Position 813: 5.412510344035825e-06
Position 256: 4.712285353899966e-06
Position 172: 1.7811993691847852e-06
Position 290: 1.59073126038075e-06
Position 52: 1.3207497641259297e-06
Position 209: 1.2278147851072717e-06
Position 189: 4.776911480613816e-07
Position 354: 4.105087825487538e-07
Position 219: 3.7113431827015714e-07
Position 480: 2.946900272938595e-07
Position 368: 1.705369785658624e-07
Position 512: 1.5465496285458258e-07
Position 507: 1.3277682837112278e-07
Position 797: 4.5529415946574115e-08
Position 811: 1.8481342292470367e-08
Position 415: 4.3986347235954705e-09
Position 197: 7.132732265940615e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.7478050651488128
Position 405: 0.10518246321501445
Position 216: 0.07601277453559176
Position 873: 0.044020635152397236
Position 520: 0.041200117966446195
Position 365: 0.03502143364674226
Position 846: 0.020325306844113256
Position 445: 0.012927432091729621
Position 556: 0.011783886517014454
Position 1338: 0.007467467065300405
Position 828: 0.006117824371151015
Position 522: 0.006014018242749767
Position 1202: 0.004214922496098458
Position 897: 0.0028107691365895776
Position 1288: 0.0027231635482641106
Position 175: 0.0023921880762437973
Position 1167: 0.0021941066887895596
Position 1110: 0.0018657714137927022
Position 930: 0.0017830956745981158
Position 453: 0.0016844573023348875
Position 368: 0.0016624694570852418
Position 340: 0.0013734436971015007
Position 775: 0.0013585094477783272
Position 232: 0.0010810245770658756
Position 1070: 0.0007914384559243458
Position 780: 0.0006968794758284633
Position 337: 0.0006314710934545251
Position 324: 0.000616072846265276
Position 622: 0.00030192495828530036
Position 942: 0.00030003692652581045
Position 1131: 0.0002443812138395039
Position 906: 0.00023447215372124269
Position 1254: 0.00019767032600350433
Position 145: 0.0001903760449610391
Position 945: 0.0001608508754536954
Position 777: 0.00012778044065672582
Position 962: 0.00010443276532963798
Position 573: 0.00010144559691716843
Position 783: 9.588739705274776e-05
Position 380: 9.394388293287076e-05
Position 412: 7.063415283414943e-05
Position 703: 6.205977087062902e-05
Position 270: 4.465563182993766e-05
Position 690: 3.957449156490281e-05
Position 1073: 3.862980095527841e-05
Position 1225: 3.760016989631343e-05
Position 966: 3.742680754729251e-05
Position 723: 3.4844334840646665e-05
Position 103: 3.3320487116127016e-05
Position 177: 3.192360376314099e-05
Position 882: 2.9205331313027102e-05
Position 1291: 2.1847884122829638e-05
Position 1268: 1.9815051827117196e-05
Position 249: 1.4920859365885315e-05
Position 754: 1.4598415296917562e-05
Position 855: 1.4301175393752449e-05
Position 972: 1.4067966634704513e-05
Position 609: 1.3445204280835814e-05
Position 627: 1.3313019019276367e-05
Position 277: 1.2598461313587441e-05
Position 106: 1.2122894937793736e-05
Position 1295: 1.1489046696011549e-05
Position 801: 1.0903937880965116e-05
Position 1221: 6.897239435117507e-06
Position 567: 2.3687093729409473e-06
Position 347: 1.7112757039071277e-06
Position 658: 4.0797204798970753e-07
Position 630: 3.777734960685002e-07
Position 660: 3.3269942004554424e-07
Position 242: 3.906182866002661e-08
Position 100: 3.828688831722205e-08
Position 266: 2.788741073201957e-08
Position 254: 1.6188760124038532e-08
Position 284: 1.3900026645484762e-09
