Gene = Sympk
index = 1052
Annotated 5SS: [  130  4611  4804  6220  6376 10157 11699 12456 13723 15868 16316 18406
 19199 20794 21337 21585 22526 23234 24181 24564 25094 25663 28178 29070
 29266 29922]
Annotated 3SS: [ 4486  4737  6165  6301 10029 11448 12284 13482 15712 16164 18200 19047
 20557 21254 21470 22377 23072 24071 24462 25002 25560 27989 28892 29169
 29537 30011]
SMsplice 5SS: [  130  4611  4804  6220  6376 10157 12456 13515 13723 15868 16316 18406
 19199 21337 21585 22526 23234 24181 24564 25094 25663 28178 29070 29266
 29922]
SMsplice 3SS: [ 4486  4737  6165  6301 10029 12284 13482 13631 15712 16164 18200 19047
 21254 21470 22377 23143 24071 24462 25002 25560 27989 28892 29169 29537
 30011]
top_k =  500
Partition function (log Z): 50.36491642844788

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9956183842132682
Position 24564: 0.9861062022530547
Position 29266: 0.9842383359060296
Position 21585: 0.9810677059217039
Position 23234: 0.9776253384510477
Position 10157: 0.9767188897148427
Position 29070: 0.9705693981917035
Position 19199: 0.9679535178034858
Position 16316: 0.966326521418565
Position 6220: 0.9556450830358256
Position 25663: 0.9450168184605634
Position 6376: 0.923863469160583
Position 25094: 0.9082804602437486
Position 15868: 0.9034916754496884
Position 18406: 0.8990814753792861
Position 4611: 0.8883519545374708
Position 28178: 0.8669108345436576
Position 29922: 0.8464033124952329
Position 13723: 0.8309083182100245
Position 24181: 0.8044427900872735
Position 12456: 0.7607106603891612
Position 4804: 0.738295622995856
Position 21337: 0.7117537421870764
Position 22526: 0.6179092399864519
Position 11699: 0.5993096512503948
Position 13515: 0.4645033355809612
Position 3646: 0.4298318028224665
Position 23918: 0.2783852795908031
Position 15429: 0.24180642270030123
Position 1873: 0.23773251962022912
Position 12428: 0.2183937978802192
Position 4815: 0.18486816460565336
Position 26060: 0.18162925497039656
Position 21377: 0.16722940705096273
Position 18604: 0.1592147124843746
Position 11896: 0.15438372613328025
