Gene = Map9
index = 660
Annotated 5SS: [  184  1053  1903  5543 13331 16130 19096 20936 22175 23912 25298 25590
 25906]
Annotated 3SS: [  902  1817  5218 13106 16035 18850 20864 22005 23821 25135 25443 25772
 33055]
SMsplice 5SS: [  243  1053  1907  5543 16130 19096 20936 23912 25298 25590 25906 33170
 35497]
SMsplice 3SS: [  961  1817  5218 16035 18850 20864 23821 25135 25443 25772 33055 35409
 36030]
top_k =  500
Partition function (log Z): -12.036741239504355

Sorted 5' Splice Sites (High to Low Probability):
Position 5543: 0.9987327958484088
Position 1053: 0.9625122510478871
Position 243: 0.7145795589218863
Position 1907: 0.6279438041208223
Position 8440: 0.5173746756250257
Position 1903: 0.36100163055744505
Position 13331: 0.3344050674328235
Position 9787: 0.2356036713904595
Position 3695: 0.17596026158321557
Position 6391: 0.1182874828030114
Position 16130: 0.08765640938308566
Position 184: 0.08661736897126635
Position 5874: 0.06483844600996543
Position 9134: 0.04672738399975897
Position 100: 0.04539973239069635
Position 10556: 0.043502028551621094
Position 6575: 0.03911868574467548
Position 1302: 0.038644054711855
Position 435: 0.035984269907311545
Position 9539: 0.034208102029616785
Position 1670: 0.030036725326395952
Position 2528: 0.029521747130168467
Position 5911: 0.029509104725984
Position 1316: 0.02726091780199909
Position 13907: 0.02712224556619439
Position 12027: 0.015220577503121797
Position 774: 0.014029990704922668
Position 202: 0.013172204633992131
Position 11916: 0.011538479194328911
Position 6711: 0.010381540182627632
Position 1427: 0.00871693796165167
Position 458: 0.00824840726149662
Position 274: 0.007819646357495023
Position 3637: 0.006747372034573436
Position 2030: 0.00641599663705276
Position 5882: 0.006039627107878707
Position 412: 0.003831378108188721
Position 391: 0.003635730377184115
Position 437: 0.003560066370821403
Position 2470: 0.0035186817682558826
Position 859: 0.00341985504523377
Position 596: 0.002237038837341192
Position 5131: 0.0022246367160820013
Position 4704: 0.002223389648481896
Position 441: 0.002061059069011116
Position 2517: 0.0020132064451762782
Position 3701: 0.001805161738390024
Position 1684: 0.0017216433289414042
Position 2569: 0.0015883005949061733
Position 5: 0.0015870060792580703
Position 1705: 0.0015223507506859763
Position 24: 0.00136358506590471
Position 486: 0.0012831195763869613
Position 1414: 0.0010119762866821278
Position 470: 0.0009987147433193444
Position 1911: 0.0009799495950911237
Position 427: 0.0008450905389849483
Position 3795: 0.0008163062349561566
Position 1695: 0.000802697966963821
Position 1380: 0.0007625775928936358
Position 4647: 0.0007586117112565198
Position 584: 0.0006526305103494124
Position 1666: 0.0006377004846141537
Position 1847: 0.000539147806122246
Position 3012: 0.0005364609814324225
Position 682: 0.0005268393636093802
Position 1721: 0.0005183062725511818
Position 2381: 0.0005122341621096173
Position 276: 0.0005031636855262436
Position 2390: 0.0004603732458286761
Position 617: 0.00038060867856862447
Position 1891: 0.0003491491611117822
