Gene = Tcta
index = 1065
Annotated 5SS: [439 835]
Annotated 3SS: [ 779 1906]
SMsplice 5SS: [439]
SMsplice 3SS: [1906]
top_k =  500
Partition function (log Z): -9.586064913191873

Sorted 5' Splice Sites (High to Low Probability):
Position 439: 0.5148739947524115
Position 835: 0.39976325077608005
Position 359: 0.19630198843521016
Position 171: 0.12153057422536277
Position 2132: 0.07667852150941463
Position 198: 0.06224308229442291
Position 2090: 0.04221007670279983
Position 1737: 0.032588523427135974
Position 893: 0.022239778210566795
Position 2143: 0.02099531567678437
Position 183: 0.016111625333512843
Position 780: 0.010446564067170372
Position 2217: 0.0072637159256548735
Position 661: 0.005981514573374113
Position 126: 0.004856177360583797
Position 40: 0.0042901289105308936
Position 330: 0.003967497292746235
Position 1990: 0.0034351778232876934
Position 1042: 0.003372225970483413
Position 941: 0.002954871147143164
Position 264: 0.002793691338078327
Position 1707: 0.002700472851732022
Position 762: 0.0026092661181050746
Position 99: 0.0007877559687779386
Position 1369: 0.0006603901810533132
Position 189: 0.000628378861008649
Position 30: 0.000567131474150152
Position 839: 0.000545477772161079
Position 1124: 0.0004823410634297506
Position 551: 0.00037297691186068875
Position 370: 0.00018395665095146985
Position 571: 0.00018127634505158644
Position 611: 0.0001737817328793979
Position 422: 0.00016704932328630957
Position 2057: 0.00014728739058405537
Position 492: 0.0001334981653913091
Position 414: 0.0001229479475389953
Position 398: 0.0001075948182526545
Position 425: 7.777605722475537e-05
Position 239: 6.964719313580294e-05
Position 117: 4.6053018292311236e-05
Position 213: 3.704109023597305e-05
Position 356: 2.8250782005907877e-05
Position 363: 2.7604575856354408e-05
Position 621: 2.7129750179340855e-05
Position 308: 2.7048113677876177e-05
Position 510: 2.6825607756262866e-05
Position 365: 2.554171048847901e-05
Position 614: 2.425538208385369e-05
Position 654: 2.267315844852487e-05
Position 502: 2.210602523975585e-05
Position 532: 2.0139437824430005e-05
Position 433: 1.0061955414596984e-05
Position 512: 6.748440019234247e-06
Position 53: 4.762768745650786e-06
Position 1054: 3.3421959485243765e-07
Position 472: 1.9052185099525164e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1906: 0.7524187459809591
Position 2388: 0.17319065026117897
Position 731: 0.16785086593670465
Position 779: 0.12694132961343393
Position 521: 0.05111819081832478
Position 695: 0.03557918509473192
Position 1037: 0.026427431571492837
Position 540: 0.024193171876264803
Position 1644: 0.019937273934944145
Position 874: 0.016728560908357584
Position 755: 0.013892119644847687
Position 2257: 0.012282336945078194
Position 1174: 0.010689908270816173
Position 745: 0.009859815792112842
Position 2046: 0.008890434490795638
Position 2125: 0.00829610611687276
Position 1219: 0.008195583759014356
Position 2110: 0.008007973812846847
Position 344: 0.0074263440979894
Position 1119: 0.007400319284731537
Position 1612: 0.0066025576733597345
Position 438: 0.006556157763431963
Position 1231: 0.00564745460889669
Position 2027: 0.005520895140127525
Position 1245: 0.005358842497961614
Position 386: 0.004402526373505619
Position 239: 0.004029273635970447
Position 1661: 0.0034813355660235834
Position 2088: 0.003455566028727293
Position 1538: 0.0033014445566385874
Position 2283: 0.002759893554996948
Position 654: 0.0024046980779310195
Position 370: 0.002273520365302727
Position 292: 0.0021683708963277076
Position 1096: 0.0020319872200742564
Position 2166: 0.0017515689050088808
Position 1416: 0.0015792378789613773
Position 590: 0.0013259340888905533
Position 2463: 0.0012150381612321605
Position 2420: 0.0011935533085806684
Position 1274: 0.0010774615823342755
Position 558: 0.0009541491241129515
Position 1153: 0.0009251041754291285
Position 1942: 0.0007640820764599815
Position 273: 0.0007266013023430663
Position 2131: 0.0006272686626245046
Position 661: 0.0005750785228088585
Position 1609: 0.00042795480202195517
Position 878: 0.0004253885530432656
Position 1803: 0.000397929961612528
Position 2359: 0.00031882130385474725
Position 2449: 0.0002668619814902798
Position 308: 0.0002498085291737419
Position 314: 0.0002246923969721164
Position 139: 0.00022063800881625892
Position 933: 0.00020441426834541618
Position 669: 0.00016944246508840803
Position 1818: 0.00016741886325164965
Position 543: 0.00015981248740723372
Position 414: 0.0001397197115388556
Position 2304: 0.00013343418336704598
Position 1041: 0.00011270669276341335
Position 973: 0.00010594796675693982
Position 249: 0.00010545730601293257
Position 793: 6.400154078361911e-05
Position 213: 1.4767673490475733e-05
Position 321: 9.828314232997924e-06
Position 189: 6.811545819657396e-06
Position 154: 5.3807412864285996e-06
Position 171: 2.8553153225245047e-06
Position 175: 2.006147757732168e-06
Position 443: 1.340032403956188e-06
Position 224: 3.010228989927939e-07
Position 330: 1.8913378505460667e-07
Position 94: 1.1043915316675174e-08
Position 102: 5.713840551571033e-09
Position 99: 7.654058898168988e-13
