Gene = Ppp1r13l
index = 845
Annotated 5SS: [  101  7407  7644  9089  9272  9442 10431 12169 14166 14403 14676 16472]
Annotated 3SS: [ 7325  7500  8577  9172  9349  9988 11707 14033 14268 14508 16271 16750]
SMsplice 5SS: [  101  7407  7644  8875  9272  9442 14166 14403 14676]
SMsplice 3SS: [ 7325  7500  8763  9172  9349 14033 14268 14508 16271]
top_k =  500
Partition function (log Z): 22.811925856525406

Sorted 5' Splice Sites (High to Low Probability):
Position 14403: 0.9974596141973164
Position 101: 0.9944027773273652
Position 7644: 0.9601448757109999
Position 14166: 0.9532427319287006
Position 8875: 0.9338391815472281
Position 9442: 0.9028109067374872
Position 9272: 0.8729936838881868
Position 14676: 0.8415489032019344
Position 7407: 0.8010261504735652
Position 10431: 0.7723498896045369
Position 9089: 0.7289319336356674
Position 1074: 0.42545144854003286
Position 12169: 0.23336905468096142
Position 16472: 0.14210246859101167
Position 3530: 0.1357133021951147
Position 9286: 0.12329732826098547
Position 14695: 0.08869918409470362
Position 16073: 0.08560149331199596
Position 5835: 0.0720112985271416
Position 1114: 0.047502352157844076
Position 4369: 0.046664945471307534
Position 6339: 0.03718415829205136
Position 14726: 0.03610070411623374
Position 7441: 0.03453115131214792
Position 14195: 0.0292535072299399
Position 16372: 0.024966110268513225
Position 814: 0.024658084581811766
Position 10028: 0.02260232749865279
Position 15949: 0.019053109274890657
Position 8586: 0.01836747979437039
Position 10203: 0.01810306247841684
Position 9453: 0.014913362410704713
Position 14626: 0.013120681395990394
Position 4618: 0.013099863782306745
Position 14157: 0.012332549802773603
Position 2334: 0.011351711877390229
Position 6627: 0.009956087645982378
Position 7423: 0.009611901635722345
Position 14702: 0.009533397071562616
Position 8840: 0.00852334505395719
Position 6193: 0.008456752452937694
Position 7765: 0.007790538718482284
Position 13596: 0.007482942788839299
Position 11881: 0.006986209967053325
Position 11803: 0.006519286934373033
Position 15131: 0.00594136309253661
Position 15642: 0.005765567632457732
Position 13826: 0.005572360090335579
Position 1384: 0.005081318375510419
Position 13620: 0.003572239093302271
Position 14145: 0.0035492550498913626
Position 7595: 0.002690462477441622
