Gene = Defb18
index = 329
Annotated 5SS: [70]
Annotated 3SS: [782]
SMsplice 5SS: [70]
SMsplice 3SS: [782]
top_k =  500
Partition function (log Z): -10.655740650383443

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.8824712621529333
Position 581: 0.15908338208709225
Position 447: 0.007713591320587491
Position 541: 0.002834592179563281
Position 196: 0.0023687377108716832
Position 180: 0.0016742917653855124
Position 286: 0.001501001696854471
Position 326: 0.0014681320927478494
Position 39: 0.0007716997268290188
Position 61: 0.0007609031852284807
Position 51: 0.0006655839135921285
Position 628: 0.0006151561539469755
Position 75: 0.0005590711549965579
Position 53: 0.0005417256283234145
Position 232: 0.0004861101810312774
Position 417: 0.00013137039944605467
Position 836: 9.528342954025805e-05
Position 208: 8.047097185360068e-05
Position 224: 6.251621694973755e-05
Position 58: 6.209466852707676e-05
Position 294: 3.784270918211503e-05
Position 110: 2.6112909602608082e-05
Position 603: 1.490005367888665e-05
Position 20: 1.1380844491122012e-05
Position 258: 9.505552390210907e-06
Position 175: 7.885082608765856e-06
Position 354: 6.550338978864404e-06
Position 381: 6.486114206583937e-06
Position 843: 5.319360179304649e-06
Position 407: 5.083062453074299e-06
Position 806: 4.336341455772037e-06
Position 572: 3.351388889498388e-06
Position 402: 9.561335823353132e-08
Position 315: 9.057579560964872e-08
Position 532: 4.63353479778787e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 782: 0.6046824251144572
Position 621: 0.120881947086183
Position 329: 0.061267752092391825
Position 417: 0.05353709647378548
Position 354: 0.04495669171235043
Position 790: 0.03731266057522548
Position 280: 0.025088673299801054
Position 580: 0.02281082549001193
Position 463: 0.02227512154651892
Position 326: 0.018498797338666047
Position 503: 0.015861398279713546
Position 146: 0.007932996926074251
Position 541: 0.007325212806291951
Position 901: 0.004294542237795701
Position 375: 0.0039045682477566067
Position 465: 0.0028344318903073904
Position 389: 0.001604873740827022
Position 396: 0.0014707266252430538
Position 626: 0.0013793467509014797
Position 399: 0.0010457162451426162
Position 812: 0.0009525201707697566
Position 867: 0.0008546108450441744
Position 853: 0.0006934819949428329
Position 423: 0.0005323545074939554
Position 201: 0.0004304054202014975
Position 220: 0.0003992038922665738
Position 552: 0.00024209995125379875
Position 402: 0.00014637847523568141
Position 920: 0.0001439808488090855
Position 560: 0.00011464006728741105
Position 801: 0.00010450540328408336
Position 391: 9.847994790665548e-05
Position 432: 9.368233850522364e-05
Position 816: 5.924869702278473e-05
Position 555: 3.933396580620719e-05
Position 517: 3.5343306576059505e-05
Position 937: 3.359199455343019e-05
Position 393: 3.1903701694002066e-05
Position 159: 2.5534831579899992e-05
Position 196: 2.3146320699580588e-05
Position 805: 2.256138563588443e-05
Position 208: 1.2063458612635459e-05
Position 930: 1.017823993449906e-05
Position 232: 9.465597015358132e-06
Position 874: 9.351002934169962e-06
Position 427: 1.383123630963237e-06
Position 425: 6.630673590465554e-07
Position 96: 9.363970663258864e-12
Position 103: 1.66924195678571e-12
Position 101: 3.9192698697218446e-13
