Gene = Mterf4
index = 720
Annotated 5SS: [  91 1308 3198]
Annotated 3SS: [ 808 3012 4119]
SMsplice 5SS: [91]
SMsplice 3SS: [808]
top_k =  500
Partition function (log Z): -7.1012049897335086

Sorted 5' Splice Sites (High to Low Probability):
Position 91: 0.9487974405999248
Position 3198: 0.5192067246082982
Position 3204: 0.28686857431753554
Position 1308: 0.22668634368934445
Position 611: 0.12096915273953497
Position 930: 0.11952384348332191
Position 1070: 0.05397700550371384
Position 1916: 0.036299124398573565
Position 1854: 0.025321853567693797
Position 4233: 0.021732604705093465
Position 973: 0.017160071580558513
Position 3090: 0.009847578356688884
Position 3342: 0.007088865019364208
Position 3699: 0.007010791254753156
Position 3544: 0.006423124937386344
Position 2900: 0.004676925991681382
Position 735: 0.004522288093285089
Position 3617: 0.004422232515230507
Position 1343: 0.004095744922282744
Position 2912: 0.0025683669688030103
Position 1690: 0.002287785782451332
Position 1164: 0.0019216098451273374
Position 2869: 0.0018675776759827806
Position 2821: 0.0016354515947144487
Position 1501: 0.0016270220016332633
Position 1623: 0.0015382582054691727
Position 854: 0.0015301215214356483
Position 577: 0.0012236767938153283
Position 775: 0.0010522462534844116
Position 4600: 0.001026687215737764
Position 173: 0.0007772686257616906
Position 1140: 0.0007494908469226574
Position 2665: 0.0006729177572327043
Position 728: 0.0005632597022553419
Position 192: 0.0005034003849687782
Position 96: 0.00048247827293565693
Position 500: 0.0004325768328538011
Position 1128: 0.0002104449494268441
Position 106: 0.00016876100626157252
Position 205: 0.00015549119396832757
Position 696: 0.00010840711323069581
Position 14: 0.00010020125280060403
Position 258: 8.320525859581666e-05
Position 1051: 8.212574004645706e-05
Position 212: 7.623089775374932e-05
Position 137: 7.511059190333836e-05
Position 923: 6.053811564793716e-05
Position 615: 5.8313426469062785e-05
Position 158: 4.480995369926614e-05
Position 530: 4.052663306043155e-05
Position 321: 3.797256622042831e-05
Position 568: 3.648103223465466e-05
Position 373: 3.4721276418042076e-05
Position 3346: 2.3547011788738273e-05
Position 64: 2.261185288842802e-05
Position 41: 2.2378056952181332e-05
Position 210: 1.670867714596988e-05
Position 49: 1.5824920026820397e-05
Position 620: 1.5278343735882004e-05
Position 4079: 1.3551448744495613e-05
Position 165: 1.2263679466688842e-05
Position 357: 1.1454890436107368e-05
Position 167: 9.875823363392682e-06
Position 717: 8.962595055021526e-06
Position 223: 8.52374739013944e-06
Position 11: 7.434004749908407e-06
Position 2729: 7.310316122631149e-06
Position 581: 6.044837436189449e-06
Position 402: 5.771407721585662e-06
Position 706: 5.080000276957499e-06
Position 225: 4.274009880414777e-06
Position 368: 3.850788587422228e-06
Position 267: 3.7285521331540428e-06
Position 505: 3.6554331120691116e-06
Position 516: 3.5806156544259266e-06
Position 379: 2.2869625843706143e-06
Position 3239: 1.8908548533772752e-06
Position 269: 1.6928092977846554e-06
Position 747: 1.659790939015212e-06
Position 400: 1.6532340940269756e-06
Position 683: 1.541854733197153e-06
Position 623: 1.049907343136272e-06
Position 323: 9.447806647336799e-07
Position 561: 8.672604761010438e-07
Position 186: 8.452148993438668e-07
Position 126: 4.3902753546455425e-07
Position 52: 2.7665215914029987e-07
Position 484: 2.0357355417817835e-07
Position 1007: 3.76089962610628e-08
Position 761: 2.7560994917259502e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3012: 0.6136010670354034
Position 808: 0.30230597742506865
Position 4119: 0.2176728553260173
Position 4024: 0.17237639241221203
Position 3937: 0.1300356589858848
Position 4179: 0.1201033522493465
Position 1225: 0.09957581552207057
Position 3164: 0.0984868829995977
Position 3047: 0.09836334708682377
Position 3335: 0.04917216011523391
Position 499: 0.04595261004003333
Position 1202: 0.032055875793042525
Position 1766: 0.031145516776635452
Position 3486: 0.029568537223515233
Position 1237: 0.025162089815342056
Position 3065: 0.023086003291801743
Position 4497: 0.022712870914752135
Position 3999: 0.022089837822831377
Position 1829: 0.020264264021382976
Position 4133: 0.01999296965972162
Position 3888: 0.019764958612549725
Position 1254: 0.018194352311221906
Position 3303: 0.01635313049066197
Position 2615: 0.014067590586707809
Position 577: 0.013688172768312011
Position 1156: 0.01215115068942951
Position 1087: 0.012059094585823061
Position 3382: 0.011979784345560879
Position 3145: 0.011285323670760251
Position 2958: 0.011267263556425483
Position 3122: 0.01106499941420939
Position 415: 0.010103176280567464
Position 4153: 0.009549831200543249
Position 4694: 0.007945259983086057
Position 4350: 0.007305784950717341
Position 4673: 0.006767668280865961
Position 3319: 0.0064693180068384135
Position 1563: 0.005279748563889903
Position 4347: 0.004967285821213152
Position 523: 0.004807954863874745
Position 1714: 0.00455484434654821
Position 450: 0.0043209246204371
Position 4381: 0.003826517759361971
Position 858: 0.0037560167624388955
Position 2336: 0.003643396939556017
Position 3097: 0.0028571464433781667
Position 1261: 0.002829169516522906
Position 4392: 0.002539022541787022
Position 2485: 0.0025363643075724963
Position 1773: 0.002300922266269377
Position 1799: 0.002282048591009422
Position 923: 0.0014805411086945628
Position 379: 0.0013136758151970494
Position 1169: 0.001241628837368867
Position 4071: 0.0012357811914393063
Position 4048: 0.0011933218030395227
Position 4194: 0.0011124676081372558
Position 4298: 0.0010230468774131175
Position 1175: 0.0010187565570039352
Position 1204: 0.0010081385594514233
Position 2546: 0.0009372273201285654
Position 611: 0.000790341375381554
Position 679: 0.0007570625215591495
Position 286: 0.0007192425725319431
Position 1012: 0.0007031365908107829
Position 659: 0.0006647332556743283
Position 982: 0.0006516592912236851
Position 1030: 0.000623867554403211
Position 2769: 0.0005765174547608188
Position 3544: 0.0005512887200259784
Position 4357: 0.0005433244832211487
Position 4395: 0.00047539039845376484
Position 1698: 0.0004705634109357133
Position 2940: 0.00045242743664938146
Position 1986: 0.00043880177651499597
Position 235: 0.0004260312505020642
Position 3554: 0.00036996263348130733
Position 3167: 0.00036046147206782246
Position 650: 0.0003291301281251774
Position 1119: 0.0003234088284450387
Position 1490: 0.00031699818984547596
Position 3604: 0.0002678981755295361
Position 535: 0.00022889355406719252
Position 2911: 0.00022258790463656575
Position 1396: 0.00021492572666164864
Position 3525: 0.00021426318517776393
Position 2125: 0.0002097263908276699
Position 307: 0.0001574973393095172
Position 219: 0.00011795347212860315
Position 3451: 7.561755055875653e-05
Position 529: 7.454071401866834e-05
Position 584: 7.403535285370573e-05
Position 973: 6.041886805726576e-05
Position 876: 5.249903433298221e-05
Position 933: 4.6698288072704856e-05
Position 996: 4.0317677320669813e-05
Position 503: 3.501079992382675e-05
Position 700: 2.719080169668005e-05
Position 862: 2.7082459074680545e-05
Position 192: 2.4584215922511994e-05
Position 1024: 1.9543938763725653e-05
Position 258: 1.8735533873872102e-05
Position 883: 1.605766324179887e-05
Position 195: 1.5661088493752607e-05
Position 240: 1.234424676628472e-05
Position 957: 1.1113591141688905e-05
Position 1541: 1.0524527828001187e-05
Position 1106: 1.0158621571193778e-05
Position 223: 9.987125489859534e-06
Position 615: 9.557649801539347e-06
Position 939: 8.270704279914104e-06
Position 1278: 6.1946239900116805e-06
Position 715: 5.042029430047379e-06
Position 878: 4.835369865058541e-06
Position 1528: 4.568061095337216e-06
Position 989: 4.556441782548705e-06
Position 774: 4.12003379175145e-06
Position 1033: 3.668519633433878e-06
Position 1128: 3.512818983437438e-06
Position 290: 2.4504299329298033e-06
Position 314: 1.8765691826411533e-06
Position 1849: 1.718562107695206e-06
Position 665: 1.0482699625852425e-06
Position 329: 7.739825187306562e-07
Position 316: 7.089261819220768e-07
Position 670: 6.517574726710191e-07
Position 935: 2.904646832992997e-07
