Gene = Sprr2j-ps
index = 1022
Annotated 5SS: [82]
Annotated 3SS: [718]
SMsplice 5SS: [82]
SMsplice 3SS: [718]
top_k =  500
Partition function (log Z): -10.08556313268677

Sorted 5' Splice Sites (High to Low Probability):
Position 82: 0.885333992200538
Position 246: 0.07592666296681592
Position 150: 0.02803760006886567
Position 609: 0.003958941638771529
Position 768: 0.003874712720755454
Position 29: 0.002609358838145797
Position 553: 0.0011110877720394187
Position 525: 0.0010952113426984658
Position 117: 0.0005997219053637176
Position 250: 0.0005872678052952856
Position 520: 0.0004968245092360439
Position 263: 0.0004519756471683969
Position 49: 0.00043024304061456533
Position 472: 0.00036458673677721283
Position 100: 0.00024862022897796285
Position 392: 0.0002415706481790504
Position 349: 0.00023722830892675465
Position 135: 0.000175310807666155
Position 660: 0.00016856724228429178
Position 189: 0.00014024708109555464
Position 57: 0.0001301053548724505
Position 88: 0.0001294698125696052
Position 16: 0.00011160583935771452
Position 581: 9.687803377410464e-05
Position 127: 9.468558180712672e-05
Position 86: 8.736572353210782e-05
Position 622: 8.707105734231413e-05
Position 653: 7.917244468180597e-05
Position 425: 7.231604118299942e-05
Position 829: 6.676968494284274e-05
Position 856: 5.616681620558077e-05
Position 6: 5.531078294238059e-05
Position 203: 5.5081523586631107e-05
Position 490: 4.195356439219514e-05
Position 103: 4.120760334079023e-05
Position 464: 4.086516690065581e-05
Position 108: 3.435144480027455e-05
Position 883: 3.410796927924981e-05
Position 429: 2.0552767722803162e-05
Position 802: 1.8984733047952742e-05
Position 291: 1.1427112526945037e-05
Position 253: 1.1394173849309746e-05
Position 304: 1.0326486812169525e-05
Position 418: 9.867558663499912e-06
Position 961: 8.584835231593446e-06
Position 470: 2.5965988965784176e-08
Position 509: 1.8359503441801557e-08
Position 359: 1.4675429171445006e-08
Position 168: 6.815797117747e-09
Position 293: 1.3375753514577044e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 718: 0.7882912834584086
Position 576: 0.05118203959540028
Position 370: 0.0356134523745095
Position 802: 0.024948677269569057
Position 606: 0.024906811746999803
Position 499: 0.01905545250421139
Position 245: 0.013188097525429248
Position 541: 0.006284002106900999
Position 829: 0.004875232543247452
Position 856: 0.004545194983570582
Position 180: 0.004254518672209355
Position 392: 0.003928539320384683
Position 1205: 0.003206401545128721
Position 1191: 0.002894561831181644
Position 552: 0.0023037747030043793
Position 955: 0.0022114507143948165
Position 304: 0.0019041993855244451
Position 609: 0.001892751810738193
Position 1166: 0.0014611581663591504
Position 750: 0.0011611176598239818
Position 883: 0.0011318302684108891
Position 907: 0.0009321234723967439
Position 755: 0.0007649021377230224
Position 249: 0.0006828208042252404
Position 1297: 0.0005880645116708217
Position 320: 0.0004713954777470678
Position 733: 0.0004642863283298761
Position 168: 0.00045167090302703454
Position 809: 0.00042399951166581523
Position 632: 0.00027497467871641856
Position 317: 0.0002546155580277613
Position 1237: 0.00024842002450309124
Position 200: 0.00022835551569024852
Position 581: 0.00021145929880429679
Position 863: 0.0002031691079328682
Position 434: 0.00017082372384012468
Position 758: 0.0001565311038943857
Position 919: 0.00015165381377485297
Position 520: 0.00013288730216088756
Position 635: 0.0001097788598466748
Position 1248: 8.424986164231037e-05
Position 916: 8.360543045374899e-05
Position 403: 8.224166337924639e-05
Position 1037: 8.195688368564874e-05
Position 509: 7.42749750211639e-05
Position 752: 6.75312245450988e-05
Position 1125: 6.251637430571074e-05
Position 203: 6.088820319073213e-05
Position 639: 6.027637566529322e-05
Position 1087: 5.16976041733457e-05
Position 614: 4.9787636991982066e-05
Position 776: 4.419596262715954e-05
Position 525: 3.698204530503902e-05
Position 838: 3.631035792439233e-05
Position 961: 3.456112261025298e-05
Position 767: 3.349853602736664e-05
Position 1010: 3.26880862894428e-05
Position 1220: 3.236845246243722e-05
Position 726: 3.136184207489464e-05
Position 1213: 3.108264861212459e-05
Position 425: 3.1049091904042536e-05
Position 1131: 2.3659946496986048e-05
Position 1013: 2.188851763812511e-05
Position 1020: 1.926728793091645e-05
Position 442: 1.882731515036728e-05
Position 221: 1.8612904826128195e-05
Position 660: 1.5809437824274862e-05
Position 1044: 1.5200663610274486e-05
Position 650: 1.517919959067164e-05
Position 135: 1.479751206275452e-05
Position 146: 1.0717952119464084e-05
Position 811: 9.714308964162301e-06
Position 154: 8.34749632997855e-06
Position 865: 7.062047893134952e-06
Position 327: 6.793874969841463e-06
Position 975: 6.7293853058178356e-06
Position 261: 6.365571674433741e-06
Position 973: 5.865138975891505e-06
Position 1225: 4.279365594215351e-06
Position 150: 6.944614133949922e-07
Position 207: 1.6632916723004573e-09
Position 73: 1.0372143876369008e-09
Position 100: 9.696930746595934e-10
Position 75: 2.0874022966080865e-11
Position 86: 1.5548687140474478e-13
