Gene = G0s2
index = 419
Annotated 5SS: [229]
Annotated 3SS: [414]
SMsplice 5SS: [229]
SMsplice 3SS: [414]
top_k =  500
Partition function (log Z): -7.881102354065412

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.9818193622456158
Position 256: 0.009223629318877167
Position 200: 0.005768315200388955
Position 798: 0.0036387275239393394
Position 49: 0.00206833788705731
Position 552: 0.0019970107592191025
Position 578: 0.0017848549751910948
Position 319: 0.0006865609034993373
Position 524: 0.0004352734775353239
Position 828: 0.0003164654719936624
Position 512: 0.00021855713694698292
Position 760: 0.00017502709497651238
Position 310: 0.00017192442841405838
Position 651: 0.00013700922402592658
Position 117: 0.00013611925714447013
Position 569: 0.00010826521149503929
Position 534: 9.246527695173717e-05
Position 557: 7.232434361925727e-05
Position 450: 6.704091644872472e-05
Position 166: 4.416419798859341e-05
Position 342: 4.073720394771728e-05
Position 33: 2.4231505829346412e-05
Position 119: 1.7405383791879008e-05
Position 349: 1.2184921659965794e-05
Position 536: 1.0726918389477114e-05
Position 340: 9.672911531953622e-06
Position 92: 4.68850025604588e-06
Position 649: 3.2062276563153633e-06
Position 632: 2.843708123609649e-06
Position 452: 1.8059346397128148e-07
Position 661: 1.578144767915609e-07
Position 629: 8.303308013848899e-08
Position 554: 6.730300193342685e-08
Position 606: 2.828713252225472e-08
Position 356: 1.1250101759672876e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 414: 0.9108314546487468
Position 347: 0.0550702890208113
Position 596: 0.008813154175770046
Position 920: 0.006554295437982939
Position 827: 0.003727627219978149
Position 478: 0.003707457432893111
Position 742: 0.003485356258255984
Position 569: 0.003022933161436325
Position 430: 0.0028837799579204187
Position 898: 0.002559581350734101
Position 603: 0.0016369198782047636
Position 420: 0.0010818720396196559
Position 676: 0.00063860340134212
Position 435: 0.000550015274958034
Position 534: 0.0005157001204137928
Position 689: 0.0004944924258867744
Position 859: 0.00041325840602569143
Position 481: 0.00036331208027839246
Position 131: 0.0003362371997491012
Position 228: 0.00020923280733740763
Position 720: 0.0001694000457360728
Position 136: 0.00015280869221921022
Position 437: 0.00014110040777481182
Position 620: 0.00013967012296419056
Position 585: 0.00012959422617338587
Position 755: 0.00011977788306407298
Position 770: 0.00011831139276807798
Position 843: 0.0001042904214961955
Position 958: 0.00010334351472854477
Position 457: 0.00010255153791715823
Position 574: 8.879280833116405e-05
Position 310: 7.786611841372815e-05
Position 629: 7.658885289938424e-05
Position 442: 6.528051647951467e-05
Position 808: 5.5029193463417125e-05
Position 622: 5.2692427244449e-05
Position 797: 4.697444320412775e-05
Position 673: 4.509783429111878e-05
Position 139: 4.500517322912722e-05
Position 658: 4.295791833995857e-05
Position 319: 3.9914616183115705e-05
Position 697: 3.6213546704967715e-05
Position 661: 3.1977476012320986e-05
Position 493: 2.941982986949741e-05
Position 983: 2.5490097478722693e-05
Position 196: 2.5172033306411366e-05
Position 503: 1.782955482998777e-05
Position 99: 1.663739185259794e-05
Position 869: 1.4967743092149353e-05
Position 775: 1.0203493700210108e-05
Position 496: 8.893598513388342e-06
Position 133: 8.50872723746159e-06
Position 785: 7.959142351216075e-06
Position 460: 6.501254057140772e-06
Position 287: 5.893274239474922e-06
Position 692: 5.656791136884321e-06
Position 703: 4.2300514058594676e-06
Position 512: 4.198193334193516e-06
Position 326: 4.018180678596723e-06
Position 960: 3.0445283457825136e-06
Position 963: 2.633045768774416e-06
Position 966: 2.5110736586253347e-06
Position 200: 1.478092019741281e-06
Position 109: 5.135700844815369e-07
Position 144: 3.5608368907398974e-07
Position 177: 2.561302835237326e-07
Position 162: 1.285000734975339e-07
Position 152: 1.1424148290097919e-07
Position 647: 6.95592599058348e-08
Position 166: 6.39602314034279e-08
Position 101: 3.539014303756349e-08
Position 117: 3.379475545549467e-08
Position 149: 1.5306253428512816e-08
Position 240: 2.6560145033237536e-09
Position 233: 1.0590688516339576e-09
Position 450: 9.807540480677295e-10
Position 254: 1.844572261502798e-10
Position 323: 1.2784890426746005e-10
Position 508: 5.165929149602882e-11
Position 266: 4.4552956962376153e-11
Position 273: 4.081577432086804e-11
Position 264: 2.9882715856298884e-11
