Gene = Mto1
index = 723
Annotated 5SS: [  303  1411  1628  4846  9115  9399  9840 12830 13484 16795 22584]
Annotated 3SS: [ 1210  1509  4555  9001  9207  9708 12624 13311 16675 22422 25581]
SMsplice 5SS: [  303  1411  9115  9399  9840 13484 16795 18671 22584]
SMsplice 3SS: [ 1210  9001  9207  9708 13343 16675 18457 22422 25581]
top_k =  500
Partition function (log Z): 1.9210077897543765

Sorted 5' Splice Sites (High to Low Probability):
Position 9115: 0.9989315229187508
Position 16795: 0.9783135690976542
Position 9399: 0.9447143764576877
Position 22584: 0.9177030959177489
Position 9840: 0.8819622397416935
Position 1411: 0.7650598022636055
Position 303: 0.746148687278301
Position 18671: 0.6404663117229759
Position 12830: 0.6345438963501445
Position 13484: 0.617108807033933
Position 997: 0.5199170472158424
Position 13001: 0.2646040670314414
Position 13387: 0.2588631448522106
Position 25342: 0.25822531252659553
Position 3892: 0.1695049826822914
Position 5141: 0.1675747307821764
Position 3921: 0.1560691991372804
Position 4846: 0.13060330820955915
Position 1446: 0.1061764604636335
Position 11818: 0.10223272930981703
Position 22906: 0.1019842413345805
Position 1628: 0.08352835499216066
Position 5466: 0.0811261426358331
Position 1343: 0.06536402735765277
Position 433: 0.06500764228122818
Position 51: 0.06157376548246658
Position 520: 0.04693837341340922
Position 19445: 0.03351410684141539
Position 25456: 0.029615950396504484
Position 6162: 0.02714478885583352
Position 14644: 0.023426932878018218
Position 22889: 0.02241074268179227
Position 12229: 0.020438443362001756
Position 15676: 0.019839794816275638
Position 1316: 0.017687743809583333
Position 4714: 0.014669096844260092
Position 203: 0.012557322451688974
Position 1433: 0.009641058662742626
Position 57: 0.008765906145581587
Position 9427: 0.007505603724032849
Position 9533: 0.007427139572311171
Position 569: 0.0063178827430009415
Position 22762: 0.005500636622818362
Position 956: 0.005004654348901133
Position 959: 0.003947089668401357
Position 3247: 0.003704272354080168
Position 559: 0.0036047745645483562
Position 17012: 0.0034746381266110285
Position 10661: 0.003126349402237269
Position 381: 0.0030992726888299524
Position 390: 0.003039788599216363
Position 24113: 0.0029927577430851502
Position 2337: 0.0029417022192122937
Position 9263: 0.002517263801639059
Position 12743: 0.0024604037087355237
Position 11491: 0.001715230874747173
Position 337: 0.001686988349208856
Position 66: 0.0016835498929123154
Position 971: 0.0016133976323694675
Position 918: 0.001410581074205775
Position 3680: 0.0012494920621468608
Position 10458: 0.0011101796987517927
Position 584: 0.000986208149310675
