Gene = Chek1
index = 261
Annotated 5SS: [   96   862  2862  3898  4055  7155  8328 10233 12234 12976 13338 14617]
Annotated 3SS: [  779  2637  3832  3984  6965  8222 10136 12124 12797 13205 14514 16227]
SMsplice 5SS: [   96   862  7155 10233 12234 12976 13338 14617]
SMsplice 3SS: [  779  6965 10136 12124 12797 13205 14514 17409]
top_k =  500
Partition function (log Z): 7.056850847427405

Sorted 5' Splice Sites (High to Low Probability):
Position 13338: 0.9983490671205335
Position 7155: 0.960379123867893
Position 12234: 0.9395565822146529
Position 14617: 0.936654068775874
Position 10233: 0.9081669739850161
Position 12976: 0.851972848650904
Position 96: 0.7733923186985154
Position 862: 0.6666438345871613
Position 4055: 0.40654974482026135
Position 3898: 0.37315164167716386
Position 8328: 0.3723790190694205
Position 14829: 0.21392591197797564
Position 2343: 0.20406400024620602
Position 7626: 0.20358749191576628
Position 15311: 0.1518469364390958
Position 12547: 0.15084984302053436
Position 993: 0.144477005351597
Position 8366: 0.14091349006892231
Position 15273: 0.13780186629012814
Position 17516: 0.1296090610860918
Position 5417: 0.10879243899625612
Position 2862: 0.09294973012239265
Position 7680: 0.08930591540229721
Position 16303: 0.08842826897380256
Position 10560: 0.0833711663362241
Position 8502: 0.07644878959510432
Position 3946: 0.059140996749585485
Position 1187: 0.051069356805460694
Position 10468: 0.047939445615571986
Position 3902: 0.045615899359328395
Position 404: 0.04439643982404815
Position 8059: 0.04406070124430641
Position 648: 0.0439618141150401
Position 1398: 0.03556552788949316
Position 5809: 0.031356505360488444
Position 849: 0.0282380118835721
Position 7372: 0.026137547283546225
Position 276: 0.023825657571493436
Position 9685: 0.021685967525169672
Position 665: 0.021226640479826496
Position 6499: 0.017343973470297303
Position 8655: 0.015762315343609848
Position 726: 0.013750818428607712
Position 15307: 0.013641292322427181
Position 12608: 0.013327921704856607
Position 14838: 0.01327051133786537
Position 16351: 0.012766749937850482
Position 13904: 0.012724527412740702
Position 9965: 0.012505957495519998
Position 2290: 0.011890785684592592
Position 5378: 0.011582595795738969
Position 14417: 0.009636254199209054
Position 202: 0.009537033909996414
Position 17909: 0.009421105551682981
Position 8362: 0.009164809700798221
Position 4479: 0.009053195211558824
Position 17120: 0.00820269873914958
Position 2128: 0.007759592799560629
Position 11309: 0.007269354138355239
Position 644: 0.007007790014610643
Position 10210: 0.006427769516250953
Position 412: 0.006064948752453721
Position 8617: 0.005342613926654024
Position 8380: 0.005060010105441442
Position 16506: 0.004837704301571751
Position 8351: 0.004599444202244825
Position 37: 0.004516911067177609
Position 4: 0.00442335209647087
Position 7001: 0.004132997993669942
Position 10272: 0.0037166222460098715
Position 12956: 0.0032109316373627934
Position 13871: 0.0031176136745515895
Position 12944: 0.002993871584752296
Position 3597: 0.0020528005980603903
Position 289: 0.002043113878320033
Position 367: 0.0019335514889899077
Position 15035: 0.0018634437706247112
Position 2552: 0.0016827122029785511
Position 7734: 0.001560231650438329
Position 107: 0.0014663916773332095
Position 552: 0.0011675912905420812
Position 938: 0.0011368959806972827
Position 629: 0.0009090796689955127
Position 391: 0.0008987563368032512
Position 1230: 0.0008199149115770419
Position 16137: 0.0007211462469646274
Position 956: 0.0007084252598703709
Position 1402: 0.000662636237458581
Position 16547: 0.0006303973293979357
Position 14380: 0.0005204779662302385
Position 12155: 0.00047154784972143655
Position 7657: 0.00043724716662749596
Position 117: 0.00038362930336198757
Position 634: 0.00029754478273751614
Position 315: 0.000279475219154531
Position 2268: 0.0002793165181907396
Position 16159: 0.00025322072618815124
Position 657: 0.00022186577069375555
Position 14213: 0.00020681597175046555
Position 436: 0.0001956818793544904
Position 681: 0.00018555188141724618
Position 13327: 0.00015556921235205894
Position 14328: 0.00014955912826574623
Position 13342: 0.00013647495407614825
Position 12937: 0.00013503618048661028
Position 2256: 0.00010466176642792057
Position 153: 8.757513646721996e-05
Position 623: 8.407216155905425e-05
Position 13347: 7.770710818382078e-05
Position 380: 7.665024033460797e-05
Position 830: 5.660879852752147e-05
Position 236: 5.538439738111348e-05
Position 2301: 5.5231408896154024e-05
Position 184: 5.304210132008794e-05
Position 559: 4.396908350805143e-05
Position 604: 4.3338956655130124e-05
Position 589: 3.648339742649369e-05
Position 13899: 3.5260411540554494e-05
Position 752: 2.58980717725469e-05
Position 14596: 1.991762094394396e-05
Position 1052: 1.7533015811013407e-05
Position 986: 1.0838642533138066e-05
Position 55: 1.0756059743690187e-05
Position 160: 9.64106369721827e-06
Position 6: 9.461316284785402e-06
Position 445: 8.138377457972248e-06
Position 779: 6.521881485585136e-06
Position 684: 9.870446720269645e-07
Position 181: 5.550150367328549e-07
Position 158: 5.424545467863008e-07
Position 243: 5.188563237409246e-07
Position 71: 5.567258387595365e-08
Position 735: 2.1094490515065572e-08
Position 356: 1.71016127763019e-08
Position 12217: 1.2278025675897667e-08
Position 385: 5.170169966887808e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 13205: 0.9733706798085002
Position 14514: 0.945842208957665
Position 6965: 0.9403572024652331
Position 12124: 0.9343613900187292
Position 10136: 0.9039607551471731
Position 12797: 0.8554041540320879
Position 8222: 0.5952936379362672
Position 17409: 0.5376247800553456
Position 779: 0.4932374001900062
Position 3984: 0.34870667515419396
Position 3832: 0.3143740794634633
Position 15172: 0.31252559926626544
Position 7485: 0.2957656418570522
Position 14703: 0.24347039470377774
Position 16227: 0.22578450813677725
Position 3812: 0.22137752798868193
Position 18045: 0.18289781895351806
Position 2207: 0.1769878815777333
Position 897: 0.14599326155251885
Position 12462: 0.09907129850969155
Position 10356: 0.0984591297574994
Position 16388: 0.09256327834074103
Position 2637: 0.08660487281174717
Position 5318: 0.07153753694826598
Position 12449: 0.06115877124643033
Position 752: 0.05782624420129975
Position 725: 0.05342817825240852
Position 1090: 0.04149870014373987
Position 17697: 0.036632499018626925
Position 17247: 0.036202689967368556
Position 5219: 0.03604460543770668
Position 8478: 0.0343768540759286
Position 5683: 0.031356505360488444
Position 2234: 0.02911975810376458
Position 6849: 0.02839930711229245
Position 7905: 0.02747491688729804
Position 17029: 0.026696917331007083
Position 1142: 0.01954436037623043
Position 10157: 0.018306995650038488
Position 6368: 0.017343973470297303
Position 312: 0.017067875386398118
Position 7261: 0.016527547919256758
Position 662: 0.015082610454350604
Position 9584: 0.014515910591929396
Position 14807: 0.013968975372696443
Position 9829: 0.013065707910785401
