Gene = Prol1
index = 855
Annotated 5SS: [  86 1302]
Annotated 3SS: [ 1232 10494]
SMsplice 5SS: [  86 1302]
SMsplice 3SS: [ 1232 10494]
top_k =  500
Partition function (log Z): -6.783286121357282

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.8721889656341194
Position 1302: 0.7935475376106992
Position 6769: 0.4033008050781596
Position 1547: 0.2439322040708838
Position 1496: 0.16881584409682057
Position 108: 0.06771621485611534
Position 4945: 0.06735899737575667
Position 1654: 0.06253164085570256
Position 2133: 0.04618746222444174
Position 90: 0.041273261227612705
Position 10641: 0.03067365284039359
Position 9844: 0.027962898597796226
Position 6122: 0.021721507976427305
Position 1012: 0.012741150217343865
Position 6489: 0.0121912167544666
Position 37: 0.010484781986246187
Position 6076: 0.010252116306173665
Position 4686: 0.008229594868428978
Position 5573: 0.00716387251315176
Position 6327: 0.007136486532002877
Position 357: 0.005845359423741657
Position 3957: 0.004039423962735677
Position 6915: 0.0037268787826608843
Position 2528: 0.003061239166619242
Position 5007: 0.0023587137752901746
Position 6666: 0.0014134105305189416
Position 1617: 0.0013259350873331334
Position 2915: 0.0010584467284878865
Position 1145: 0.000879064332743657
Position 763: 0.0005553163966014226
Position 232: 0.0005140501924709218
Position 235: 0.00041883387160920296
Position 721: 0.00039933034063675094
Position 100: 0.00033401055670671207
Position 1793: 0.0002983377360519653
Position 323: 0.0002882572884951599
Position 298: 0.00027579221811052114
Position 368: 0.00018179790724278218
Position 348: 0.00017241391245554174
Position 223: 0.00013337417075793667
Position 96: 0.00011827098358980965
Position 917: 8.892420725744591e-05
Position 337: 7.332792309178615e-05
Position 4368: 7.1513665337299e-05
Position 1487: 5.696061834779628e-05
Position 1110: 5.3213081668141095e-05
Position 129: 5.121240791784404e-05
Position 418: 4.1899209510353266e-05
Position 345: 4.147355204922477e-05
Position 876: 3.543287626052853e-05
Position 932: 3.3652454067125576e-05
Position 339: 3.2306806170992916e-05
Position 1697: 2.92789102838755e-05
Position 1394: 6.355753163238173e-06
Position 1306: 6.192088270002409e-06
Position 1343: 4.634718408575495e-06
Position 861: 3.0630769480747563e-06
