Gene = Il18bp
index = 570
Annotated 5SS: [  46  559  869 1406 1878 2113]
Annotated 3SS: [ 490  803 1213 1753 1964 2319]
SMsplice 5SS: [ 559 1878 2113]
SMsplice 3SS: [1787 1964 2319]
top_k =  500
Partition function (log Z): 0.012642888753164883

Sorted 5' Splice Sites (High to Low Probability):
Position 1878: 0.9869755668198072
Position 559: 0.895254317671408
Position 2113: 0.8678428189616683
Position 869: 0.3849634286917612
Position 1406: 0.2395222648678887
Position 46: 0.2246557529915613
Position 212: 0.1615374735840615
Position 975: 0.16042364594682512
Position 317: 0.15591639490551798
Position 1417: 0.1514843057916542
Position 138: 0.08995606598628983
Position 1088: 0.08412606205428771
Position 1132: 0.051669299800666854
Position 1116: 0.02754633317045231
Position 2197: 0.022837908128177452
Position 374: 0.011430560944408332
Position 396: 0.009401757358624288
Position 1653: 0.008374529082232442
Position 703: 0.007311929688412824
Position 379: 0.006066519531273163
Position 1227: 0.005377207872258623
Position 190: 0.004513131475512502
Position 327: 0.004318572350318049
Position 2748: 0.003281909256757303
Position 1359: 0.0025413721926427725
Position 2085: 0.0021578334787176563
Position 2377: 0.001711165268381015
Position 1081: 0.0014203116405439322
Position 97: 0.0013377461736679241
Position 1375: 0.0012227346855494272
Position 1476: 0.000989406837748884
Position 2077: 0.0009101810267340063
Position 118: 0.0007434750544361188
Position 2483: 0.0007342866118996051
Position 85: 0.0007038299818717894
Position 1457: 0.00046586497138616603
Position 2670: 0.0003564816552650648
Position 2545: 0.000331698969299746
Position 2904: 0.00030838523941770105
Position 204: 0.00028497755365756544
Position 2230: 0.00025995022470671824
Position 1102: 0.0002571987201831551
Position 632: 0.0002464858255675228
Position 2039: 0.00019270451612718307
Position 2919: 0.00014701352807346726
Position 101: 0.00014611306281566176
Position 79: 0.0001307755520429465
Position 1051: 0.00010095477591149033
Position 601: 7.186569286784119e-05
Position 2462: 6.687143306760381e-05
Position 987: 5.817233292435109e-05
Position 238: 5.281728842461571e-05
Position 739: 4.5275961765705416e-05
Position 475: 4.2955452032873926e-05
Position 735: 3.444918986684157e-05
Position 216: 2.976699626067206e-05
Position 111: 2.883296397153388e-05
Position 577: 2.8402123407870884e-05
Position 99: 2.4756953802598495e-05
Position 285: 2.1982242224966556e-05
Position 219: 1.5673380753203516e-05
Position 231: 1.404841782547263e-05
Position 113: 1.0879101600164558e-05
Position 299: 9.489462747081358e-06
Position 151: 8.98146801733842e-06
Position 292: 8.32021406179239e-06
Position 693: 7.595530224913662e-06
Position 264: 6.433029328460768e-06
Position 465: 1.8901249321715391e-06
Position 911: 1.868487681667211e-06
Position 91: 6.930967055685205e-07
Position 2054: 5.286461660198986e-07
Position 2764: 2.9872496803502866e-07
Position 2008: 2.2257668361415692e-07
Position 1065: 1.7949210612169626e-07
Position 886: 1.36494743759071e-07
Position 2205: 7.504996395085346e-08
Position 2188: 3.4230411941074395e-08
Position 268: 1.569100529957304e-09
Position 459: 1.352039882627674e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1964: 0.9718957704621031
Position 1787: 0.6876284858682026
Position 803: 0.5749722548622249
Position 2319: 0.4541996338989163
Position 450: 0.3069210351684735
Position 1213: 0.284058150511293
Position 2850: 0.1533323226016033
Position 1753: 0.13334473503983477
Position 3013: 0.12814330260829007
Position 490: 0.1077322922201046
Position 1805: 0.10669670587605538
Position 947: 0.06096957814858225
Position 1725: 0.05934891172368346
Position 2596: 0.05187475930371223
Position 1265: 0.05013400603741545
