Gene = Pgap2
index = 813
Annotated 5SS: [  230 13129 16084 25985 26181 26869]
Annotated 3SS: [13016 15908 25731 26085 26759 27038]
SMsplice 5SS: [  230 12369 13129 26181 26869]
SMsplice 3SS: [12219 13016 26085 26759 27038]
top_k =  500
Partition function (log Z): -16.454295498657448

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9620413053145371
Position 13129: 0.6431369288438153
Position 12440: 0.5987255349222749
Position 2081: 0.34018813095900957
Position 12369: 0.27798901717860375
Position 16084: 0.17928616221841528
Position 1905: 0.15594874782745355
Position 12936: 0.11796920283645125
Position 15499: 0.07360065099855517
Position 1594: 0.03938373819711165
Position 10770: 0.03772718048216816
Position 102: 0.03183933668803052
Position 834: 0.031213611279511607
Position 14123: 0.02680393265644867
Position 12453: 0.022941371865006367
Position 7990: 0.022549657631596807
Position 567: 0.016366043621609334
Position 8189: 0.010327184505383072
Position 2077: 0.009299870193352464
Position 586: 0.008800343252487039
Position 1808: 0.0033534823270216963
Position 1815: 0.002667530481508626
Position 1837: 0.0025235776082168145
Position 1064: 0.0014322783706269917
Position 118: 0.0010539474234779113
Position 1295: 0.0005253346171567113
Position 991: 0.0004743762343532595
Position 52: 0.00046505071158741557
Position 1038: 0.0004481699320514735
Position 779: 0.0002474847337241388
Position 1563: 0.00022653870594136705
Position 627: 0.00020903954953524685
Position 608: 8.071431425794502e-05
Position 213: 3.349044381641071e-05
Position 591: 1.9378409290299003e-05
Position 236: 1.7829654928904378e-05
Position 1335: 9.75442461698889e-06
Position 24: 7.0334564541423976e-06
Position 1344: 5.789194038738939e-06
Position 405: 4.875690788189035e-06
Position 143: 4.632603228619923e-06
Position 580: 4.5133525144703135e-06
Position 145: 4.273212292067436e-06
Position 1207: 3.3967961988156853e-06
Position 135: 2.678090484785593e-06
Position 258: 1.8550452912822262e-06
Position 1021: 1.4673673216920345e-06
Position 1300: 1.3923516479375268e-06
Position 1107: 1.3049818137497847e-06
Position 856: 1.2672892845287752e-06
Position 536: 1.0159310748182948e-06
Position 1051: 9.911948478138284e-07
Position 645: 7.668429708187149e-07
Position 75: 7.379268092908358e-07
Position 106: 7.199735147504203e-07
Position 29: 6.448545533427199e-07
Position 619: 5.457442314921866e-07
Position 376: 5.199468137872931e-07
Position 1318: 4.725591210034919e-07
Position 600: 4.332447980176519e-07
Position 529: 4.282949151264801e-07
Position 351: 3.5077399834147245e-07
Position 1733: 2.8548135861010326e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 13016: 0.736766258963232
Position 15908: 0.5653041135439487
Position 12419: 0.39167209828722954
Position 12219: 0.38102533458554677
Position 1975: 0.3151940642191753
Position 19529: 0.24583720238035445
Position 1764: 0.1550035334106517
Position 12309: 0.14881599708698978
Position 17230: 0.1318127685601756
Position 12823: 0.095401585303565
Position 15457: 0.07990976942299169
Position 716: 0.0397010885718443
Position 10520: 0.03921629065965289
Position 1441: 0.03856891607786888
Position 15721: 0.03552994557152865
Position 14043: 0.03466330406779253
Position 7893: 0.030010889984873685
Position 12869: 0.0296826297914443
Position 1904: 0.022845261152966215
Position 431: 0.013109711972094614
Position 15062: 0.012175751915177318
Position 14077: 0.007793881464487959
Position 14491: 0.0057131219077027826
Position 13656: 0.0055541977306517755
Position 1979: 0.005483410094111634
Position 8073: 0.005410725306484056
Position 1867: 0.00447330711090667
Position 386: 0.004261066335019785
Position 1334: 0.003891364003512688
Position 463: 0.003381793895181753
Position 1617: 0.0033608173188100386
Position 1593: 0.0029548670802175348
Position 13852: 0.0028170455205228043
Position 1742: 0.00239536327107766
Position 1614: 0.002300637012995468
Position 1487: 0.0017779125393309995
Position 347: 0.0011951269850900212
Position 7538: 0.0011258118557768242
Position 5668: 0.001033518389060959
Position 7010: 0.0009423315349131821
Position 8260: 0.0008560885307515734
Position 1925: 0.0008151661531356023
Position 1672: 0.0007987125618725297
Position 3715: 0.0007248288702864933
Position 4514: 0.0006568599551494516
Position 988: 0.0006043577427436751
Position 1103: 0.0005907640197808889
Position 2845: 0.0004082367500802292
Position 556: 0.00040177149659673567
Position 5240: 0.000401350168925753
Position 1644: 0.00039042138829147185
Position 2451: 0.0003888724641247623
Position 5384: 0.000365662327692746
Position 1822: 0.00033682370323594613
Position 2058: 0.00033586367316777076
Position 171: 0.00029675966618868235
Position 5046: 0.0002948383954604353
Position 1181: 0.0002814997982355993
Position 3519: 0.0002370990916443641
Position 6488: 0.00023263368639960815
Position 4396: 0.00022336617697215716
Position 2267: 0.0002019200052555847
Position 2768: 0.00020033330813463813
Position 499: 0.00018698065587179354
Position 5161: 0.0001588388474976893
Position 436: 0.0001562712865053129
Position 296: 0.00011778141827960093
Position 4873: 0.00011660517336693901
Position 1721: 0.0001006469139963605
Position 1107: 9.67446181024709e-05
Position 150: 9.112979218908592e-05
Position 935: 8.882255521070063e-05
Position 517: 8.177120235923198e-05
Position 1143: 5.6804655362383706e-05
Position 2146: 5.620684638791288e-05
Position 6432: 5.411628411857288e-05
Position 252: 4.4024486946893985e-05
Position 5076: 4.359351804559942e-05
Position 505: 4.270436135513862e-05
Position 178: 3.7228785944560474e-05
Position 5267: 3.629715608905527e-05
Position 4365: 3.2959881793571335e-05
Position 2309: 2.9195882470228305e-05
Position 681: 2.493863899235504e-05
Position 4678: 2.382252086013246e-05
Position 358: 2.3804840392751836e-05
Position 4204: 1.880902689161336e-05
Position 3311: 1.7888610830531466e-05
Position 3333: 1.5236280475024856e-05
Position 3546: 1.4374334861743115e-05
Position 2567: 1.3733821511118969e-05
Position 317: 1.353737461407197e-05
Position 831: 5.0018675284532535e-06
Position 1534: 4.474450135117509e-06
Position 392: 3.258940010136536e-06
Position 875: 2.5305705232863156e-06
Position 723: 2.4713473974469253e-06
Position 990: 2.2843108868289414e-06
Position 206: 1.97704165996116e-06
Position 465: 1.0376075826093102e-06
Position 1934: 8.105934875302153e-07
Position 309: 5.062937546061148e-07
Position 471: 3.147417010425526e-07
Position 944: 2.8643356269432615e-07
Position 192: 2.2730689194192352e-07
Position 1010: 2.1730469431377446e-07
Position 135: 1.9042728796840482e-07
Position 311: 1.3815661841559812e-07
Position 580: 1.1561692181559208e-07
Position 209: 8.036016672803872e-08
Position 480: 5.676711145980923e-08
Position 396: 4.4367222336193796e-08
Position 213: 2.5284116302380932e-08
Position 443: 2.036716517978936e-08
Position 938: 1.4343530523659121e-08
Position 1410: 1.1558448131816798e-08
Position 118: 9.415730735913797e-09
Position 483: 7.3748708261716125e-09
Position 113: 6.721437456346055e-09
Position 752: 5.899302632595243e-09
Position 726: 5.540768962458153e-09
Position 778: 5.246246791672271e-09
Position 115: 4.169998714053166e-09
Position 787: 3.959323516045433e-09
Position 122: 1.96923469352665e-09
Position 94: 1.8264377283148864e-09
Position 220: 1.1520295002902414e-09
Position 613: 7.326929780153561e-10
Position 591: 2.4188998425068348e-11
