Gene = Eif3k
index = 370
Annotated 5SS: [ 141 1371 3945 4614 7212 7666 9283]
Annotated 3SS: [ 1271  3823  4538  7144  7587  9156 10375]
SMsplice 5SS: [ 141 1371 6726 7212 7666 9283]
SMsplice 3SS: [ 1271  6635  7144  7587  9156 10375]
top_k =  500
Partition function (log Z): 0.2338066494827753

Sorted 5' Splice Sites (High to Low Probability):
Position 7666: 0.9256320658972415
Position 7212: 0.9199436685096666
Position 1371: 0.9120542317833976
Position 9283: 0.9025678367746177
Position 6726: 0.5608199892784517
Position 141: 0.5470801488031058
Position 131: 0.2992450933872145
Position 3945: 0.2736416154578092
Position 4614: 0.20170878448237073
Position 3925: 0.17719095588759587
Position 8438: 0.14522211820254635
Position 1496: 0.08437576266113317
Position 3983: 0.0777897088990919
Position 601: 0.07669863028476502
Position 112: 0.05377555906390513
Position 3919: 0.03907705196096077
Position 2875: 0.02631171799503481
Position 7706: 0.025406028241738262
Position 635: 0.021899630915019012
Position 7687: 0.01663863364878855
Position 8393: 0.01568690310511803
Position 9785: 0.015572408115571985
Position 3824: 0.015135166093861918
Position 4333: 0.014040281522480668
Position 120: 0.012436503252195481
Position 9637: 0.01146928711823438
Position 8653: 0.010826219471952659
Position 497: 0.008560227525416788
Position 492: 0.008525813272256528
Position 562: 0.008452869322642607
Position 858: 0.007975500169847445
Position 385: 0.0072732599883238444
Position 1142: 0.006392286248564126
Position 9989: 0.005707013385389961
Position 8404: 0.005338542826912686
Position 7676: 0.004797143950588267
Position 6734: 0.004158734783539175
Position 6803: 0.0029387431693328834
Position 2871: 0.0028129630734565524
Position 250: 0.0019138700588214937
Position 7786: 0.0016676916416745729
Position 299: 0.001445631286002146
Position 3620: 0.0013743389049291482
Position 10012: 0.0013729765395846438
Position 7216: 0.0013180546346611532
Position 240: 0.0012556283588717747
Position 6739: 0.0011983466622347704
Position 3553: 0.0011022764212973023
Position 8330: 0.0010467134430319931
Position 539: 0.0009678872796812408
Position 802: 0.0009673266523637529
Position 180: 0.0009044159870763819
Position 6973: 0.0008680967596109214
Position 2245: 0.0008270092886630047
Position 2076: 0.0008056511896480969
Position 4091: 0.0007226547475847363
Position 404: 0.0006675058612925616
Position 507: 0.0006414238783337549
Position 9216: 0.0006357054028363777
Position 9327: 0.00056729373954162
Position 2582: 0.0005226059093697552
Position 10284: 0.000522160736505993
Position 9307: 0.0005172008459590554
Position 76: 0.00047585652694960773
Position 2133: 0.000443119755102768
Position 3603: 0.00042319573786795545
Position 9789: 0.00042302469888266586
