Gene = Mlec
index = 680
Annotated 5SS: [ 377 7364 7972 8111]
Annotated 3SS: [ 7184  7794  8052 10034]
SMsplice 5SS: [ 377 7364 7724 7972 8111]
SMsplice 3SS: [ 7184  7610  7794  8052 10034]
top_k =  500
Partition function (log Z): 1.0289061440053238

Sorted 5' Splice Sites (High to Low Probability):
Position 7972: 0.9808087824237682
Position 7364: 0.9190111442594182
Position 377: 0.8863078850366056
Position 8111: 0.8661870179488151
Position 7724: 0.8533368794667756
Position 13257: 0.7268431123646694
Position 5894: 0.4506344545524779
Position 13606: 0.29902729264278577
Position 12216: 0.28855631010923805
Position 9790: 0.2176601173644077
Position 12090: 0.21080712512669592
Position 5877: 0.12484443624174851
Position 1020: 0.12080055424680708
Position 8155: 0.11092675059608949
Position 5590: 0.09307969211261355
Position 7683: 0.07967316009321129
Position 10261: 0.07959105561574417
Position 890: 0.0732367679695299
Position 3089: 0.06454506921847528
Position 367: 0.06281355546355265
Position 10145: 0.051191555387418326
Position 62: 0.03288037503946391
Position 11904: 0.0295058351887071
Position 1045: 0.02912686000618207
Position 1015: 0.028091444017085593
Position 7337: 0.02542953556445715
Position 7286: 0.024501753234969424
Position 977: 0.02374283166395329
Position 11823: 0.019813246591071094
Position 13911: 0.018505838448455266
Position 7258: 0.016026664861444842
Position 13629: 0.01455125208561254
Position 12627: 0.014543911196931308
Position 14167: 0.013703686353041205
Position 9847: 0.011242866787958833
Position 7606: 0.00816604532548258
Position 111: 0.006240339473086992
Position 11552: 0.006024292538464174
Position 3352: 0.005704617360367978
Position 7930: 0.005505738764347839
Position 6612: 0.005055170732874486
Position 10803: 0.004857427529333614
Position 8296: 0.004580224374584634
Position 727: 0.004424321069559191
Position 5796: 0.004069755547647539
Position 5460: 0.0037561081243243123
Position 9940: 0.003682655948227802
Position 1005: 0.003222805223518982
Position 3695: 0.003109190864559866
Position 9600: 0.0030958985647495706
Position 6414: 0.002941471849972943
Position 9485: 0.0022025324471910174
Position 9926: 0.001959009288484712
Position 2238: 0.001835333451379152
