Gene = Pign
index = 820
Annotated 5SS: [   144   4351   4757   6042   6978   7710  10540  14361  15535  16946
  19165  22979  25461  26134  64595  65976  72022  74418  74595  75664
  78655  83722  97496 105656 106181]
Annotated 3SS: [  4276   4636   5792   6855   7610  10432  14235  15403  16828  19123
  22918  25367  26077  64515  65792  71881  74317  74501  75571  78545
  83612  97392 105552 106093 109743]
SMsplice 5SS: [   144   4351   4757   7710  10540  14361  15535  16946  25461  26134
  26889  48432  64595  65976  72022  74418  74595  78655 105656]
SMsplice 3SS: [  4276   4636   7610  10432  14235  15403  16828  25367  26077  26784
  48325  64515  65792  71881  74317  74501  78545 105552 106093]
top_k =  500
Partition function (log Z): -36.84347915827891

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.986855211032389
Position 16946: 0.9759886791215266
Position 4351: 0.9358469583427341
Position 7710: 0.9073388897373079
Position 25461: 0.7912035802911777
Position 26134: 0.7706943210537238
Position 26889: 0.770579627329548
Position 4757: 0.7592597435794345
Position 10540: 0.7454350968908685
Position 15535: 0.6073976241183937
Position 6042: 0.5949817523312688
Position 14361: 0.5381765271389808
Position 22979: 0.44451991048629147
Position 6978: 0.3326288175409309
Position 18629: 0.3173935570059353
Position 6727: 0.21871540884736027
Position 10666: 0.14238658388338363
Position 15857: 0.13550131228913692
Position 10518: 0.1243889459308338
Position 9986: 0.0979527232581006
Position 8256: 0.08540675351156156
Position 15626: 0.0765453222251588
Position 4728: 0.062151263572170455
Position 7211: 0.058992636842146194
Position 5330: 0.05585062710589137
Position 6959: 0.0468779308380701
Position 7735: 0.04640789717044129
Position 15892: 0.04116513981828325
Position 14657: 0.03425212508691005
Position 501: 0.029752539297133295
Position 9584: 0.02595959844657499
Position 15875: 0.024639098030836595
Position 14686: 0.023722239264225956
Position 17318: 0.01948365295946364
Position 1120: 0.019148103406292753
Position 6067: 0.018383990507258564
Position 9503: 0.016821984533044995
Position 10534: 0.01652062762201149
Position 29962: 0.016439907893299723
Position 444: 0.01417646430017513
Position 27189: 0.013987355491993874
Position 27214: 0.013448233077728107
Position 19165: 0.012624896278789627
Position 5778: 0.011707901797039478
Position 5805: 0.011095553144504645
Position 3842: 0.011044026242927114
Position 9370: 0.010877676983886832
Position 2856: 0.010352259489218571
Position 3569: 0.010139320534881289
Position 2434: 0.009478379899179266
Position 377: 0.009151544407777913
Position 1163: 0.008007777982552672
Position 7217: 0.0073836404812992395
Position 4949: 0.007007412832158938
Position 2375: 0.006808700933465432
Position 1145: 0.00615931731681381
Position 2111: 0.0058823477077552125
Position 17: 0.005707120837216909
Position 2419: 0.005603998699119765
Position 5583: 0.0055425988603825995
Position 3743: 0.00461331316931824
Position 10275: 0.00435802283240769
Position 7115: 0.004064658817754392
Position 407: 0.004046256470944512
Position 9278: 0.004016804686403423
Position 4544: 0.0036815379198384865
Position 7972: 0.003633621623133697
Position 260: 0.0034313108172746337
Position 8453: 0.003210300063103314
Position 4923: 0.0031090173901240892
Position 1294: 0.0028394539672442864
Position 3838: 0.002558795863947308
Position 10056: 0.002551370813057326
Position 172: 0.002512060032122647
Position 10946: 0.0021962200522567528
Position 14117: 0.001967528991185733
Position 508: 0.0019085584717806615
Position 9971: 0.0018304122525700562
Position 2545: 0.001767852751719353
Position 9274: 0.0015784541584863568
