Gene = Msantd1
index = 717
Annotated 5SS: [  16 2828 6592]
Annotated 3SS: [2562 6315 8235]
SMsplice 5SS: [  16 2828 6592]
SMsplice 3SS: [2562 6315 8235]
top_k =  500
Partition function (log Z): -1.5691609343260966

Sorted 5' Splice Sites (High to Low Probability):
Position 2828: 0.9883745684249857
Position 6592: 0.81757460996746
Position 16: 0.6995486539360495
Position 2511: 0.2520257215024802
Position 6782: 0.21698823077032658
Position 5873: 0.1420029054047407
Position 202: 0.1314384922564888
Position 8079: 0.12839479924204567
Position 1208: 0.12768310819226483
Position 6797: 0.12353559408769728
Position 5533: 0.11840200205141808
Position 3691: 0.09683475926956563
Position 852: 0.09546107732951542
Position 3410: 0.09467696651259795
Position 6823: 0.08443819137436226
Position 3598: 0.0830020303232808
Position 252: 0.08243366269297149
Position 3378: 0.04630352674856445
Position 62: 0.04261630025399622
Position 4655: 0.034897335220875174
Position 139: 0.021479417612542878
Position 5303: 0.021196650288733347
Position 5024: 0.017076369290837775
Position 5258: 0.015724002166561415
Position 5165: 0.01437750164878172
Position 1191: 0.01372294460790868
Position 5696: 0.012498278724154707
Position 3780: 0.012093188428991467
Position 4495: 0.011466380016726226
Position 5438: 0.010602109818041296
Position 7934: 0.008289030141042897
Position 4817: 0.007662271604026293
Position 6770: 0.006749956688009911
Position 6100: 0.005751129627284821
Position 6756: 0.004777437556772991
Position 7312: 0.004691794342435942
Position 5424: 0.00417602966674724
Position 6411: 0.0041700418837660085
Position 7047: 0.003996757664405421
Position 6511: 0.0038041043011660144
Position 1581: 0.0029822454766921525
Position 3911: 0.0027591576108899653
Position 6011: 0.0026124412726055857
Position 6398: 0.002090869793330857
Position 4113: 0.0020844650977573076
Position 890: 0.0014571986086415283
Position 8369: 0.0014209877909547933
Position 5846: 0.0011466416253138358
Position 4996: 0.001099222983737052
Position 1837: 0.0010968895865324573
Position 6597: 0.0010509808567726602
Position 3406: 0.0009872255746526874
Position 229: 0.00094127900900873
Position 1748: 0.0006975273412793492
Position 1797: 0.0006942919766480592
Position 362: 0.0006628628429425286
Position 3275: 0.0005444395505815422
Position 6586: 0.00044964319227410024
Position 2146: 0.0003525152937439874
Position 2866: 0.00034658875115931313
Position 585: 0.00033553630823545967
Position 2335: 0.0003298142199313414
Position 2441: 0.0003074897377564234
Position 2135: 0.00029036805797040224
Position 1084: 0.0002674569482676402
Position 161: 0.0001952672225511313
Position 248: 0.00017467333231703156
Position 2727: 0.0001739277970508968
Position 2059: 0.0001693193214812648
Position 2855: 0.00016437249085503108
Position 2036: 0.0001638317951348349
Position 2563: 0.00016331806315957013
Position 6502: 0.00016203216949820158
Position 1518: 0.0001373512441291557
Position 1031: 0.0001229430657502419
Position 4790: 8.907188851578642e-05
Position 937: 7.806406304506367e-05
Position 283: 2.4262944058419423e-05
Position 259: 1.8271333370715756e-05
Position 402: 1.5407131074825466e-05
Position 600: 9.268689008406134e-06
Position 241: 5.824979340485437e-06
Position 318: 4.824602452712049e-06
Position 655: 4.312258561764692e-06
Position 1003: 3.2229380546323155e-06
Position 243: 3.207506864115835e-06
Position 716: 2.7631754493402305e-06
Position 512: 2.4497805069337772e-06
Position 632: 2.4038709152226113e-06
Position 371: 2.0115573492816873e-06
Position 955: 2.009967511720162e-06
Position 50: 1.8019206077615889e-06
Position 1387: 1.644844982395377e-06
Position 93: 1.1346630342899574e-06
Position 522: 1.0597098056942516e-06
Position 1423: 6.135369303199761e-07
Position 10: 7.263119031814512e-08
Position 103: 5.7020883683829244e-08
Position 8: 5.268013062279989e-08
Position 231: 5.397043679778284e-10
Position 440: 1.2333683643104562e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 8235: 0.9790817995776634
Position 6315: 0.8028526753217495
Position 2615: 0.5915486684766983
Position 6667: 0.45778337763985893
Position 2562: 0.38168367862139524
Position 5680: 0.15398371713973516
Position 3499: 0.148520446572529
Position 7916: 0.11421885873204961
Position 5349: 0.10497615002580764
Position 2438: 0.09285357148760874
Position 2412: 0.08909296540352175
Position 744: 0.0771322539836059
Position 3338: 0.0745134603915839
Position 5023: 0.047253784548477035
Position 2327: 0.046977546368077064
Position 4595: 0.041490725657001876
Position 1014: 0.037349920060328584
Position 1049: 0.03201076734524023
Position 5402: 0.03145663448904367
Position 3513: 0.028979590669681518
Position 1083: 0.027125168541043222
Position 7832: 0.024072678635345242
Position 2350: 0.02310225028300646
Position 6460: 0.021535493329431804
Position 975: 0.01599955379230184
Position 4371: 0.015997535441768875
Position 3160: 0.015565445964481823
Position 3214: 0.015511378514629037
Position 4901: 0.014737249717308882
Position 3257: 0.012719808165816757
Position 3618: 0.011982828281697859
Position 3309: 0.011919655161211894
Position 2444: 0.008793754013603368
Position 6490: 0.006796755669645411
Position 6011: 0.005768842582915745
Position 113: 0.004806516615983567
Position 135: 0.004324091100190563
Position 3226: 0.003777213241241916
Position 3163: 0.003678370541852631
Position 228: 0.003415358198429549
Position 1494: 0.0033703144940579943
Position 1190: 0.0032499575082014114
Position 5100: 0.0030342808836531826
Position 3582: 0.002532807950023064
Position 1054: 0.002174055687415416
Position 2580: 0.002117726132442368
Position 3955: 0.0020879920810739218
Position 1129: 0.0020858428325648075
Position 2976: 0.0018007270986281619
Position 7017: 0.001704404268050489
Position 3809: 0.0016609256367808914
Position 117: 0.00163259242398863
Position 3313: 0.0014851628821563696
Position 8452: 0.00135799636918227
Position 2708: 0.0013499546192386794
Position 2583: 0.0012873004263418836
Position 2464: 0.0012798683096043285
Position 801: 0.0012506726638090058
Position 5148: 0.001241473856833116
Position 549: 0.0012202157206559537
Position 1089: 0.0012150558949802531
Position 5369: 0.001183186723149834
Position 8287: 0.0011273026469688125
Position 2684: 0.0010319810355571037
Position 3084: 0.000883389044822746
Position 1721: 0.0008453709787037032
Position 769: 0.0006285996957861813
Position 750: 0.0006231361954117768
Position 3758: 0.0005318363271732574
Position 1707: 0.0005296223755327541
Position 1664: 0.0005207164609178617
Position 8242: 0.0005185232844928346
Position 1817: 0.0004968128578203957
Position 655: 0.0004924001029471819
Position 495: 0.00046001407093412865
Position 3520: 0.00042824500920512343
Position 1057: 0.0004126666815659348
Position 2621: 0.0003997540637650938
Position 1865: 0.00039197141674766087
Position 2649: 0.0003186103029206027
Position 979: 0.0002980224611730172
Position 5175: 0.00029498756875067435
Position 4803: 0.0002880521593417658
Position 2927: 0.00025294452322447076
Position 1060: 0.00019251417480199376
Position 3166: 0.00019049118905907933
Position 1574: 0.0001886396194480968
Position 7357: 0.00017009755303720367
Position 1017: 0.00016683064915378075
Position 8204: 0.00014080488540424576
Position 138: 0.0001387398146142822
Position 3041: 0.00011347670868728843
Position 955: 9.346648186719163e-05
Position 1765: 9.302669591893015e-05
Position 2082: 8.7250193762431e-05
Position 2902: 8.231175528066324e-05
Position 981: 8.059749084934637e-05
Position 8240: 7.050900304046335e-05
Position 8464: 6.299142177252219e-05
Position 1296: 6.149282866606834e-05
Position 3119: 5.795827115721913e-05
Position 3130: 4.4379011621103104e-05
Position 4597: 4.2818243473184955e-05
Position 2523: 3.0938446272175594e-05
Position 993: 2.8464252384806543e-05
Position 2822: 2.446525290808403e-05
Position 7420: 1.828782885227587e-05
Position 6099: 1.828494560113395e-05
Position 772: 1.5476176787135084e-05
Position 708: 1.131750077428564e-05
Position 3552: 1.1208449222611416e-05
Position 4221: 1.0513780303631651e-05
Position 777: 1.048545799192878e-05
Position 715: 1.0438644143373676e-05
Position 765: 9.764837912822218e-06
Position 152: 9.563991599076345e-06
Position 422: 9.05902535228416e-06
Position 6134: 8.017537816847975e-06
Position 902: 5.730704195591952e-06
Position 122: 5.644361611571229e-06
Position 823: 4.34858816673749e-06
Position 551: 4.242826193448079e-06
