Gene = Prc1
index = 849
Annotated 5SS: [  142  5984  6710 10145 10402 11618 12073 13246 15039 16438 16731 17878
 18759]
Annotated 3SS: [ 5850  6586  9910 10230 11467 11924 13108 14942 16290 16619 17766 18581
 20663]
SMsplice 5SS: [  142  5984 10402 11618 12073 13246 15039 16438 16731 17878 18682]
SMsplice 3SS: [ 5850 10230 11467 11924 13108 14942 16290 16619 17766 18581 20663]
top_k =  500
Partition function (log Z): 7.555904133420748

Sorted 5' Splice Sites (High to Low Probability):
Position 10402: 0.991820566098933
Position 16438: 0.9670550443311686
Position 142: 0.9597263954847322
Position 5984: 0.893523740756218
Position 11618: 0.8827487460215888
Position 13246: 0.8691882964676061
Position 12073: 0.8483664904367239
Position 16731: 0.7889685203505309
Position 17878: 0.7784000818036578
Position 15039: 0.6705339291454845
Position 18682: 0.6349021622636226
Position 6710: 0.433136820245133
Position 7025: 0.41373352285348153
Position 8043: 0.3087488617029371
Position 18759: 0.20202689343963542
Position 8280: 0.19863611166747716
Position 5773: 0.16843036661744717
Position 6684: 0.14408831393766253
Position 1647: 0.12577726448644388
Position 9322: 0.10750711158040023
Position 768: 0.10088011974773423
Position 8070: 0.0993068309304999
Position 12165: 0.09917589269138702
Position 2880: 0.09421883753562364
Position 18999: 0.09145586461301154
Position 5391: 0.07941204756974989
Position 9372: 0.07777921912334536
Position 10050: 0.06885667717472552
Position 16722: 0.05509789856245346
Position 14437: 0.04615520150500638
Position 19944: 0.03842534497584024
Position 20883: 0.03513178202356916
Position 6959: 0.03504186942691986
Position 17586: 0.03459800735334643
Position 9187: 0.03412173208621172
Position 19299: 0.03370226666998124
Position 3625: 0.03203740112600695
Position 11641: 0.0278588855679005
Position 18435: 0.027605652812157884
Position 19119: 0.025341081674962015
Position 177: 0.020771215182573608
Position 17538: 0.01711932362343557
Position 20439: 0.01583018714339911
Position 7716: 0.015823157715113882
Position 6715: 0.015345360430304869
Position 8289: 0.01459178400676767
Position 14251: 0.013849265873907193
Position 12085: 0.013676540464377456
Position 17558: 0.012008109272590658
Position 15613: 0.011466992443835616
Position 14472: 0.010579225145590109
Position 1684: 0.007030969437353991
Position 387: 0.006740508132890508
Position 1467: 0.006584785759220467
Position 195: 0.005891187915565154
Position 9031: 0.004749017758342433
Position 16377: 0.004326439543675566
Position 6695: 0.004243963719538683
Position 18686: 0.003926552085938425
Position 19798: 0.003917696087814561
Position 1460: 0.0037475546692224393
Position 11979: 0.003594661621542776
Position 7598: 0.0029282280982575407
Position 44: 0.0029069324096470148
Position 9351: 0.0027726556244444724
Position 12118: 0.002771595021782522
Position 10330: 0.002727645665676454
Position 6011: 0.00253905610586074
Position 15051: 0.0023915729060617306
Position 984: 0.0019040285995764032
Position 3507: 0.001490279776345449
Position 2700: 0.001451095816010761
Position 13410: 0.001307631764628127
Position 1690: 0.0011094227872281179
Position 441: 0.0010639278834969348
Position 5963: 0.0009603182609851657
Position 447: 0.0008849930689348677
Position 344: 0.0008734835402111127
Position 3821: 0.0008169854136196762
Position 15959: 0.0007839054995306145
Position 16167: 0.0006151825706841407
Position 17063: 0.0005654465399170676
Position 92: 0.0005297756261061476
Position 3124: 0.0005284466253097523
Position 1484: 0.0004981533167621206
Position 188: 0.0004956572968353
Position 18901: 0.00047720135109123303
Position 4934: 0.0004652287783980702
Position 1437: 0.0003630285651069492
Position 1045: 0.00035013561358264623
Position 76: 0.00034852704275130576
Position 99: 0.0003404712845423923
Position 148: 0.0003183021045158032
Position 9811: 0.00022782061088045497
Position 11502: 0.00022279587781776165
Position 348: 0.00020997232611661047
Position 11836: 0.00020517697079491695
Position 563: 0.0001972977601044197
Position 426: 0.00019105561662825695
Position 1374: 0.00018702994281600443
Position 209: 0.0001500048529778331
Position 399: 0.00013498188618881973
Position 1397: 0.0001331859997061496
Position 183: 0.00012313360746957197
Position 469: 8.834499926088018e-05
Position 10676: 8.069198829471155e-05
Position 1199: 7.25306726410548e-05
Position 69: 5.15196714510131e-05
Position 478: 4.544653833288456e-05
Position 124: 4.3974942029319395e-05
Position 10955: 4.1540829502435705e-05
Position 1255: 3.7473676924620285e-05
Position 85: 3.2482903268964784e-05
Position 933: 3.2134947614634216e-05
Position 18728: 3.0081551311023308e-05
Position 13158: 2.2912039228629765e-05
Position 614: 2.0982584793556357e-05
Position 63: 1.6295075701704863e-05
Position 49: 1.4674886176714692e-05
Position 571: 1.4416007377200698e-05
Position 275: 1.271577959789236e-05
