Gene = Mitd1
index = 679
Annotated 5SS: [  248  5193  7846  8709  9475 10848 11143]
Annotated 3SS: [ 5090  7708  8621  9358 10786 11043 15281]
SMsplice 5SS: [  248  5193  7846  9475 11170 14704 14875 15097]
SMsplice 3SS: [ 5090  7708  9358 11043 14582 14773 14952 15281]
top_k =  500
Partition function (log Z): 5.951861993743844

Sorted 5' Splice Sites (High to Low Probability):
Position 5193: 0.9979326113932105
Position 7846: 0.9800451893283413
Position 14704: 0.9542356947058827
Position 248: 0.8796294909006979
Position 14875: 0.8762224884387058
Position 9475: 0.7405152439485023
Position 10848: 0.4874790389539238
Position 11170: 0.42273991793743315
Position 11174: 0.40289644733497104
Position 15097: 0.26947787553869007
Position 8673: 0.21524936301425818
Position 11439: 0.21108334854470462
Position 15018: 0.1662399615107991
Position 4914: 0.16268664864932386
Position 15196: 0.15367254030899147
Position 8709: 0.11801218244848936
Position 15084: 0.10126982821588527
Position 10277: 0.09234476431194541
Position 3345: 0.08761994960003533
Position 14988: 0.08274956227145906
Position 13999: 0.07138353621417697
Position 15007: 0.06258679703120797
Position 10411: 0.05819716629434542
Position 11875: 0.05675608414722092
Position 8702: 0.05571111616481664
Position 2948: 0.05335792314049425
Position 186: 0.0525285297200046
Position 8068: 0.05029914427047882
Position 5640: 0.04864983878397247
Position 5447: 0.044185609096553204
Position 10605: 0.04168237903740318
Position 11639: 0.03716630154080505
Position 3033: 0.031979399171973594
Position 202: 0.031958377216501174
Position 815: 0.027757578177919014
Position 3591: 0.026564460775545657
Position 6002: 0.023499423899045607
Position 8713: 0.022986235297587455
Position 148: 0.020759160760624406
Position 5946: 0.020383992991735416
Position 10909: 0.019865616741585428
Position 8487: 0.01902864947439538
Position 2194: 0.018376431330332198
Position 13887: 0.017697006152013074
Position 9961: 0.01569195190557086
Position 12881: 0.014114797087416519
Position 15377: 0.013037435673699341
Position 5805: 0.012988581959877154
Position 4708: 0.010733371530358277
Position 5769: 0.010421769401997493
Position 6214: 0.010341331628111692
Position 1034: 0.009988906474183613
Position 2959: 0.009101278849683607
Position 15187: 0.008591738502960806
Position 746: 0.00829744730849621
Position 2130: 0.006892689467926297
Position 6004: 0.005879364484913847
Position 8390: 0.005800277470233847
Position 3189: 0.005406473692421939
Position 238: 0.005082374088771254
Position 5841: 0.0049908078229855485
Position 3303: 0.00467372478126833
Position 4010: 0.004555947506977752
Position 10236: 0.004234823536000529
Position 10873: 0.004222337648947127
Position 2911: 0.003975100509197372
Position 5877: 0.003897707659192096
Position 8535: 0.0034198833484078745
Position 11143: 0.00301212667865858
Position 373: 0.002943856112537911
Position 4987: 0.0029388093536279205
Position 9790: 0.0027000653073662247
Position 51: 0.002529447899691501
Position 6770: 0.0021735629502440757
Position 14901: 0.002043032918937683
Position 6008: 0.0018353255561171509
Position 5421: 0.0017368951661645227
Position 6541: 0.001730289021185206
Position 6038: 0.001560307369790793
Position 47: 0.0015406626152264693
Position 15077: 0.001462615589526669
Position 7998: 0.0014467871162770812
Position 2101: 0.0013549477111786444
Position 2944: 0.0013414012431615652
Position 1339: 0.0012448899639345974
Position 7950: 0.0010376577763724555
Position 7581: 0.0009426642341239077
Position 3324: 0.0008923013383736857
Position 1166: 0.0008787949700589664
Position 4392: 0.0008592225964392962
Position 7466: 0.000813591978534587
Position 3352: 0.000796945871207846
Position 15049: 0.0007958867978514917
Position 6669: 0.0006372097536128517
Position 15461: 0.000601311551903254
Position 1495: 0.0005892979077406096
Position 3996: 0.0005818508933053495
Position 4032: 0.0005525177850469289
Position 1287: 0.0005491467812250626
Position 1061: 0.0005442508915857025
Position 75: 0.0005240770245853602
Position 15119: 0.0004726636921380978
Position 27: 0.0004517233644977383
Position 1176: 0.0004315840928061695
Position 1196: 0.00040478061247656565
Position 94: 0.0003822501257990976
Position 2408: 0.0003490388757810667
Position 2837: 0.0003438991678076525
Position 15201: 0.0003045916105316628
Position 2135: 0.0002946010012498089
Position 1148: 0.0002937594711835068
Position 3645: 0.0002787595690837273
Position 256: 0.0002591579936968709
Position 14992: 0.00023687274194395937
Position 11161: 0.00021137431442268316
Position 454: 0.00020049895630342522
Position 15028: 0.00010676560466695846
Position 5733: 9.44081893057828e-05
Position 142: 4.8007810563940806e-05
Position 5225: 4.103054351216433e-05
Position 5470: 3.060038684326278e-05
Position 11229: 2.550885615928918e-05
Position 5649: 2.2034793431010322e-05
Position 8026: 1.9320374298465084e-05
Position 11241: 1.9036062757671803e-05
Position 5695: 1.4470066223089809e-05
Position 5335: 1.2725143173673049e-05
Position 163: 1.2245939095471844e-05
Position 105: 1.1874942639582836e-05
Position 5809: 9.45741623808526e-06
Position 85: 4.3786073593464975e-06
Position 15072: 3.89534873099823e-06
Position 5486: 3.6693602116738958e-06
Position 5516: 3.362921254887599e-06
Position 262: 1.8295508661531595e-06
Position 579: 1.7722279032636973e-06
Position 180: 1.231054605979211e-06
Position 986: 3.2960052609459393e-07
Position 20: 1.4243596645853157e-07
Position 376: 1.2864525866556395e-07
Position 398: 9.851429566747681e-08
Position 341: 5.948137307311308e-08
Position 562: 2.1836132446617147e-08
Position 88: 2.037137264357681e-08
Position 206: 1.9728286095613246e-08
Position 273: 1.2871118070782569e-08
Position 204: 1.266717255132825e-08
Position 920: 1.2504946357233594e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5090: 0.9945324364762628
Position 7708: 0.9575688454488384
Position 14582: 0.9471431583123138
Position 14952: 0.9219701727114796
Position 15281: 0.8480705700944522
Position 11043: 0.8205973833358601
Position 9358: 0.7266331406024557
Position 14773: 0.4677711003968073
Position 14794: 0.4227834753116384
Position 8530: 0.28801920407877185
Position 11290: 0.23573964719811527
Position 10786: 0.21707530797608027
Position 4893: 0.1608105475540446
Position 10604: 0.15044759965908394
Position 13784: 0.08908054236619008
Position 10644: 0.08859544112830192
Position 10156: 0.07160494220430556
Position 8621: 0.06699954505352011
Position 11799: 0.05675608414722092
Position 5928: 0.05605626481607699
Position 5355: 0.05453581599166541
Position 10698: 0.053992113373413815
Position 10318: 0.05190178209937934
Position 2795: 0.04844240890785229
