Gene = Smco4
index = 988
Annotated 5SS: [  198 32273]
Annotated 3SS: [32195 51106]
SMsplice 5SS: [  198  6187 27448 32273 46591]
SMsplice 3SS: [ 6057 27315 32195 46434 51394]
top_k =  500
Partition function (log Z): -28.959932902385233

Sorted 5' Splice Sites (High to Low Probability):
Position 6187: 0.6841008843352925
Position 198: 0.6739253511949096
Position 718: 0.3066731558418605
Position 675: 0.29868662008637853
Position 1912: 0.20251713264231266
Position 7767: 0.08169624459367875
Position 3196: 0.0805591684057528
Position 1714: 0.029495188930469946
Position 7308: 0.016398312155331204
Position 1413: 0.015471391191779172
Position 2102: 0.01442719725369644
Position 12852: 0.012934104826705007
Position 6872: 0.010144010982068912
Position 1146: 0.004484456208267428
Position 4098: 0.003485916440590059
Position 3083: 0.002872584937604615
Position 1386: 0.002797437525174973
Position 477: 0.002740309179427813
Position 1585: 0.00196260991548418
Position 171: 0.000907021420160081
Position 1377: 0.0007240142830937777
Position 1907: 0.0006981651544226634
Position 181: 0.0006739687904184295
Position 2144: 0.0005131395098474606
Position 963: 0.00043652168798031957
Position 1420: 0.0003135292391314335
Position 4275: 0.00031205084371943624
Position 2607: 0.0002625315460695294
Position 383: 0.00023259475417083847
Position 253: 0.00017913788542712968
Position 2620: 0.00017615253315725324
Position 2050: 0.00014122340906925205
Position 1621: 0.00010245747486061011
Position 51: 9.497136230946748e-05
Position 1695: 9.31505109596395e-05
Position 345: 6.3863626928988e-05
Position 651: 6.108078576728833e-05
Position 277: 4.2042877246827604e-05
Position 694: 3.438503155915541e-05
Position 102: 3.079068843547841e-05
Position 1370: 3.0294400312938114e-05
Position 247: 2.9281127405466602e-05
Position 16: 2.5519288680527864e-05
Position 1416: 2.467334678020751e-05
Position 469: 2.324985947515468e-05
Position 614: 1.6480406223382218e-05
Position 7: 1.6467380925530553e-05
Position 23: 1.588479879313189e-05
Position 1771: 1.4183796976390911e-05
Position 679: 1.2356015082016385e-05
Position 45: 9.152251330819603e-06
Position 410: 9.049117489548793e-06
Position 1865: 8.981183163454448e-06
Position 3231: 7.805209842511755e-06
Position 1384: 5.782697035179388e-06
Position 487: 4.725405329787624e-06
Position 1659: 4.640277827152806e-06
Position 1703: 3.88159048171268e-06
Position 1594: 3.3599785205996794e-06
Position 1633: 3.220610689923284e-06
Position 947: 3.0004395475881713e-06
Position 1757: 2.3165706615902034e-06
Position 30: 2.219158083378949e-06
Position 1224: 1.9384772455708707e-06
Position 561: 1.481884809153909e-06
Position 2319: 5.974484389739664e-08
Position 683: 2.6506529750740865e-08
Position 623: 2.6209299517564172e-08
Position 587: 2.2590679079619688e-08
Position 593: 2.09001558148888e-08
Position 729: 1.89014113040451e-08
Position 722: 7.864477716937521e-09
