Gene = Sct
index = 954
Annotated 5SS: [116 299 514]
Annotated 3SS: [196 408 609]
SMsplice 5SS: [116 299]
SMsplice 3SS: [196 609]
top_k =  500
Partition function (log Z): -1.567336987481367

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.9986220220781976
Position 299: 0.8793988588405106
Position 514: 0.20672362519002682
Position 314: 0.006247049377625989
Position 285: 0.003562118273268195
Position 559: 0.0020735931520818674
Position 280: 0.000907036183474774
Position 336: 0.00031831343026502817
Position 125: 0.00012608176162145856
Position 88: 7.06464768619495e-05
Position 546: 5.9756626329420675e-05
Position 404: 3.055958423500405e-05
Position 399: 1.4465935607341326e-05
Position 393: 1.347274125063367e-05
Position 670: 1.075386458567665e-05
Position 563: 1.0186055717665626e-05
Position 518: 9.16812043283983e-06
Position 362: 6.934446289590272e-06
Position 253: 4.810381944575133e-06
Position 580: 2.770519760089399e-06
Position 451: 2.171115061427286e-06
Position 487: 2.1133367200376247e-06
Position 68: 8.162277518931431e-07
Position 484: 4.3318313100862697e-07
Position 684: 3.1941393079826226e-07
Position 221: 6.921329803258534e-08
Position 387: 2.300540506769948e-08
Position 136: 1.1023041709056732e-08
Position 13: 3.7036639042351475e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 196: 0.9888405417208028
Position 609: 0.9011054212785541
Position 434: 0.0677111149769119
Position 457: 0.03595209769701848
Position 441: 0.011608579419637772
Position 621: 0.01107222330284217
Position 436: 0.01064167271768687
Position 408: 0.010278913755514972
Position 669: 0.009745472889801852
Position 415: 0.00959947221716707
Position 689: 0.008762179965469902
Position 422: 0.007926897096902965
Position 591: 0.006205676664257084
Position 205: 0.005148515655607966
Position 499: 0.004542117480905952
Position 508: 0.0019527111779061063
Position 464: 0.0018865648666900664
Position 532: 0.0015083902077717712
Position 472: 0.001195768362842772
Position 229: 0.0005989452587231901
Position 466: 0.00032067988896834255
Position 412: 0.0002914993072203055
Position 708: 0.0001827737806833478
Position 787: 0.00016659813607752032
Position 213: 0.00015012846941934129
Position 253: 0.0001347415280344728
Position 546: 0.00013415581219006524
Position 558: 0.0001216208688584415
Position 248: 7.409508995858381e-05
Position 233: 6.5401373115536e-05
Position 717: 5.897613017576356e-05
Position 278: 5.421944381742914e-05
Position 554: 2.8001689062653733e-05
Position 691: 2.7948832798869675e-05
Position 739: 2.6266585178216924e-05
Position 756: 2.391507870304877e-05
Position 730: 2.0826709402549958e-05
Position 722: 1.1547251027856232e-05
Position 732: 1.0790997277499661e-05
Position 346: 9.88741438414092e-06
Position 298: 5.031110395502718e-06
Position 238: 4.5305596980882824e-06
Position 327: 3.4132201339741983e-06
Position 313: 3.3826037981856315e-06
Position 259: 1.8926595322990222e-06
Position 753: 1.036566400194546e-06
Position 317: 5.808830610901565e-07
Position 266: 4.680890412027082e-07
Position 336: 3.6327161694138726e-07
Position 293: 1.256921550967135e-07
Position 518: 4.112429958640295e-09
Position 303: 6.014343351442203e-11
Position 115: 8.078138941591399e-13
Position 88: 2.0954902710219907e-13
Position 120: 1.1806850386111299e-15
Position 123: 8.896181620519867e-16
