Gene = Vgf
index = 1179
Annotated 5SS: [  71 2286 3328 4070]
Annotated 3SS: [2207 3230 3867 4573]
SMsplice 5SS: [  71 2286]
SMsplice 3SS: [2207 4573]
top_k =  500
Partition function (log Z): -6.165456631548349

Sorted 5' Splice Sites (High to Low Probability):
Position 71: 0.9702344095962309
Position 2286: 0.7963376163569037
Position 4448: 0.18151007331893546
Position 1684: 0.15333624022166026
Position 4849: 0.11830811782052526
Position 4070: 0.10456227544796245
Position 314: 0.10449308224390624
Position 3328: 0.10412020399006423
Position 336: 0.10228561279852823
Position 1000: 0.030027501787737103
Position 117: 0.022952446678834882
Position 4723: 0.020727247043160615
Position 4453: 0.013093965562415232
Position 693: 0.011915507754576055
Position 4771: 0.011096120789406774
Position 3244: 0.00944861067592192
Position 3334: 0.004615371253291908
Position 4950: 0.003976887257871329
Position 793: 0.00296540050746427
Position 4493: 0.0028094476768558765
Position 3518: 0.0027473883730720398
Position 2466: 0.002539761620617455
Position 2137: 0.002401821056704008
Position 82: 0.001875540329769967
Position 348: 0.0018189194673502852
Position 500: 0.0016696595891990984
Position 546: 0.00148289206907724
Position 2017: 0.001384939328210994
Position 3511: 0.0012723922810543868
Position 1954: 0.001185365588130936
Position 1799: 0.001107225454902379
Position 353: 0.001065561659012621
Position 321: 0.0009608400847680319
Position 5378: 0.0008140817058929167
Position 2389: 0.0006878175050977033
Position 355: 0.000603121550559237
Position 1664: 0.0005595383568281166
Position 1860: 0.00045368345027510775
Position 272: 0.0003462220730115778
Position 677: 0.0003178927490440494
Position 1957: 0.00031415052287377533
Position 1006: 0.00030988361398377544
Position 398: 0.0002867042426471323
Position 1104: 0.00026312862376657036
Position 523: 0.0002627258546916458
Position 1023: 0.00022383266558289474
Position 200: 0.00020836264215722238
Position 4653: 0.00019238339056651844
Position 3012: 8.822983294187462e-05
Position 1656: 8.759568808635239e-05
Position 2290: 6.792766698730952e-05
Position 2292: 6.622627245850191e-05
Position 3727: 3.922872969337772e-05
Position 2374: 3.534230997410743e-05
Position 112: 3.455131073543801e-05
Position 3376: 2.8946286875893876e-05
Position 627: 2.488035224450228e-05
Position 4009: 2.4394469186918813e-05
Position 246: 1.9200619561298792e-05
Position 518: 1.3009330362888587e-05
Position 800: 1.0959905850620613e-05
Position 393: 8.505116887080389e-06
Position 75: 2.9333101412728134e-06
Position 139: 7.465212776551262e-07
Position 9: 6.542532563775332e-07
Position 136: 1.4207499924825435e-07
Position 396: 8.401620770851958e-08
Position 216: 6.948405653333441e-08
Position 3549: 5.697201461115362e-08
Position 1702: 4.480757840872777e-08
Position 141: 4.2856638611610425e-08
Position 1700: 4.2300624190035874e-08
Position 490: 1.3690092751396646e-08
Position 476: 1.1308957502637328e-08
Position 542: 9.24687662728681e-09
Position 534: 8.22218884973049e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2207: 0.5323131954662151
Position 4573: 0.44639795900723384
Position 4703: 0.28281196069676007
Position 2113: 0.25009341546806246
Position 180: 0.20729700457005704
Position 3230: 0.16017194401554904
Position 1603: 0.1589936104075878
Position 4296: 0.15052652295777905
Position 6126: 0.09946346119122834
Position 5025: 0.06298116211743908
Position 3867: 0.042287547427676854
Position 2136: 0.03375245672574362
Position 942: 0.026062902701619275
Position 3932: 0.0257328684707131
Position 3427: 0.023453478651582257
Position 4402: 0.02139839759470202
Position 6004: 0.020083283274999367
Position 3982: 0.01767149527533559
Position 203: 0.01739705440401307
Position 4265: 0.016154988502267993
Position 3726: 0.014862636279241767
Position 3156: 0.014516252450836221
Position 4752: 0.011496547120939574
Position 6267: 0.010953898237567868
Position 4860: 0.00975507119897288
Position 4223: 0.009562233962889435
Position 6001: 0.007949270025783413
Position 3893: 0.007605177488326533
Position 5616: 0.007268324217121436
Position 216: 0.00680127795984878
Position 5829: 0.00652010485372737
Position 1798: 0.005582587530054567
Position 5298: 0.00545437641809039
Position 6736: 0.00544907999939688
Position 474: 0.0052634321996457845
Position 691: 0.005181925228016397
Position 2028: 0.005061054542518415
Position 2512: 0.004293896456726939
Position 5604: 0.004164940208234885
Position 191: 0.0038067787635236105
Position 3871: 0.0031843652470364583
Position 3873: 0.003116009329925164
Position 3455: 0.002869661410113903
Position 5436: 0.0025801262168574637
Position 6145: 0.0025712431589882253
Position 409: 0.0025137973867497823
Position 4987: 0.0023632795107382536
Position 4650: 0.0023267924675908066
Position 4722: 0.0021423091740415253
Position 1489: 0.0021415453852228162
Position 676: 0.0018593032418543812
Position 3243: 0.0017265255406712118
Position 3096: 0.0016674708443846623
Position 444: 0.001613851466606146
Position 3623: 0.0015601164881710037
Position 1878: 0.0014700633135656732
Position 2630: 0.0014020386459978862
Position 2458: 0.0011786148652641103
Position 2592: 0.0011208608950941275
Position 2909: 0.001014880428960656
Position 1827: 0.0009433575613026818
Position 3488: 0.0009118895276881693
Position 2209: 0.000881463400509124
Position 4583: 0.0007382553504199761
Position 2079: 0.0005721343672018151
Position 3327: 0.0005688944064180235
Position 393: 0.0005456858067158743
Position 5550: 0.0005295912270091819
Position 1624: 0.000483036132850623
Position 5377: 0.00047180531035791157
Position 3082: 0.00046767761067494074
Position 1441: 0.00045255551539075887
Position 826: 0.0003308572149496586
Position 2828: 0.00032578243222909295
Position 3706: 0.00025104164934799825
Position 848: 0.00020715969588582694
Position 819: 0.0001522364914296343
Position 1850: 0.00012606828292719514
Position 2743: 0.0001085531717273877
Position 225: 0.0001084813239220723
Position 852: 6.98500012038567e-05
Position 636: 6.392167217556683e-05
Position 856: 6.003148831290046e-05
Position 365: 5.4894580167352257e-05
Position 562: 5.3908545642483066e-05
