Gene = Selenot
index = 962
Annotated 5SS: [  238  8706  9443 11898 13685]
Annotated 3SS: [ 8594  9315 11809 13530 14058]
SMsplice 5SS: [  238  8706  9443 10169 11898 13685]
SMsplice 3SS: [ 8594  9315 10027 11809 13530 14058]
top_k =  500
Partition function (log Z): -0.2324565061439554

Sorted 5' Splice Sites (High to Low Probability):
Position 8706: 0.9942022982892349
Position 11898: 0.9567651363925074
Position 238: 0.9288589546511496
Position 13685: 0.8951850262737622
Position 9443: 0.8157729426519065
Position 6507: 0.40944700989446586
Position 10169: 0.32926796215647147
Position 9723: 0.31188099051564466
Position 10126: 0.218391412016686
Position 10134: 0.14610327643226087
Position 5337: 0.04889143531245534
Position 2489: 0.047004548179054736
Position 681: 0.04475628422447744
Position 1994: 0.037184828178415376
Position 6446: 0.03659624155366107
Position 13072: 0.034933388397588964
Position 10194: 0.02951731137332133
Position 242: 0.02488130992295784
Position 4980: 0.02464324373321713
Position 11328: 0.018237563746812402
Position 5395: 0.013551811732341396
Position 16269: 0.010376794887965102
Position 7109: 0.009216122494854928
Position 9844: 0.008888973638218596
Position 3237: 0.008608255897152342
Position 1203: 0.0076894769006379295
Position 10964: 0.007621024412526641
Position 11874: 0.007199512550671648
Position 14126: 0.0071762607154021735
Position 202: 0.0058144711646191186
Position 7130: 0.005176054109252102
Position 5799: 0.004903026984907556
Position 9826: 0.00415763473502738
Position 9686: 0.003811548946872567
Position 15274: 0.003255478831725335
Position 9084: 0.00298128751703203
Position 15041: 0.002741265073855314
Position 6909: 0.0027159977175048493
Position 4568: 0.002471027225958818
Position 1392: 0.0023280256874163366
Position 5026: 0.002302074393658418
Position 9529: 0.0022275907563925647
Position 4895: 0.0022128689276349977
Position 358: 0.0022076999161350446
Position 11922: 0.0021268273468625083
Position 13689: 0.00212256990736709
Position 13415: 0.002102083306340889
Position 10827: 0.0017059300130325568
Position 11862: 0.001646245064420001
Position 12446: 0.0016393657265389146
Position 10691: 0.0015901605160207684
Position 14231: 0.0015765398425957864
Position 5294: 0.0015749528300075442
Position 5276: 0.0014942630038283068
Position 2161: 0.0014929697280070314
Position 1200: 0.001435746590150778
Position 10256: 0.0014326977006025162
Position 11949: 0.0012201308321759875
Position 11474: 0.0011765666161070026
Position 11556: 0.0011526353918903122
Position 11397: 0.0010752956345091236
Position 8652: 0.0009728500413129831
Position 13620: 0.0008378006672679843
Position 13292: 0.0006052235809753286
Position 13339: 0.000533378185277503
