Gene = Gba
index = 426
Annotated 5SS: [ 159  614 1249 1494 2653 3037 3441 4524 5060 5501]
Annotated 3SS: [ 543 1056 1346 2518 2863 3205 4298 4895 5383 5588]
SMsplice 5SS: [ 159  433  614 1249 1494 2653 3037 3441 4524 5060 5501]
SMsplice 3SS: [ 263  543 1056 1346 2518 2863 3205 4298 4855 5383 5588]
top_k =  500
Partition function (log Z): 18.565127186529686

Sorted 5' Splice Sites (High to Low Probability):
Position 1494: 0.9899603858782013
Position 1249: 0.9792185116825438
Position 5060: 0.9544780798318303
Position 5501: 0.9306826416123366
Position 4524: 0.8913423307600554
Position 3441: 0.6920856506246408
Position 3037: 0.6746177707793385
Position 159: 0.659689471850061
Position 614: 0.6543083090922822
Position 2653: 0.573567528582035
Position 233: 0.3132052338488127
Position 433: 0.3047306146005225
Position 2768: 0.21665142325995587
Position 3517: 0.1776006907632399
Position 3084: 0.1488500564039359
Position 2713: 0.10730802829845187
Position 2988: 0.1034381165666382
Position 3290: 0.05743336290516749
Position 2542: 0.03538346924093993
Position 2454: 0.03082691727214839
Position 448: 0.023388792910553003
Position 3600: 0.0230496889410353
Position 3885: 0.022487710727261665
Position 2963: 0.016225865137370073
Position 66: 0.010717140056264786
Position 645: 0.01030089529287045
Position 800: 0.007850926809711665
Position 1513: 0.007582686200360528
Position 3438: 0.006971337484667717
Position 671: 0.006139866847577287
Position 2977: 0.005359445604979997
Position 376: 0.005074387775950777
Position 598: 0.0047065257077460515
Position 4325: 0.004209591999874828
Position 3838: 0.00407872583608024
Position 2707: 0.003943011269560421
Position 4968: 0.003639596717293248
Position 1882: 0.0032453539337401324
Position 4475: 0.0029896080475184245
Position 701: 0.002921943839501431
Position 5522: 0.0027177202066459827
Position 687: 0.002193856677204457
Position 3227: 0.0021122232089178464
Position 1516: 0.0019189296505154737
Position 3836: 0.0018028306061567926
Position 2196: 0.0017706389049864948
Position 1101: 0.001646346100806912
Position 4827: 0.0016075843978251981
Position 4832: 0.0015654349676353149
Position 496: 0.0014443321819878198
Position 4171: 0.001373565883353064
Position 4352: 0.0012740878012831233
Position 4797: 0.0012345239984136612
Position 712: 0.0008915903614379673
Position 3072: 0.0008000053859056838
Position 402: 0.0007625133335806214
Position 2471: 0.0007203809015166578
Position 3941: 0.0007028829831661695
Position 922: 0.0006773460503489489
Position 3346: 0.0006701470322525678
Position 3131: 0.0006681036217689176
Position 4454: 0.0006009612073669906
Position 752: 0.0004601000876897708
Position 1523: 0.00043824355089379233
Position 5428: 0.0004206829194243369
Position 415: 0.0003894418456627584
Position 308: 0.00037091141581360607
Position 2776: 0.000361210619534577
Position 1198: 0.00030498585497226434
Position 352: 0.0002848972944294106
Position 1215: 0.0002782117180894702
Position 1162: 0.00022765449710930574
Position 3127: 0.00022130176714948058
Position 4002: 0.0002185868948737305
Position 3384: 0.00017068088964432033
Position 25: 0.00012663765187547594
Position 340: 0.00011915948417900675
Position 331: 0.00010725267600042652
Position 663: 9.646647785287327e-05
Position 2555: 9.098064582667952e-05
Position 2240: 8.545925665927982e-05
Position 3075: 8.0312526813261e-05
Position 485: 7.378844695268189e-05
Position 2665: 7.334456373179698e-05
Position 865: 7.116903637933908e-05
Position 3047: 6.0412844982294316e-05
Position 1213: 5.696163897225335e-05
Position 1192: 3.9783045751369675e-05
Position 618: 3.7247968435410076e-05
Position 647: 3.721432012351212e-05
Position 1111: 2.8371344716567096e-05
Position 2213: 2.4188330123582936e-05
Position 4980: 2.3904193114362893e-05
Position 2816: 1.7599073586897672e-05
Position 1264: 1.674513653740531e-05
Position 5510: 1.5368224663242568e-05
Position 70: 1.4906842843893083e-05
Position 1121: 1.34221024608842e-05
Position 128: 1.0230852145377413e-05
Position 29: 1.0074161933436404e-05
Position 137: 9.677568549864273e-06
Position 1143: 8.507277095286314e-06
Position 121: 7.833162856336861e-06
Position 50: 6.2514278727518225e-06
Position 488: 5.908253807927917e-06
Position 187: 4.95532158160547e-06
Position 1830: 4.896010857228036e-06
Position 5539: 4.713144503224105e-06
Position 2246: 4.674696128813053e-06
Position 237: 4.277984339226736e-06
Position 505: 4.178302099638855e-06
Position 5544: 3.908338032079762e-06
Position 3032: 3.3558116316837365e-06
Position 56: 3.062439387911541e-06
Position 1057: 2.5281775812640148e-06
Position 19: 1.3532683556706139e-06
Position 1126: 1.2392851436913669e-06
Position 2229: 1.1428458192476326e-06
Position 1780: 1.1321005613815017e-06
Position 2922: 1.0097401915809331e-06
Position 1623: 9.077111138739209e-07
Position 2112: 8.456383392917423e-07
Position 1444: 6.515279753421082e-07
Position 4443: 6.294006650750935e-07
Position 2155: 5.826946188144909e-07
Position 4502: 5.503430941418464e-07
Position 54: 5.490261711190049e-07
Position 105: 2.975867658301611e-07
Position 2143: 2.1359848169865636e-07
Position 1858: 2.118825336548247e-07
Position 1834: 1.4099749004745069e-07
Position 1388: 4.84029147124839e-08
Position 988: 4.2173146294182586e-08
Position 983: 4.025361884489872e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5588: 0.9854712892367564
Position 1346: 0.9809708717124586
Position 2863: 0.9179033982286335
Position 4298: 0.876461281519048
Position 1056: 0.7295725600951244
Position 5383: 0.6962168775001776
Position 3205: 0.6030678510515909
