Gene = Tnp1
index = 1130
Annotated 5SS: [185]
Annotated 3SS: [583]
SMsplice 5SS: [185]
SMsplice 3SS: [583]
top_k =  500
Partition function (log Z): -6.4038876757841035

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.7068455102425462
Position 196: 0.27992817607807546
Position 164: 0.011922939461121454
Position 125: 0.0009273753930247074
Position 422: 0.0001854101962461094
Position 189: 6.769896132989706e-05
Position 154: 5.583786853180642e-05
Position 266: 3.034720870936187e-05
Position 269: 2.354338731419065e-05
Position 41: 2.321811238919343e-05
Position 464: 2.1904041662888507e-05
Position 48: 4.1273093491173685e-06
Position 299: 3.3338370172725876e-06
Position 215: 2.961779041581409e-06
Position 376: 2.352830053809515e-06
Position 505: 2.179970725818741e-06
Position 115: 1.2591506470594045e-06
Position 328: 1.2243782476165625e-06
Position 541: 8.114686070764606e-07
Position 370: 3.3511093439777995e-07
Position 384: 2.4161224788473285e-07
Position 635: 2.0280059695871271e-07
Position 342: 1.7589181634914126e-07
Position 394: 1.2269922751135994e-07
Position 320: 1.1782208925810445e-07
Position 336: 8.214840799949853e-08
Position 638: 5.264281056274408e-08
Position 360: 4.353821264457282e-08
Position 396: 4.3422813389497004e-08
Position 562: 3.849312255613519e-08
Position 413: 3.6176278239461325e-08
Position 354: 1.3541391061370525e-13
Position 347: 5.716556165181995e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 583: 0.9560424120195219
Position 587: 0.030495362160198092
Position 518: 0.004998083047580384
Position 464: 0.003092197252848204
Position 416: 0.002121838447071193
Position 370: 0.000997350364671224
Position 421: 0.0005582110989246846
Position 375: 0.000503939193646041
Position 659: 0.0002831379733921025
Position 624: 0.0002287761504015336
Position 241: 0.0001894865837994192
Position 668: 9.223410314175089e-05
Position 259: 7.74869028990807e-05
Position 438: 6.363739099773957e-05
Position 394: 6.20092704885838e-05
Position 730: 5.068361859968423e-05
Position 477: 3.872078468818379e-05
Position 525: 3.610759099923893e-05
Position 662: 3.5385313401069555e-05
Position 746: 1.0508353823710936e-05
Position 676: 9.989088059056702e-06
Position 297: 7.920988153763783e-06
Position 702: 7.5402150228744725e-06
Position 290: 7.172550945843723e-06
Position 692: 6.417954659798935e-06
Position 284: 5.994220956963208e-06
Position 503: 5.719830906223056e-06
Position 706: 5.2969679667635345e-06
Position 305: 4.393311249556466e-06
Position 714: 2.6874198837206884e-06
Position 720: 2.6202902419085858e-06
Position 276: 2.474167708011404e-06
Position 694: 1.012099608446505e-06
Position 111: 9.919625154389349e-07
Position 226: 8.85378470224552e-07
Position 266: 7.301788104617068e-07
Position 269: 4.882172782319146e-07
Position 255: 4.863900495964071e-07
Position 299: 4.109934015127001e-07
Position 732: 3.4526319888877464e-07
Position 678: 3.4502240169113095e-07
Position 167: 7.981115713577942e-08
Position 120: 5.948136744467235e-08
Position 124: 2.278653625929631e-08
Position 137: 2.265820793466749e-08
Position 189: 1.0483548907036359e-08
Position 131: 9.918410931112513e-09
Position 135: 4.254255775788628e-09
Position 122: 1.9287945940117117e-09
Position 152: 1.314107472736617e-09
Position 150: 9.802277995286263e-10
Position 164: 2.8023029145857504e-10
Position 207: 2.078278377402863e-12
Position 215: 1.8832135077756407e-12
