Gene = Dcps
index = 324
Annotated 5SS: [  291  4985 39718 46601 49755]
Annotated 3SS: [ 4809 39571 46486 49643 51216]
SMsplice 5SS: [  291  4985 14289 37372 37698 39718 40948 46601 49755]
SMsplice 3SS: [ 4809 14195 37207 37571 39571 40853 46486 49643 51216]
top_k =  500
Partition function (log Z): -23.984139423828125

Sorted 5' Splice Sites (High to Low Probability):
Position 4985: 0.7845792461209611
Position 14289: 0.7150201596564699
Position 291: 0.5181092025650496
Position 1885: 0.5091202726792319
Position 72: 0.4227219646110282
Position 4879: 0.21539591486195495
Position 10155: 0.19920340397059882
Position 6833: 0.17324221242179008
Position 18421: 0.13898113605346932
Position 18645: 0.06272364487444451
Position 8236: 0.05979827172546197
Position 1811: 0.056517686943270376
Position 18376: 0.052851566296417345
Position 7228: 0.05128852873810782
Position 10372: 0.04768747200475095
Position 4138: 0.04686875304058084
Position 397: 0.042624905737115054
Position 12804: 0.0401393052881926
Position 10504: 0.022715358210812088
Position 13950: 0.022170452156851792
Position 6165: 0.01845942605586492
Position 3962: 0.014058497616636623
Position 1863: 0.010835929036570737
Position 2655: 0.008977933220177035
Position 7065: 0.007688329656144073
Position 1785: 0.00696247390478016
Position 3399: 0.006912122915669394
Position 1771: 0.005474119735284057
Position 2704: 0.005029766374854811
Position 234: 0.0042594449907489805
Position 5914: 0.0039056237717799472
Position 564: 0.0033600720058475997
Position 4444: 0.0031866004354901833
Position 243: 0.003148477170538492
Position 706: 0.0031271957988932646
Position 4267: 0.003060715527888394
Position 640: 0.002965779619058841
Position 3226: 0.0028911826649156832
Position 1615: 0.0027787536709992
Position 968: 0.0024802890563967316
Position 22: 0.00247869712337073
Position 3664: 0.0019877406575799154
Position 207: 0.0019185492963166289
Position 4692: 0.001916597915707007
Position 590: 0.001695387427108243
Position 1437: 0.0016493250923483107
Position 1749: 0.0015926919221151748
Position 656: 0.0014687033201471779
Position 3753: 0.0013866100593847522
Position 3183: 0.0013622835974810331
Position 643: 0.0013429077876985877
Position 592: 0.0012035944568474612
Position 4306: 0.0010425689947919884
Position 77: 0.0009809957585846997
Position 1508: 0.0009069841192365922
Position 443: 0.0008993684386396357
Position 2441: 0.0007613449574504932
Position 1842: 0.0006353926340820723
Position 469: 0.0006173719834638022
Position 894: 0.0005702772456367475
Position 218: 0.0005302576653530021
Position 424: 0.00047542108678391194
Position 671: 0.0003969882907806072
Position 1248: 0.0003954777119359489
Position 1827: 0.0003621026166639362
Position 1929: 0.00033993980325515546
Position 5944: 0.0002738178304210462
Position 383: 0.00020649386641762387
Position 356: 0.00019726706693788164
Position 3793: 0.0001895915857084394
Position 3807: 0.00018502758560156587
Position 5237: 0.00017662998900415313
Position 3098: 0.00014589019123841305
