Gene = Tfpt
index = 1076
Annotated 5SS: [ 333 1057 5286 8822 9108]
Annotated 3SS: [ 797 5214 8751 8900 9409]
SMsplice 5SS: [ 113 1057 5286 8822]
SMsplice 3SS: [ 797 5214 8751 9409]
top_k =  500
Partition function (log Z): -2.7451434445594627

Sorted 5' Splice Sites (High to Low Probability):
Position 5286: 0.9860295663629259
Position 8822: 0.7638905036316461
Position 1057: 0.5764588399109094
Position 5949: 0.4477594468431776
Position 113: 0.40114274825559504
Position 1061: 0.31196021024219045
Position 9108: 0.31182855073776655
Position 333: 0.21665397936881212
Position 9339: 0.17759937693531866
Position 201: 0.14637516572951026
Position 1813: 0.13131965366188883
Position 1758: 0.09688123381218222
Position 184: 0.09021680967922999
Position 5483: 0.08180091862857394
Position 3187: 0.07953857242591843
Position 9138: 0.06334193761026352
Position 5758: 0.062219029345603714
Position 253: 0.040175109969332906
Position 132: 0.03570771363138972
Position 8844: 0.03251318986060367
Position 9217: 0.030625173214789334
Position 6029: 0.028936623437165795
Position 1649: 0.027753209174321516
Position 5490: 0.02371672288467382
Position 7863: 0.02063428263930857
Position 890: 0.01810419113682043
Position 7966: 0.01793802658207277
Position 647: 0.016518575050211624
Position 1638: 0.015481260754110103
Position 9069: 0.015132097905662301
Position 7198: 0.01497316497486071
Position 1919: 0.013377424025919151
Position 2988: 0.012460245253887843
Position 3812: 0.01141858592779377
Position 6162: 0.011321538077800905
Position 1827: 0.011311902489740637
Position 3680: 0.010421072533567529
Position 6262: 0.010016423429824579
Position 3485: 0.008716029805721075
Position 1817: 0.006280763575051933
Position 3958: 0.00605449395527053
Position 9172: 0.005477997653028451
Position 2815: 0.004794080459047983
Position 33: 0.004385436330589234
Position 475: 0.0033111853715884964
Position 1929: 0.0030775398332283962
Position 104: 0.002909612178956545
Position 5762: 0.0027888859916608087
Position 5994: 0.002696446581517617
Position 413: 0.002502770651256453
Position 4532: 0.002320569335112851
Position 5649: 0.0022974897066764836
Position 121: 0.0020380326844705193
Position 2133: 0.0018482188386002908
Position 3742: 0.0017687414191694464
Position 179: 0.0016608117251414958
Position 4343: 0.001633628606808032
Position 3710: 0.001528588631925862
Position 5423: 0.001483219982485652
Position 1031: 0.0014736434529039086
Position 291: 0.0014135667976954121
Position 3772: 0.001221455965029029
Position 1017: 0.001173820298329035
Position 3545: 0.0011608197608688595
Position 4413: 0.0011407742176787596
