Gene = Mnd1
index = 685
Annotated 5SS: [  125 14088 17618 21769 39360 50852 62232]
Annotated 3SS: [14021 17559 21619 39284 50736 62186 67611]
SMsplice 5SS: [  125 13931 14088 17363 17618 21769 33517 39360 45491 50852 62232]
SMsplice 3SS: [13788 14021 17099 17559 21619 33422 39284 45432 50736 62186 65774]
top_k =  500
Partition function (log Z): -25.367792997710556

Sorted 5' Splice Sites (High to Low Probability):
Position 21769: 0.9996474396643846
Position 125: 0.9933353577799255
Position 14088: 0.9044044166308685
Position 17618: 0.634275105985124
Position 6680: 0.5871508111743938
Position 17363: 0.5198820578008806
Position 11958: 0.4978546031451928
Position 23388: 0.44924760810407105
Position 15014: 0.18995145302020683
Position 24097: 0.18621498312898108
Position 28981: 0.1773741523048784
Position 17642: 0.12518557578859543
Position 18216: 0.10162980902241145
Position 6785: 0.09210751235071238
Position 25871: 0.07846336347502625
Position 18173: 0.0635459955897154
Position 1269: 0.05068861350687971
Position 22985: 0.038715284552570825
Position 567: 0.02888243064313789
Position 26102: 0.025451597673581867
Position 18247: 0.021327454525954696
Position 3515: 0.021327077060110774
Position 5898: 0.02007192402474666
Position 6101: 0.01744444475180616
Position 10358: 0.01668360071238629
Position 18696: 0.014883224716169407
Position 23279: 0.013434815433791608
Position 5013: 0.013295289117390108
Position 2625: 0.010166522398008469
Position 1151: 0.009816703980509272
Position 6766: 0.00942253425771625
Position 28723: 0.006645315877506264
Position 22965: 0.003823847845213413
Position 23186: 0.002152760949101093
Position 23905: 0.0017900222165168483
Position 23530: 0.001689873403132822
Position 24695: 0.0008918044505211899
Position 206: 0.0007478123234151278
Position 23567: 0.00032129356090794027
Position 307: 0.0001318025930723943
Position 391: 8.82241078091112e-05
Position 842: 8.170971295605811e-05
Position 374: 6.986102214437341e-05
Position 201: 6.973127914542551e-05
Position 381: 6.516926717301075e-05
Position 376: 5.252530889363946e-05
Position 475: 2.5501130709946842e-05
Position 79: 2.1121074702697973e-05
Position 60: 1.9842980274693433e-05
Position 1030: 1.6865766961295995e-05
Position 756: 1.2631096357648836e-05
Position 775: 7.983154606944681e-06
Position 181: 5.429353661637293e-06
Position 361: 2.8673482741946423e-06
Position 883: 1.617132186978534e-06
Position 766: 1.2227307916514056e-06
Position 277: 1.2201973803040624e-06
Position 31: 8.553698038308118e-07
Position 262: 8.135394833233938e-07
Position 468: 7.394796562863848e-07
Position 184: 1.613476742612518e-07
Position 82: 1.0994099046658731e-07
Position 7799: 8.349844402862824e-08
Position 10: 4.9402105775311476e-08
Position 5277: 1.058956393376983e-08
Position 5739: 1.008763575577518e-08
Position 34: 9.270757362061273e-09
Position 2556: 8.719549166077576e-09
Position 5030: 6.04239195975713e-09
Position 4759: 3.020553915551272e-09
Position 3481: 2.8402952256179787e-09
Position 3297: 2.253927882559172e-09
Position 1285: 1.440111608782044e-09
Position 2219: 1.1585269426898405e-09
Position 722: 1.2180728432858e-10
Position 999: 2.7107433957588688e-11
Position 1009: 2.5607361249721346e-11
Position 827: 7.843826895617952e-12
Position 656: 1.4782593510223988e-13
Position 523: 1.0243280748341864e-13
Position 804: 5.3469821674684547e-14
Position 1193: 3.727215245773216e-14
Position 639: 2.1954416826616417e-14
Position 659: 1.7211031802781521e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 21619: 0.9999082482787893
Position 14021: 0.9044044166308685
Position 17559: 0.7594606817737207
Position 31897: 0.6903797814718369
Position 17099: 0.5198820578008801
Position 11797: 0.4978556930827559
Position 23351: 0.30578619669922125
Position 6538: 0.30546106035383547
Position 6541: 0.24483875197024002
Position 28785: 0.20347375169346288
Position 18103: 0.18658188036277049
Position 6511: 0.12272091939082777
Position 24013: 0.11769542334473469
Position 14896: 0.11175571259218786
Position 23271: 0.08032290846009053
Position 14935: 0.07819574042801884
Position 24998: 0.07070576260473026
